question, target
“Nếu một con gấu có màu xanh, thì con gấu thật đáng sợ.
Nếu một con gấu có màu xanh lá cây và lớn, thì con gấu rất nhanh.
Nếu một con gấu đẹp, thì con gấu lạnh.
Nếu một con gấu sạch sẽ, thì con gấu có màu đỏ.
Nếu một con gấu chậm hoặc màu tím, thì con gấu còn trẻ.
Sự thật:
Con gấu buồn và xinh đẹp.
Những điều sau đây có thể được xác định về con gấu:”, Con gấu lạnh.
“Nếu một con bò nóng và hạnh phúc, thì con bò nhỏ.
Nếu một con bò tốt, thì con bò yếu.
Nếu một con bò có màu xanh hoặc trẻ, thì con bò nhanh.
Nếu một con bò lạnh, thì con bò tròn.
Nếu một con bò xấu hoặc đỏ, thì con bò mềm.
Sự thật:
Con bò còn trẻ và sạch sẽ.
Những điều sau đây có thể được xác định về con bò:”, Con bò nhanh.
“Nếu một cái cây yếu và nóng, thì cây nhỏ.
Nếu một cây mềm, thì cây còn non.
Nếu một cái cây thông minh, thì cây là xấu.
Nếu một cái cây sạch sẽ, thì cây thật đáng sợ.
Nếu một cái cây đẹp, thì cây có màu xanh.
Sự thật:
Cây mềm và tốt.
Những điều sau đây có thể được xác định về cây:”, Cây còn non.
“Nếu một con sư tử có màu xanh hoặc tím, thì sư tử thật đáng sợ.
Nếu một con sư tử nhanh, thì sư tử là xấu.
Nếu một con sư tử có màu đỏ và nhàm chán, thì con sư tử lớn.
Nếu một con sư tử buồn và sạch sẽ, thì sư tử hạnh phúc.
Nếu một con sư tử còn nhỏ, thì sư tử chậm chạp.
Sự thật:
Sư tử lớn và trẻ.
Những điều sau đây có thể được xác định về sư tử:”, Sư tử chậm chạp.
“Nếu một con sư tử nóng và hạnh phúc, thì sư tử lạnh.
Nếu một con sư tử có màu xanh hoặc tròn, thì sư tử có màu xanh lá cây.
Nếu một con sư tử lớn hay chậm, thì sư tử rất đẹp.
Nếu một con sư tử có màu đỏ, thì sư tử đã già.
Nếu một con sư tử có màu tím hoặc xấu, thì sư tử còn trẻ.
Sự thật:
Sư tử to và xanh.
Những điều sau đây có thể được xác định về sư tử:”, Sư tử rất đẹp.
“Nếu một bông hồng mạnh mẽ, thì hoa hồng có màu đỏ.
Nếu một bông hồng đẹp, thì hoa hồng là tốt.
Nếu một bông hồng nhàm chán hoặc xấu, thì hoa hồng còn trẻ.
Nếu một bông hồng chậm, thì hoa hồng là thông minh.
Nếu một bông hồng mềm hoặc nhanh, thì hoa hồng nhỏ.
Sự thật:
Hoa hồng đã già và hạnh phúc.
Những điều sau đây có thể được xác định về hoa hồng:”, Không có gì.
“Nếu Bob thông minh hay mạnh mẽ, thì Bob thật nhàm chán.
Nếu Bob già, thì Bob buồn.
Nếu Bob tròn, thì Bob có màu đỏ.
Nếu Bob sạch sẽ, thì Bob lạnh.
Nếu Bob mềm mại, thì Bob còn trẻ.
Sự thật:
Bob nhỏ bé và xinh đẹp.
Những điều sau đây có thể được xác định về Bob:”, Không có gì.
“Nếu một con bò đỏ hoặc khỏe, thì con bò hạnh phúc.
Nếu một con bò sạch hoặc trẻ, thì con bò nhỏ.
Nếu một con bò chậm, thì con bò lớn.
Nếu một con bò mềm, thì con bò đã già.
Nếu một con bò đẹp, thì con bò lạnh.
Sự thật:
Con bò còn trẻ và hạnh phúc.
Những điều sau đây có thể được xác định về con bò:”, Con bò nhỏ.
“Nếu Frank già và nhỏ, thì Frank thật xinh đẹp.
Nếu Frank tốt, thì Frank mạnh mẽ.
Nếu Frank nóng, thì Frank chậm.
Nếu Frank có màu xanh lá cây, thì Frank có màu tím.
Nếu Frank nhàm chán, thì Frank yếu đuối.
Sự thật:
Frank nhàm chán và tròn trịa.
Những điều sau đây có thể được xác định về Frank:”, Frank yếu.
“Nếu một cây anh túc yếu, thì cây anh túc có màu xanh.
Nếu một cây anh túc lạnh và đỏ, thì cây anh túc mềm.
Nếu một cây anh túc chậm và hạnh phúc, thì cây anh túc là tốt.
Nếu một cây anh túc buồn và già, thì cây anh túc sạch sẽ.
Nếu một cây anh túc đẹp, thì cây anh túc nhỏ.
Sự thật:
Cây anh túc tròn và đẹp.
Những điều sau đây có thể được xác định về cây anh túc:”, Cây anh túc nhỏ.
“Nếu một cây anh túc nhanh, thì cây anh túc tròn.
Nếu một cây anh túc đẹp, thì cây anh túc thật nhàm chán.
Nếu một cây anh túc hạnh phúc và trẻ trung, thì cây anh túc đã già.
Nếu một cây anh túc nóng, thì cây anh túc là xấu.
Nếu một cây anh túc mềm và chậm, thì cây anh túc có màu xanh lam.
Sự thật:
Cây anh túc nhanh và đỏ.
Những điều sau đây có thể được xác định về cây anh túc:”, Cây anh túc tròn.
“Nếu một bông hoa hướng dương nhanh, thì hoa hướng dương rất đẹp.
Nếu một bông hoa hướng dương thông minh, thì hoa hướng dương yếu.
Nếu một bông hoa hướng dương xấu hoặc nóng, thì hoa hướng dương có màu xanh.
Nếu một bông hoa hướng dương lớn, thì hoa hướng dương tròn.
Nếu một bông hoa hướng dương mềm hoặc trẻ, thì hoa hướng dương buồn.
Sự thật:
Hoa hướng dương tròn và mềm.
Những điều sau đây có thể được xác định về hoa hướng dương:”, Hoa hướng dương buồn.
“Nếu một con sóc hạnh phúc, thì con sóc còn trẻ.
Nếu một con sóc nhỏ hoặc đáng sợ, thì con sóc tròn.
Nếu một con sóc đẹp hoặc màu tím, thì con sóc thật nhàm chán.
Nếu một con sóc yếu hoặc chậm, thì con sóc có màu xanh.
Nếu một con sóc lạnh, thì con sóc buồn.
Sự thật:
Con sóc hạnh phúc và mạnh mẽ.
Những điều sau đây có thể được xác định về con sóc:”, Con sóc còn nhỏ.
“Nếu một con gấu tròn hoặc thông minh, thì con gấu có màu tím.
Nếu một con gấu buồn và đỏ, thì con gấu còn trẻ.
Nếu một con gấu nhỏ và nóng, thì con gấu có màu xanh lá cây.
Nếu một con gấu nhanh hay yếu, thì con gấu mạnh.
Nếu một con gấu to hoặc lạnh, thì con gấu là tốt.
Sự thật:
Con gấu thông minh và tốt.
Những điều sau đây có thể được xác định về con gấu:”, Con gấu có màu tím.
“Nếu một cái cây chậm và sạch sẽ, thì cây tốt.
Nếu một cây nhanh và tròn, thì cây đã già.
Nếu một cây có màu đỏ hoặc nhỏ, thì cây mềm.
Nếu một cái cây đáng sợ hoặc nhàm chán, thì cây rất mạnh.
Nếu một cây xanh, thì cây còn non.
Sự thật:
Cây có màu đỏ và nhỏ.
Những điều sau đây có thể được xác định về cây:”, Cây mềm.
“Nếu một cây bồ công anh có màu xanh hoặc hạnh phúc, thì bồ công anh có màu đỏ.
Nếu bồ công anh lạnh và mềm, thì bồ công anh sạch sẽ.
Nếu một bồ công anh buồn, thì bồ công anh thật đáng sợ.
Nếu một cây bồ công anh tròn hoặc đẹp, thì bồ công anh đã già.
Nếu một cây bồ công anh lớn, thì bồ công anh yếu.
Sự thật:
Bồ công anh to và xanh.
Những điều sau đây có thể được xác định về bồ công anh:”, Bồ công anh yếu.
“Nếu một con nhím lớn và già, thì con nhím có màu xanh.
Nếu một con nhím buồn, thì con nhím rất đáng sợ.
Nếu một con nhím tốt, thì con nhím hạnh phúc.
Nếu một con nhím nhanh và nhàm chán, thì con nhím có màu tím.
Nếu một con nhím có màu xanh lá cây, thì con nhím yếu.
Sự thật:
Con nhím tròn và tốt.
Những điều sau đây có thể được xác định về con nhím:”, Con nhím hạnh phúc.
“Nếu một bông hồng đỏ và chậm, thì hoa hồng mềm mại.
Nếu một bông hồng mạnh hoặc buồn, thì hoa hồng là tốt.
Nếu một bông hồng đẹp hay già, thì hoa hồng có màu tím.
Nếu một bông hồng có màu xanh lá cây, thì hoa hồng còn trẻ.
Nếu một bông hồng lớn, thì hoa hồng yếu.
Sự thật:
Hoa hồng nhỏ và già.
Những điều sau đây có thể được xác định về hoa hồng:”, Hoa hồng có màu tím.
“Nếu một cái cây thông minh hay tốt, thì cây sẽ nhanh.
Nếu một cây mạnh mẽ hoặc màu tím, thì cây là nhàm chán.
Nếu một cây nóng và tròn, thì cây buồn.
Nếu một cái cây đẹp, thì cây lạnh.
Nếu một cái cây hạnh phúc, thì cây xấu.
Sự thật:
Cây to và tốt.
Những điều sau đây có thể được xác định về cây:”, Cây nhanh.
“Nếu Bob đỏ, thì Bob còn trẻ.
Nếu Bob xinh đẹp, thì Bob là người thông minh.
Nếu Bob sạch sẽ và hạnh phúc, thì Bob nhỏ bé.
Nếu Bob mềm mại và đáng sợ, thì Bob đã già.
Nếu Bob nóng bỏng, thì Bob là lớn.
Sự thật:
Bob xinh đẹp và nóng bỏng.
Những điều sau đây có thể được xác định về Bob:”, Bob thông minh và to lớn.
“Nếu một bông hoa hướng dương hạnh phúc, thì hoa hướng dương tròn.
Nếu một bông hoa hướng dương còn non hoặc nhàm chán, thì hoa hướng dương mềm.
Nếu một bông hoa hướng dương là tốt, thì hướng dương nóng.
Nếu một bông hoa hướng dương lạnh, thì hướng dương là xấu.
Nếu một bông hoa hướng dương nhanh và đỏ, thì hoa hướng dương buồn.
Sự thật:
Hoa hướng dương còn non và có màu tím.
Những điều sau đây có thể được xác định về hoa hướng dương:”, Hướng dương mềm.
“Nếu một bông hồng đẹp và hạnh phúc, thì hoa hồng có màu tím.
Nếu một bông hồng tròn, thì hoa hồng là tốt.
Nếu một bông hồng lạnh và già, thì hoa hồng mạnh mẽ.
Nếu một bông hồng có màu xanh lá cây hoặc lớn, thì hoa hồng nhanh.
Nếu một bông hồng sạch sẽ và nhàm chán, thì hoa hồng nóng.
Sự thật:
Hoa hồng hạnh phúc và lạnh lẽo.
Những điều sau đây có thể được xác định về hoa hồng:”, Không có gì.
“Nếu một con thỏ có màu xanh lá cây và lạnh, thì con thỏ lớn.
Nếu một con thỏ có màu đỏ, thì con thỏ rất đẹp.
Nếu một con thỏ chậm hoặc buồn, thì thỏ đã già.
Nếu một con thỏ có màu tím hoặc xanh, thì thỏ là tốt.
Nếu một con thỏ sạch sẽ, thì con thỏ thật đáng sợ.
Sự thật:
Con thỏ nóng và sạch sẽ.
Những điều sau đây có thể được xác định về con thỏ:”, Con thỏ thật đáng sợ.
“Nếu Bob còn trẻ hay nhỏ, thì Bob rất mạnh mẽ.
Nếu Bob sạch sẽ hoặc nhàm chán, thì Bob có màu xanh lá cây.
Nếu Bob thông minh, thì Bob mềm yếu.
Nếu Bob tròn trịa và buồn bã, thì Bob đã già.
Nếu Bob tốt hay yếu, thì Bob là xấu.
Sự thật:
Bob nhanh nhẹn và nhàm chán.
Những điều sau đây có thể được xác định về Bob:”, Bob có màu xanh lá cây.
“Nếu một con gấu nóng, thì con gấu rất nhanh.
Nếu một con gấu có màu xanh lá cây, thì con gấu tròn.
Nếu một con gấu mạnh, thì con gấu là tốt.
Nếu một con gấu đáng sợ và thông minh, thì con gấu rất đẹp.
Nếu một con gấu màu đỏ, thì con gấu đã già.
Sự thật:
Con gấu xanh và yếu.
Những điều sau đây có thể được xác định về con gấu:”, Con gấu tròn.
“Nếu Bob xấu và xanh, thì Bob rất nhanh.
Nếu Bob chậm, thì Bob tròn.
Nếu Bob lạnh, thì Bob có màu tím.
Nếu Bob lớn, thì Bob là người thông minh.
Nếu Bob đẹp, thì Bob sạch sẽ.
Sự thật:
Bob xanh và lạnh.
Những điều sau đây có thể được xác định về Bob:”, Bob có màu tím.
“Nếu Alice tốt hay nhỏ, thì Alice có màu xanh.
Nếu Alice buồn và già, thì Alice thật nhàm chán.
Nếu Alice đáng sợ, thì Alice có màu đỏ.
Nếu Alice mềm mại hay xinh đẹp, thì Alice tròn.
Nếu Alice mạnh, thì Alice yếu.
Sự thật:
Alice rất nhanh và xinh đẹp.
Những điều sau đây có thể được xác định về Alice:”, Alice tròn.
“Nếu Bob mềm mại và nhỏ bé, thì Bob còn trẻ.
Nếu Bob có màu đỏ và xanh, thì Bob nóng.
Nếu Bob đáng sợ, thì Bob là xấu.
Nếu Bob lạnh, thì Bob buồn.
Nếu Bob già, thì Bob chậm chạp.
Sự thật:
Bob đáng sợ và yếu đuối.
Những điều sau đây có thể được xác định về Bob:”, Bob xấu.
“Nếu một cây bồ công anh buồn, thì bồ công anh rất thông minh.
Nếu bồ công anh tròn hoặc nóng, thì bồ công anh rất mạnh.
Nếu bồ công anh có màu xanh lá cây, thì bồ công anh yếu.
Nếu một cây bồ công anh có màu xanh hoặc lớn, thì bồ công anh là xấu.
Nếu bồ công anh nhanh, thì bồ công anh có màu đỏ.
Sự thật:
Bồ công anh thông minh và xanh.
Những điều sau đây có thể được xác định về bồ công anh:”, Bồ công anh yếu.
“Nếu Dan lạnh, thì Dan mềm.
Nếu Dan còn trẻ, thì Dan là người xấu.
Nếu Dan chậm hoặc tím, thì Dan hạnh phúc.
Nếu Dan tròn và màu xanh lá cây, thì Dan đáng sợ.
Nếu Dan thông minh và yếu đuối, thì Dan đã già.
Sự thật:
Dan lạnh lùng và mạnh mẽ.
Những điều sau đây có thể được xác định về Dan:”, Dan mềm mại.
“Nếu một bông hoa hướng dương mạnh mẽ, thì hoa hướng dương thật nhàm chán.
Nếu một bông hoa hướng dương lạnh và mềm, thì hoa hướng dương là hạnh phúc.
Nếu một bông hoa hướng dương nhanh và nóng, thì hướng dương là xấu.
Nếu một bông hoa hướng dương đáng sợ, thì hoa hướng dương sạch sẽ.
Nếu một bông hoa hướng dương thông minh và buồn bã, thì hoa hướng dương yếu.
Sự thật:
Hoa hướng dương rất đẹp và nhỏ.
Những điều sau đây có thể được xác định về hoa hướng dương:”, Không có gì.
“Nếu một cây anh túc nhỏ, thì cây anh túc nóng.
Nếu một cây anh túc nhàm chán hoặc mềm, thì cây anh túc có màu xanh.
Nếu một cây anh túc có màu đỏ, thì cây anh túc chậm.
Nếu một cây anh túc đáng sợ, thì cây anh túc là thông minh.
Nếu một cây anh túc buồn, thì cây anh túc đang hạnh phúc.
Sự thật:
Cây anh túc có màu đỏ và mạnh mẽ.
Những điều sau đây có thể được xác định về cây anh túc:”, Cây anh túc chậm.
“Nếu một bông hồng già, thì hoa hồng yếu ớt.
Nếu một bông hồng có màu đỏ, thì hoa hồng lớn.
Nếu một bông hồng còn trẻ hoặc thông minh, thì hoa hồng tròn.
Nếu một bông hồng đáng sợ, thì hoa hồng mềm mại.
Nếu một bông hồng là tốt, thì hoa hồng nhỏ.
Sự thật:
Hoa hồng to và thông minh.
Những điều sau đây có thể được xác định về hoa hồng:”, Hoa hồng tròn.
“Nếu Alice còn trẻ, thì Alice lạnh lùng.
Nếu Alice nhỏ bé và chậm chạp, thì Alice nóng bỏng.
Nếu Alice đáng sợ hoặc nhanh nhẹn, thì Alice thật nhàm chán.
Nếu Alice yếu, thì Alice là xấu.
Nếu Alice tròn trịa và hạnh phúc, thì Alice sạch sẽ.
Sự thật:
Alice rất đáng sợ và nhanh nhẹn.
Những điều sau đây có thể được xác định về Alice:”, Alice thật nhàm chán.
“Nếu một bông hoa hướng dương tốt và có màu xanh lá cây, thì hoa hướng dương nhỏ.
Nếu một bông hoa hướng dương buồn hoặc yếu, thì hoa hướng dương có màu xanh.
Nếu một bông hoa hướng dương nhanh, thì hoa hướng dương là hạnh phúc.
Nếu một bông hoa hướng dương sạch, thì hoa hướng dương lớn.
Nếu một bông hoa hướng dương đẹp hay xấu, thì hoa hướng dương có màu đỏ.
Sự thật:
Hoa hướng dương buồn và đáng sợ.
Những điều sau đây có thể được xác định về hoa hướng dương:”, Hoa hướng dương có màu xanh lam.
“Nếu một con thỏ nhanh, thì thỏ yếu.
Nếu một con thỏ có màu đỏ, thì thỏ thật nhàm chán.
Nếu một con thỏ hạnh phúc và sạch sẽ, thì con thỏ thật đáng sợ.
Nếu một con thỏ xấu và màu tím, thì thỏ đã già.
Nếu một con thỏ thông minh hoặc chậm chạp, thì thỏ có màu xanh lá cây.
Sự thật:
Con thỏ già và màu xanh.
Những điều sau đây có thể được xác định về con thỏ:”, Không có gì.
“Nếu một cây bồ công anh tròn, thì bồ công anh rất đẹp.
Nếu bồ công anh có màu xanh lá cây hoặc đỏ, thì bồ công anh chậm.
Nếu một cây bồ công anh có màu tím, thì bồ công anh là thông minh.
Nếu một cây bồ công anh nhàm chán, thì bồ công anh nóng.
Nếu một bồ công anh buồn hoặc nhanh, thì bồ công anh rất vui.
Sự thật:
Bồ công anh nhàm chán và lớn.
Những điều sau đây có thể được xác định về bồ công anh:”, Bồ công anh nóng.
“Nếu một bông hoa hướng dương có màu xanh lá cây và màu tím, thì hoa hướng dương còn non.
Nếu một bông hoa hướng dương nhanh, thì hoa hướng dương là thông minh.
Nếu một bông hoa hướng dương mềm và chậm, thì hướng dương sạch sẽ.
Nếu một bông hoa hướng dương tròn, thì hoa hướng dương rất đẹp.
Nếu một bông hoa hướng dương tốt hoặc nóng, thì hoa hướng dương sẽ nhàm chán.
Sự thật:
Hoa hướng dương có hình tròn và màu đỏ.
Những điều sau đây có thể được xác định về hoa hướng dương:”, Hoa hướng dương rất đẹp.
“Nếu một cây anh túc nhỏ hoặc lạnh, thì cây anh túc buồn.
Nếu một cây anh túc thông minh, thì cây anh túc là tốt.
Nếu một cây anh túc nhanh và to, thì cây anh túc có màu tím.
Nếu một cây anh túc sạch, thì cây anh túc mềm.
Nếu một cây anh túc hạnh phúc và tròn trịa, thì cây anh túc là xấu.
Sự thật:
Cây anh túc nhỏ và có màu tím.
Những điều sau đây có thể được xác định về cây anh túc:”, Cây anh túc buồn.
“Nếu Bob trong sạch hay trẻ, thì Bob yếu đuối.
Nếu Bob tốt, thì Bob là màu xanh.
Nếu Bob tròn, thì Bob chậm.
Nếu Bob xấu hoặc lạnh, thì Bob hạnh phúc.
Nếu Bob xanh và xinh đẹp, thì Bob buồn.
Sự thật:
Bob tròn và mềm mại.
Những điều sau đây có thể được xác định về Bob:”, Bob chậm chạp.
“Nếu Carol nóng bỏng và hạnh phúc, thì Carol nhỏ bé.
Nếu Carol lạnh hoặc tím, thì Carol yếu.
Nếu Carol sạch sẽ, thì Carol thật nhàm chán.
Nếu Carol to và tròn, thì Carol mềm mại.
Nếu Carol mạnh và xấu, thì Carol thật đáng sợ.
Sự thật:
Carol có màu xanh lá cây và mềm mại.
Những điều sau đây có thể được xác định về Carol:”, Không có gì.
“Nếu một cây anh túc lạnh, thì cây anh túc nhỏ.
Nếu một cây anh túc buồn, thì cây anh túc yếu.
Nếu một cây anh túc nhàm chán, thì cây anh túc rất đẹp.
Nếu một cây anh túc mạnh, thì cây anh túc nóng.
Nếu một cây anh túc hạnh phúc hoặc tốt, thì cây anh túc là xấu.
Sự thật:
Cây anh túc có màu tím và hạnh phúc.
Những điều sau đây có thể được xác định về cây anh túc:”, Cây anh túc rất tệ.
“Nếu Bob nhỏ hoặc màu xanh lá cây, thì Bob thật đáng sợ.
Nếu Bob yếu, thì Bob hạnh phúc.
Nếu Bob thông minh, thì Bob đã già.
Nếu Bob còn trẻ và tốt, thì Bob có màu đỏ.
Nếu Bob nóng hoặc nhanh, thì Bob có màu tím.
Sự thật:
Bob yếu và xấu.
Những điều sau đây có thể được xác định về Bob:”, Bob rất vui.
“Nếu một cái cây buồn, thì cái cây thật nhàm chán.
Nếu một cây lạnh, thì cây yếu.
Nếu một cây nhanh và nhỏ, thì cây thông minh.
Nếu một cây xấu, thì cây có màu đỏ.
Nếu một cây hạnh phúc hoặc tròn, thì cây lớn.
Sự thật:
Cây hạnh phúc và nóng bỏng.
Những điều sau đây có thể được xác định về cây:”, Cây to.
“Nếu Bob mạnh mẽ, thì Bob là người lớn.
Nếu Bob có màu xanh lá cây hoặc mềm mại, thì Bob có màu xanh lam.
Nếu Bob nhanh nhẹn và nhàm chán, thì Bob có màu tím.
Nếu Bob xấu, thì Bob buồn.
Nếu Bob xinh đẹp và hạnh phúc, thì Bob đã già.
Sự thật:
Bob thật nhàm chán và mạnh mẽ.
Những điều sau đây có thể được xác định về Bob:”, Bob rất lớn.
“Nếu một cây anh túc mềm, thì cây anh túc còn non.
Nếu một cây anh túc là tốt, thì cây anh túc là thông minh.
Nếu một cây anh túc lạnh, thì cây anh túc rất mạnh.
Nếu một cây anh túc đáng sợ, thì cây anh túc rất lớn.
Nếu một cây anh túc có màu xanh lam hoặc xanh lá cây, thì cây anh túc đã già.
Sự thật:
Cây anh túc lạnh và tròn.
Những điều sau đây có thể được xác định về cây anh túc:”, Cây anh túc rất mạnh.
“Nếu một con bò to và tròn, thì con bò xấu.
Nếu một con bò buồn và nhỏ, thì con bò thật đáng sợ.
Nếu một con bò chậm và trẻ, thì con bò đã già.
Nếu một con bò lạnh, thì con bò có màu đỏ.
Nếu một con bò hạnh phúc, thì con bò nóng.
Sự thật:
Con bò lạnh và tròn.
Những điều sau đây có thể được xác định về con bò:”, Con bò có màu đỏ.
“Nếu một cái cây nhàm chán hoặc xanh tươi, thì cây đó mềm.
Nếu một cây già, thì cây buồn.
Nếu một cây nhỏ và nóng, thì cây xấu.
Nếu một cây tốt và sạch sẽ, thì cây chậm.
Nếu một cây yếu, thì cây thật đáng sợ.
Sự thật:
Cây buồn và nóng.
Những điều sau đây có thể được xác định về cây:”, Không có gì.
“Nếu một bông hoa hướng dương đã già, thì hoa hướng dương tròn.
Nếu một bông hoa hướng dương đẹp và lạnh, thì hoa hướng dương thật đáng sợ.
Nếu một bông hoa hướng dương nhanh và yếu, thì hoa hướng dương có màu xanh lá cây.
Nếu một bông hoa hướng dương có màu xanh, thì hướng dương là xấu.
Nếu một bông hoa hướng dương hạnh phúc hoặc nhàm chán, thì hoa hướng dương mềm mại.
Sự thật:
Hoa hướng dương vui và buồn.
Những điều sau đây có thể được xác định về hoa hướng dương:”, Hướng dương mềm.
“Nếu một con voi già, thì con voi mạnh mẽ.
Nếu một con voi đáng sợ và lạnh lùng, thì con voi tròn.
Nếu một con voi nhỏ và nhàm chán, thì con voi còn trẻ.
Nếu một con voi có màu tím, thì con voi mềm.
Nếu một con voi hạnh phúc hay xinh đẹp, thì con voi buồn.
Sự thật:
Con voi nóng và nhỏ.
Những điều sau đây có thể được xác định về con voi:”, Không có gì.
“Nếu Alice có màu xanh, thì Alice đã già.
Nếu Alice yếu đuối và nhàm chán, thì Alice rất lớn.
Nếu Alice hạnh phúc, thì Alice thật đáng sợ.
Nếu Alice nhỏ, thì Alice sạch sẽ.
Nếu Alice nóng và buồn, thì Alice thật xinh đẹp.
Sự thật:
Alice đã già và hạnh phúc.
Những điều sau đây có thể được xác định về Alice:”, Alice thật đáng sợ.
“Nếu Frank có màu xanh, thì Frank rất nhanh.
Nếu Frank lớn, thì Frank thật nhàm chán.
Nếu Frank buồn và già, thì Frank mạnh mẽ.
Nếu Frank có màu tím, thì Frank có màu đỏ.
Nếu Frank hạnh phúc, thì Frank sạch sẽ.
Sự thật:
Frank sạch sẽ và đáng sợ.
Những điều sau đây có thể được xác định về Frank:”, Không có gì.
“Nếu một cây anh túc lạnh và mạnh, thì cây anh túc rất đẹp.
Nếu một cây anh túc sạch, thì cây anh túc nhỏ.
Nếu một cây anh túc to và nhàm chán, thì cây anh túc còn trẻ.
Nếu một cây anh túc buồn, thì cây anh túc đang hạnh phúc.
Nếu một cây anh túc nóng hoặc xanh, thì cây anh túc có màu tím.
Sự thật:
Cây anh túc rất mạnh và nóng.
Những điều sau đây có thể được xác định về cây anh túc:”, Cây anh túc có màu tím.
“Nếu một cái cây già và nhàm chán, thì cây xanh.
Nếu một cây mềm và màu xanh, thì cây rất đẹp.
Nếu một cái cây tròn, thì cây thật đáng sợ.
Nếu một cái cây nhỏ, thì cây thông minh.
Nếu một cái cây sạch sẽ hoặc hạnh phúc, thì cây lớn.
Sự thật:
Cây sạch sẽ và hạnh phúc.
Những điều sau đây có thể được xác định về cây:”, Cây to.
“Nếu Carol già, thì Carol thật xinh đẹp.
Nếu Carol nóng, thì Carol có màu đỏ.
Nếu Carol xấu, thì Carol buồn.
Nếu Carol lạnh, thì Carol thông minh.
Nếu Carol yếu, thì Carol hạnh phúc.
Sự thật:
Carol mạnh mẽ và già nua.
Những điều sau đây có thể được xác định về Carol:”, Carol rất đẹp.
“Nếu một cây anh túc nhàm chán hoặc mềm, thì cây anh túc yếu.
Nếu một cây anh túc nhỏ và đỏ, thì cây anh túc buồn.
Nếu một cây anh túc còn trẻ và đẹp, thì cây anh túc đã già.
Nếu một cây anh túc đáng sợ hoặc tốt, thì cây anh túc có màu tím.
Nếu một cây anh túc chậm, thì cây anh túc là xấu.
Sự thật:
Cây anh túc nhỏ và có màu đỏ.
Những điều sau đây có thể được xác định về cây anh túc:”, Cây anh túc buồn.
“Nếu một con hổ đẹp, thì con hổ hạnh phúc.
Nếu một con hổ mềm, thì con hổ lớn.
Nếu một con hổ nhanh và xấu, thì con hổ có màu xanh.
Nếu một con hổ nhàm chán, thì con hổ sạch sẽ.
Nếu một con hổ nóng hoặc nhỏ, thì con hổ tròn.
Sự thật:
Con hổ thật nhàm chán và xấu xa.
Những điều sau đây có thể được xác định về con hổ:”, Con hổ sạch sẽ.
“Nếu một cây anh túc hạnh phúc, thì cây anh túc là xấu.
Nếu một cây anh túc mạnh, thì cây anh túc nhỏ.
Nếu một cây anh túc nóng hoặc thông minh, thì cây anh túc thật nhàm chán.
Nếu một cây anh túc già hoặc đáng sợ, thì cây anh túc có màu xanh lá cây.
Nếu một cây anh túc buồn và tốt, thì cây anh túc tròn.
Sự thật:
Cây anh túc đáng sợ và nhanh chóng.
Những điều sau đây có thể được xác định về cây anh túc:”, Cây anh túc có màu xanh lá cây.
“Nếu một con voi yếu, thì con voi thật nhàm chán.
Nếu một con voi già và chậm, thì con voi có màu xanh.
Nếu một con voi sạch sẽ, thì con voi mềm.
Nếu một con voi mạnh mẽ, thì con voi là tốt.
Nếu một con voi lạnh, thì con voi có màu xanh lá cây.
Sự thật:
Con voi có màu xanh lam và xanh lá cây.
Những điều sau đây có thể được xác định về con voi:”, Không có gì.
“Nếu Dan nóng bỏng hay thông minh, thì Dan là người xấu.
Nếu Dan nhàm chán hoặc hạnh phúc, thì Dan có màu đỏ.
Nếu Dan yếu hay mềm, thì Dan rất đẹp.
Nếu Dan lớn hay chậm, thì Dan có màu xanh lam.
Nếu Dan lạnh, thì Dan có màu xanh lá cây.
Sự thật:
Dan chậm và đỏ.
Những điều sau đây có thể được xác định về Dan:”, Dan có màu xanh lam.
“Nếu một con hà mã có màu xanh, thì hà mã có màu tím.
Nếu một con hà mã yếu và buồn, thì hà mã mạnh mẽ.
Nếu một con hà mã mềm hoặc chậm, thì hà mã là thông minh.
Nếu một con hà mã tròn, thì hà mã lớn.
Nếu một con hà mã sạch sẽ hoặc nóng, thì hà mã đã già.
Sự thật:
Hà mã chậm và xấu.
Những điều sau đây có thể được xác định về hà mã:”, Hà mã thông minh.
“Nếu một con gấu trúc tròn, thì gấu trúc lớn.
Nếu một con gấu trúc còn trẻ, thì gấu trúc rất đẹp.
Nếu một con gấu trúc có màu xanh lá cây, thì gấu trúc nóng.
Nếu một con gấu trúc đáng sợ hoặc nhanh, thì gấu trúc có màu đỏ.
Nếu một con gấu trúc yếu và sạch sẽ, thì gấu trúc nhỏ.
Sự thật:
Gấu trúc sạch sẽ và nhỏ.
Những điều sau đây có thể được xác định về gấu trúc:”, Không có gì.
“Nếu Carol sạch sẽ, thì Carol đã già.
Nếu Carol có màu xanh lam và xanh lá cây, thì Carol mềm mại.
Nếu Carol buồn và yếu đuối, thì Carol nóng.
Nếu Carol nhàm chán hoặc xấu, thì Carol chậm chạp.
Nếu Carol nhỏ, thì Carol lớn.
Sự thật:
Carol to lớn và nhàm chán.
Những điều sau đây có thể được xác định về Carol:”, Carol chậm chạp.
“Nếu một bông hoa hướng dương có màu xanh lá cây hoặc nhàm chán, thì hoa hướng dương nhỏ.
Nếu một bông hoa hướng dương già hoặc mạnh, thì hướng dương nóng.
