question, target
“Nếu một cái cây chậm, thì cây sạch sẽ.
Nếu một cây có màu tím và thông minh, thì cây rất đẹp.
Nếu một cây tròn hoặc nhanh, thì cây xấu.
Nếu một cây buồn hoặc xanh, thì cây đang hạnh phúc.
Nếu một cái cây đáng sợ hoặc mạnh mẽ, thì cây nhỏ.
Sự thật:,
Cây tròn và yếu.,
Những điều sau đây có thể được xác định về cây:”, Cây xấu.
“Nếu một cây anh túc tròn, thì cây anh túc rất mạnh.
Nếu một cây anh túc sạch sẽ và đáng sợ, thì cây anh túc mềm.
Nếu một cây anh túc có màu xanh lá cây, thì cây anh túc rất đẹp.
Nếu một cây anh túc nóng, thì cây anh túc là tốt.
Nếu một cây anh túc buồn, thì cây anh túc đã già.
Sự thật:,
Cây anh túc đáng sợ và tròn trịa.,
Những điều sau đây có thể được xác định về cây anh túc:”, Cây anh túc rất mạnh.
“Nếu Alice nhỏ bé, thì Alice rất nhanh.
Nếu Alice lạnh, thì Alice lớn.
Nếu Alice còn trẻ, thì Alice chậm chạp.
Nếu Alice mạnh mẽ, thì Alice có màu tím.
Nếu Alice sạch sẽ hoặc xanh, thì Alice rất đẹp.
Sự thật:,
Alice hạnh phúc và nhỏ bé.,
Những điều sau đây có thể được xác định về Alice:”, Alice rất nhanh.
“Nếu một con hổ buồn, thì con hổ có màu đỏ.
Nếu một con hổ hạnh phúc và có màu tím, thì con hổ có màu xanh lá cây.
Nếu một con hổ đáng sợ, thì con hổ lớn.
Nếu một con hổ tròn và khỏe, thì con hổ có màu xanh.
Nếu một con hổ tốt hoặc nóng, thì con hổ yếu.
Sự thật:,
Con hổ rất nhanh và tốt.,
Những điều sau đây có thể được xác định về con hổ:”, Con hổ yếu đuối.
“Nếu một con hà mã nhàm chán, thì hà mã nhỏ.
Nếu một con hà mã xấu, thì hà mã rất mạnh.
Nếu một con hà mã to và yếu, thì hà mã đã già.
Nếu một con hà mã nhanh và chậm, thì hà mã lạnh.
Nếu một con hà mã có màu xanh lam, thì hà mã có màu xanh lá cây.
Sự thật:,
Hà mã mềm và nóng.,
Những điều sau đây có thể được xác định về hà mã:”, Không có gì.
“Nếu một con gấu trúc đẹp, thì gấu trúc rất mạnh.
Nếu một con gấu trúc nhanh, thì gấu trúc là thông minh.
Nếu một con gấu trúc có màu tím hoặc nóng, thì gấu trúc sạch sẽ.
Nếu một con gấu trúc tốt hoặc đáng sợ, thì gấu trúc có màu xanh lá cây.
Nếu một con gấu trúc to và lạnh, thì gấu trúc thật nhàm chán.
Sự thật:,
Gấu trúc nóng và tím.,
Những điều sau đây có thể được xác định về gấu trúc:”, Gấu trúc sạch sẽ.
“Nếu Frank mạnh, Frank là người trong sạch.
Nếu Frank nóng và xinh đẹp, thì Frank lạnh.
Nếu Frank đáng sợ và đỏ, thì Frank buồn.
Nếu Frank xấu, thì Frank nhỏ bé.
Nếu Frank tròn, thì Frank yếu.
Sự thật:,
Frank có màu tím và mềm mại.,
Những điều sau đây có thể được xác định về Frank:”, Không có gì.
“Nếu một cây bồ công anh to hay chậm, thì bồ công anh là tốt.
Nếu một cây bồ công anh nhỏ hoặc xấu, thì bồ công anh rất đáng sợ.
Nếu một bồ công anh hạnh phúc, thì bồ công anh buồn.
Nếu bồ công anh còn non hoặc nóng, thì bồ công anh có màu đỏ.
Nếu bồ công anh có màu xanh lam và xanh lá cây, thì bồ công anh có màu tím.
Sự thật:,
Bồ công anh nóng và cũ.,
Những điều sau đây có thể được xác định về bồ công anh:”, Bồ công anh có màu đỏ.
“Nếu một bông hồng lớn hay già, thì hoa hồng hạnh phúc.
Nếu một bông hồng buồn, thì hoa hồng nhanh.
Nếu một bông hồng nóng, thì hoa hồng còn trẻ.
Nếu một bông hồng nhàm chán, thì hoa hồng nhỏ.
Nếu một bông hồng xấu, thì hoa hồng mềm mại.
Sự thật:,
Hoa hồng buồn và nhàm chán.,
Những điều sau đây có thể được xác định về hoa hồng:”, Hoa hồng nhanh và nhỏ.
“Nếu Alice nhỏ hoặc đỏ, thì Alice có màu xanh.
Nếu Alice xấu, thì Alice mạnh mẽ.
Nếu Alice xinh đẹp, thì Alice nóng bỏng.
Nếu Alice lớn, thì Alice hạnh phúc.
Nếu Alice yếu đuối và tốt bụng, thì Alice buồn.
Sự thật:,
Alice xinh đẹp và tròn trịa.,
Những điều sau đây có thể được xác định về Alice:”, Alice nóng bỏng.
“Nếu chó yếu hoặc lạnh, thì chó có màu tím.
Nếu chó còn nhỏ, thì chó nhanh nhẹn.
Nếu một chú chó xinh đẹp và thông minh, thì chó nhỏ.
Nếu một chú chó chậm chạp và tốt, thì chó thật nhàm chán.
Nếu một chú chó hạnh phúc, thì chó có màu xanh.
Sự thật:,
Chó nhỏ và yếu.,
Những điều sau đây có thể được xác định về chó:”, Chó có màu tím.
“Nếu một con voi lạnh hoặc tím, thì con voi thật nhàm chán.
Nếu một con voi buồn và xinh đẹp, thì con voi nóng.
Nếu một con voi già và thông minh, thì con voi là tốt.
Nếu một con voi mạnh mẽ và có màu xanh, thì con voi nhỏ.
Nếu một con voi có màu đỏ hoặc yếu, thì con voi còn nhỏ.
Sự thật:,
Con voi có màu đỏ và đáng sợ.,
Những điều sau đây có thể được xác định về con voi:”, Con voi còn nhỏ.
“Nếu một con hươu cao cổ nóng hoặc già, thì hươu cao cổ rất lớn.
Nếu một con hươu cao cổ đẹp, thì hươu cao cổ yếu.
Nếu một con hươu cao cổ mềm, thì hươu cao cổ chậm.
Nếu một con hươu cao cổ hạnh phúc hoặc nhàm chán, thì hươu cao cổ nhỏ.
Nếu một con hươu cao cổ còn trẻ và đỏ, thì hươu cao cổ là tốt.
Sự thật:,
Hươu cao cổ lạnh và nhanh.,
Những điều sau đây có thể được xác định về hươu cao cổ:”, Không có gì.
“Nếu bồ công anh nhanh, thì bồ công anh nhỏ.
Nếu một cây bồ công anh to và nhàm chán, thì bồ công anh thật đáng sợ.
Nếu một cây bồ công anh yếu, thì bồ công anh đã già.
Nếu một cây bồ công anh buồn và đỏ, thì bồ công anh tròn.
Nếu bồ công anh có màu tím hoặc sạch, thì bồ công anh nóng.
Sự thật:,
Bồ công anh có màu đỏ và mạnh mẽ.,
Những điều sau đây có thể được xác định về bồ công anh:”, Không có gì.
“Nếu Erin yếu, thì Erin có màu tím.
Nếu Erin nhanh hay tốt, thì Erin lạnh.
Nếu Erin nhỏ và màu xanh, thì Erin còn trẻ.
Nếu Erin hạnh phúc và thông minh, thì Erin mềm yếu.
Nếu Erin sạch sẽ, thì Erin là xấu.
Sự thật:,
Erin yếu và xanh.,
Những điều sau đây có thể được xác định về Erin:”, Erin có màu tím.
“Nếu một bông hồng tròn và màu xanh lá cây, thì hoa hồng có màu đỏ.
Nếu một bông hồng sạch và nhanh, thì hoa hồng yếu.
Nếu một bông hồng nóng và trẻ, thì hoa hồng chậm.
Nếu một bông hồng nhàm chán, thì hoa hồng hạnh phúc.
Nếu một bông hồng mạnh, thì hoa hồng lớn.
Sự thật:,
Hoa hồng có màu xanh và tròn.,
Những điều sau đây có thể được xác định về hoa hồng:”, Không có gì.
“Nếu một con hươu cao cổ mạnh mẽ hay buồn bã, thì hươu cao cổ có màu xanh lá cây.
Nếu một con hươu cao cổ còn trẻ và thông minh, thì hươu cao cổ lạnh.
Nếu một con hươu cao cổ nhỏ hoặc tròn, thì hươu cao cổ rất đẹp.
Nếu một con hươu cao cổ có màu đỏ, thì hươu cao cổ là tốt.
Nếu một con hươu cao cổ nóng hoặc mềm, thì hươu cao cổ yếu.
Sự thật:,
Hươu cao cổ có màu xanh và nóng.,
Những điều sau đây có thể được xác định về hươu cao cổ:”, Hươu cao cổ yếu.
“Nếu Dan lớn hay già, thì Dan thật nhàm chán.
Nếu Dan buồn, thì Dan là màu xanh lá cây.
Nếu Dan thông minh và sạch sẽ, thì Dan nhanh nhẹn.
Nếu Dan còn trẻ, thì Dan yếu đuối.
Nếu Dan mềm, thì Dan có màu tím.
Sự thật:,
Dan nhỏ và xinh đẹp.,
Những điều sau đây có thể được xác định về Dan:”, Không có gì.
“Nếu một cây bồ công anh lớn, thì bồ công anh rất đẹp.
Nếu bồ công anh già hoặc yếu, thì bồ công anh có màu đỏ.
Nếu một cây bồ công anh buồn và nhỏ, thì bồ công anh mềm mại.
Nếu một cây bồ công anh đáng sợ, thì bồ công anh là tốt.
Nếu một cây bồ công anh thông minh, thì bồ công anh còn trẻ.
Sự thật:,
Bồ công anh to và khỏe.,
Những điều sau đây có thể được xác định về bồ công anh:”, Bồ công anh rất đẹp.
“Nếu một cái cây còn nhỏ, thì cái cây đó thật đáng sợ.
Nếu một cây hạnh phúc hoặc nhanh, thì cây có màu tím.
Nếu một cây đẹp và đỏ, thì cây có màu xanh.
Nếu một cây tròn, thì cây nhỏ.
Nếu một cây thông minh và chậm chạp, thì cây sạch sẽ.
Sự thật:,
Cây có hình tròn và màu tím.,
Những điều sau đây có thể được xác định về cây:”, Cây nhỏ.
“Nếu một con bò có màu xanh, thì con bò nhanh.
Nếu một con bò chậm, thì con bò buồn.
Nếu một con bò lạnh, thì con bò xấu.
Nếu một con bò thông minh, thì con bò còn trẻ.
Nếu một con bò nóng hoặc tròn, thì con bò hạnh phúc.
Sự thật:,
Con bò còn trẻ và lạnh.,
Những điều sau đây có thể được xác định về con bò:”, Con bò xấu.
“Nếu Frank đáng sợ, thì Frank là người xấu.
Nếu Frank mạnh mẽ, thì Frank là tốt.
Nếu Frank nhỏ bé và yếu đuối, thì Frank lạnh lùng.
Nếu Frank là màu xanh, thì Frank là lớn.
Nếu Frank già hoặc thông minh, thì Frank nhanh nhẹn.
Sự thật:,
Frank xanh và già.,
Những điều sau đây có thể được xác định về Frank:”, Frank to và nhanh.
“Nếu một cây bồ công anh xấu hoặc tròn, thì bồ công anh rất nhanh.
Nếu bồ công anh lạnh, thì bồ công anh rất mạnh.
Nếu một cây bồ công anh đẹp và sạch sẽ, thì bồ công anh mềm mại.
Nếu một cây bồ công anh có màu tím hoặc lớn, thì bồ công anh buồn.
Nếu bồ công anh yếu, thì bồ công anh có màu đỏ.
Sự thật:,
Bồ công anh to và tốt.,
Những điều sau đây có thể được xác định về bồ công anh:”, Bồ công anh buồn.
“Nếu một con mèo có màu xanh, thì con mèo thông minh.
Nếu một con mèo sạch sẽ, thì con mèo nóng.
Nếu một con mèo nhàm chán, thì con mèo có màu đỏ.
Nếu một con mèo có màu tím và tròn, thì con mèo đã già.
Nếu một con mèo có màu xanh lá cây, thì con mèo hạnh phúc.
Sự thật:,
Con mèo nhanh và xanh.,
Những điều sau đây có thể được xác định về con mèo:”, Con mèo thông minh.
“Nếu Erin nhàm chán, thì Erin sạch sẽ.
Nếu Erin mạnh hay chậm, thì Erin rất thông minh.
Nếu Erin trẻ hay già, thì Erin là xấu.
Nếu Erin có màu xanh lá cây và tròn, thì Erin yếu.
Nếu Erin nhỏ, thì Erin thật xinh đẹp.
Sự thật:,
Erin xanh và trẻ.,
Những điều sau đây có thể được xác định về Erin:”, Erin rất tệ.
“Nếu chó bị lạnh, chó sẽ chậm chạp.
Nếu chó mềm và xanh lá cây, thì chó có màu xanh lam.
Nếu chó có màu tím và nóng, thì chó có màu đỏ.
Nếu một chú chó nhỏ hoặc trẻ, thì chó buồn.
Nếu một chú chó nhanh nhẹn hoặc vui vẻ, thì chó thật đáng sợ.
Sự thật:,
Chú chó nhỏ và tròn.,
Những điều sau đây có thể được xác định về chú chó:”, Chú chó buồn.
“Nếu một bông hồng nhàm chán hoặc đáng sợ, thì hoa hồng có màu xanh.
Nếu một bông hồng là tốt, thì hoa hồng có màu xanh lá cây.
Nếu một bông hồng nhỏ, thì hoa hồng nhanh.
Nếu một bông hồng lạnh, thì hoa hồng rất đẹp.
Nếu một bông hồng yếu, thì hoa hồng tròn.
Sự thật:,
Hoa hồng lớn và nhỏ.,
Những điều sau đây có thể được xác định về hoa hồng:”, Hoa hồng nhanh.
“Nếu một con sư tử đỏ và nhanh, thì sư tử còn trẻ.
Nếu một con sư tử khỏe hay già, thì sư tử nhỏ.
Nếu một con sư tử tốt và đáng sợ, thì sư tử yếu đuối.
Nếu một con sư tử nhàm chán, thì sư tử có màu tím.
Nếu một con sư tử lạnh, thì sư tử lớn.
Sự thật:,
Con sư tử sạch sẽ và lạnh lẽo.,
Những điều sau đây có thể được xác định về sư tử:”, Sư tử lớn.
“Nếu một bông hoa hướng dương nóng, thì hoa hướng dương có màu xanh lam.
Nếu một bông hoa hướng dương yếu hoặc già, thì hoa hướng dương có màu xanh lá cây.
Nếu một bông hoa hướng dương nhanh hoặc màu tím, thì hoa hướng dương có hình tròn.
Nếu một bông hoa hướng dương đáng sợ và mềm mại, thì hoa hướng dương là hạnh phúc.
Nếu một bông hoa hướng dương là tốt, thì hoa hướng dương nhỏ.
Sự thật:,
Hoa hướng dương có màu tím và đáng sợ.,
Những điều sau đây có thể được xác định về hoa hướng dương:”, Hoa hướng dương tròn.
“Nếu một con bò lạnh, thì con bò là tốt.
Nếu một con bò non và nhỏ, thì con bò tròn.
Nếu một con bò hạnh phúc hoặc đáng sợ, thì con bò mềm mại.
Nếu một con bò có màu đỏ, thì con bò mạnh mẽ.
Nếu một con bò nhàm chán, thì con bò đã già.
Sự thật:,
Con bò có màu đỏ và tốt.,
Những điều sau đây có thể được xác định về con bò:”, Con bò khỏe.
“Nếu một con voi còn trẻ và nhỏ, thì con voi nóng.
Nếu một con voi thông minh, thì con voi là hạnh phúc.
Nếu một con voi có màu tím và lạnh, thì con voi đã già.
Nếu một con voi lớn và xấu, thì con voi là tốt.
Nếu một con voi sạch sẽ và nhàm chán, thì con voi có màu xanh lá cây.
Sự thật:,
Con voi thông minh và yếu đuối.,
Những điều sau đây có thể được xác định về con voi:”, Con voi hạnh phúc.
“Nếu một con thỏ có màu đỏ, thì con thỏ nhỏ.
Nếu một con thỏ tròn và nhàm chán, thì thỏ có màu xanh.
Nếu một con thỏ yếu, thì thỏ hạnh phúc.
Nếu một con thỏ thông minh, thì thỏ còn trẻ.
Nếu một con thỏ lạnh, thì thỏ là tốt.
Sự thật:,
Con thỏ đỏ và chậm chạp.,
Những điều sau đây có thể được xác định về con thỏ:”, Con thỏ nhỏ.
“Nếu Bob xấu hay lạnh lùng, thì Bob rất mạnh mẽ.
Nếu Bob có màu tím và trẻ, thì Bob yếu đuối.
Nếu Bob mềm mại, thì Bob đã già.
Nếu Bob xinh đẹp, thì Bob hạnh phúc.
Nếu Bob nhanh, thì Bob tròn.
Sự thật:,
Bob đỏ và mềm.,
Những điều sau đây có thể được xác định về Bob:”, Bob đã già.
“Nếu Frank mạnh mẽ và sạch sẽ, thì Frank thật nhàm chán.
Nếu Frank còn trẻ và thông minh, thì Frank yếu đuối.
Nếu Frank đẹp hoặc xanh, thì Frank đã già.
Nếu Frank tròn, thì Frank có màu đỏ.
Nếu Frank lạnh lùng và xấu, thì Frank rất nhanh.
Sự thật:,
Frank yếu và xanh.,
Những điều sau đây có thể được xác định về Frank:”, Frank đã già.
“Nếu một bông hoa hướng dương buồn, thì hoa hướng dương nóng.
Nếu một bông hoa hướng dương có màu xanh lá cây, thì hoa hướng dương có màu xanh lam.
Nếu một bông hoa hướng dương nhàm chán, thì hoa hướng dương thật đáng sợ.
Nếu một bông hoa hướng dương mạnh hoặc nhỏ, thì hoa hướng dương sạch sẽ.
Nếu một bông hoa hướng dương thông minh và trẻ trung, thì hoa hướng dương đã già.
Sự thật:,
Hoa hướng dương chậm và buồn.,
Những điều sau đây có thể được xác định về hoa hướng dương:”, Hoa hướng dương nóng.
“Nếu Alice hạnh phúc, thì Alice rất nhanh.
Nếu Alice nhàm chán, thì Alice thật xinh đẹp.
Nếu Alice còn trẻ hay mạnh, thì Alice là tốt.
Nếu Alice mềm, thì Alice có màu xanh lá cây.
Nếu Alice sạch sẽ, thì Alice có màu đỏ.
Sự thật:,
Alice mạnh mẽ và yếu đuối.,
Những điều sau đây có thể được xác định về Alice:”, Alice tốt.
“Nếu một con bò nóng và tròn, thì con bò là tốt.
Nếu một con bò xấu và đáng sợ, thì con bò thật nhàm chán.
Nếu một con bò yếu, thì con bò có màu đỏ.
Nếu một con bò có màu xanh lá cây, thì con bò sạch sẽ.
Nếu một con bò còn nhỏ, thì con bò chậm.
Sự thật:,
Con bò yếu đuối và buồn bã.,
Những điều sau đây có thể được xác định về con bò:”, Con bò có màu đỏ.
“Nếu Carol nhàm chán, thì Carol nhỏ bé.
Nếu Carol buồn hay già, thì Carol rất nhanh.
Nếu Carol xấu hay lớn, thì Carol là tốt.
Nếu Carol mềm hoặc xanh, thì Carol nóng.
Nếu Carol có màu xanh, thì Carol thông minh.
Sự thật:,
Carol nóng và già.,
Những điều sau đây có thể được xác định về Carol:”, Carol rất nhanh.
“Nếu một con chuột già hoặc nhỏ, thì con chuột có màu tím.
Nếu một con chuột tròn hoặc đáng sợ, thì chuột sạch sẽ.
Nếu một con chuột có màu xanh hoặc lớn, thì con chuột là tốt.
Nếu một con chuột còn trẻ hoặc khỏe, thì chuột chậm.
Nếu một con chuột yếu và xấu, thì chuột bị lạnh.
Sự thật:,
Con chuột nhàm chán và mạnh mẽ.,
Những điều sau đây có thể được xác định về chuột:”, Chuột chậm.
“Nếu Erin hạnh phúc, thì Erin có màu tím.
Nếu Erin nóng và chậm, thì Erin còn trẻ.
Nếu Erin có màu xanh lá cây và tròn, thì Erin yếu.
Nếu Erin mạnh mẽ, thì Erin thật đáng sợ.
Nếu Erin có màu đỏ, thì Erin thật nhàm chán.
Sự thật:,
Erin mạnh mẽ và nhỏ bé.,
Những điều sau đây có thể được xác định về Erin:”, Erin thật đáng sợ.
“Nếu một bông hồng có màu xanh, thì hoa hồng là xấu.
Nếu một bông hồng mạnh mẽ, thì hoa hồng đã già.
Nếu một bông hồng buồn, thì hoa hồng thật đáng sợ.
Nếu một bông hồng nhỏ, thì hoa hồng hạnh phúc.
Nếu một bông hồng sạch, thì hoa hồng nhanh.
Sự thật:,
Hoa hồng đỏ và yếu.,
Những điều sau đây có thể được xác định về hoa hồng:”, Không có gì.
“Nếu Dan chậm hoặc xanh, thì Dan nhỏ bé.
Nếu Dan còn trẻ, thì Dan là người xấu.
Nếu Dan già, thì Dan lạnh.
Nếu Dan nóng, thì Dan mạnh mẽ.
Nếu Dan có màu tím hoặc xinh đẹp, thì Dan hạnh phúc.
Sự thật:,
Dan xinh đẹp và đáng sợ.,
Những điều sau đây có thể được xác định về Dan:”, Dan rất vui.
“Nếu Carol mềm yếu và thông minh, thì Carol hạnh phúc.
Nếu Carol có màu xanh hoặc tốt, thì Carol đã già.
Nếu Carol tròn và nhỏ, thì Carol nóng.
Nếu Carol sạch hoặc đỏ, thì Carol yếu.
Nếu Carol có màu tím hoặc xấu, thì Carol còn trẻ.
Sự thật:,
Carol rất thông minh và giỏi.,
Những điều sau đây có thể được xác định về Carol:”, Carol đã già.
“Nếu một con gấu trúc thông minh hoặc tròn trịa, thì gấu trúc rất nhanh.
Nếu một con gấu trúc đã già, thì gấu trúc thật đáng sợ.
Nếu một con gấu trúc mềm, thì gấu trúc sạch sẽ.
Nếu một con gấu trúc nhỏ và xấu, thì gấu trúc là tốt.
Nếu một con gấu trúc có màu xanh và màu xanh lá cây, thì gấu trúc buồn.
Sự thật:,
Gấu trúc đáng sợ và thông minh.,
Những điều sau đây có thể được xác định về gấu trúc:”, Gấu trúc rất nhanh.
“Nếu một chú chó mềm, thì chó là tốt.
Nếu chó nhỏ, thì chó bị lạnh.
Nếu chó buồn hoặc xanh, thì chó có màu tím.
Nếu một chú chó to và đẹp, thì chó thật đáng sợ.
Nếu chó xấu, thì chó yếu.
Sự thật:,
Chú chó sạch sẽ và buồn bã.,
Những điều sau đây có thể được xác định về chó:”, Chó có màu tím.
“Nếu một bông hồng nhanh, thì hoa hồng là tốt.
Nếu một bông hồng buồn và yếu đuối, thì hoa hồng thật đáng sợ.
Nếu một bông hồng có màu xanh, thì hoa hồng rất đẹp.
Nếu một bông hồng lạnh và to, thì hoa hồng tròn.
Nếu một bông hồng hạnh phúc, thì hoa hồng có màu tím.
Sự thật:,
Hoa hồng còn trẻ và màu xanh.,
Những điều sau đây có thể được xác định về hoa hồng:”, Hoa hồng rất đẹp.
“Nếu một con voi sạch sẽ và có màu xanh, thì con voi mềm mại.
Nếu một con voi xấu, thì con voi lớn.
Nếu một con voi chậm, thì con voi là tốt.
Nếu một con voi đáng sợ, thì con voi nhỏ.
Nếu một con voi có màu tím và mạnh mẽ, thì con voi buồn.
Sự thật:,
Con voi thật nhàm chán và xấu.,
Những điều sau đây có thể được xác định về con voi:”, Con voi lớn.
“Nếu Frank nhanh, thì Frank có màu tím.
Nếu Frank tròn, thì Frank lạnh.
Nếu Frank chậm, thì Frank sạch sẽ.
Nếu Frank mạnh mẽ, thì Frank đã già.
Nếu Frank hạnh phúc, thì Frank buồn.
Sự thật:,
Frank chán và chậm chạp.,
Những điều sau đây có thể được xác định về Frank:”, Frank sạch sẽ.
“Nếu một bông hoa hướng dương đáng sợ và yếu đuối, thì hoa hướng dương rất lớn.
Nếu một bông hoa hướng dương có màu tím hoặc nhàm chán, thì hoa hướng dương mềm.
Nếu một bông hoa hướng dương nhanh và hạnh phúc, thì hoa hướng dương rất đẹp.
Nếu một bông hoa hướng dương chậm và già, thì hoa hướng dương có màu đỏ.
Nếu một bông hoa hướng dương nhỏ hoặc màu xanh lá cây, thì hoa hướng dương còn non.
Sự thật:,
Hoa hướng dương có màu đỏ và xấu.,
Những điều sau đây có thể được xác định về hoa hướng dương:”, Không có gì.
“Nếu một con hươu cao cổ chậm và xanh, thì hươu cao cổ rất lớn.
Nếu một con hươu cao cổ thông minh và xấu, thì hươu cao cổ tròn.
Nếu một con hươu cao cổ đáng sợ, thì hươu cao cổ yếu.
Nếu một con hươu cao cổ sạch sẽ, thì hươu cao cổ nhỏ.
Nếu một con hươu cao cổ đẹp và nhàm chán, thì hươu cao cổ rất mạnh mẽ.
Sự thật:,
Con hươu cao cổ đáng sợ và buồn bã.,
Những điều sau đây có thể được xác định về hươu cao cổ:”, Hươu cao cổ yếu.
“Nếu Carol mềm, thì Carol có màu xanh lá cây.
Nếu Carol yếu, thì Carol lạnh.
Nếu Carol xinh đẹp, thì Carol là lớn.
Nếu Carol buồn hoặc tím, thì Carol có màu xanh.
Nếu Carol đáng sợ, thì Carol tròn trịa.
Sự thật:,
Carol xấu và yếu.,
Những điều sau đây có thể được xác định về Carol:”, Carol lạnh.
“Nếu Erin tròn hay nhỏ, thì Erin chậm chạp.
Nếu Erin vui hay xấu, thì Erin buồn.
Nếu Erin mạnh mẽ, thì Erin mềm mại.
Nếu Erin còn trẻ, thì Erin nóng bỏng.
Nếu Erin yếu, thì Erin là tốt.
Sự thật:,
Erin thật đáng sợ và xấu xa.,
Những điều sau đây có thể được xác định về Erin:”, Erin buồn.
“Nếu Dan thông minh hay giỏi, thì Dan đã già.
Nếu Dan nhanh hay hạnh phúc, thì Dan là màu xanh lá cây.
Nếu Dan có màu đỏ và màu xanh, thì Dan buồn.
Nếu Dan đáng sợ, thì Dan yếu đuối.
Nếu Dan mạnh, thì Dan mềm.
Sự thật:,
Dan đáng sợ và to lớn.,
Những điều sau đây có thể được xác định về Dan:”, Dan yếu.
“Nếu một cái cây nhanh hoặc sạch, thì cây mềm.
Nếu một cây có màu đỏ, thì cây có màu xanh.
Nếu một cái cây buồn, thì cây nóng.
Nếu cây lạnh, thì cây chậm.
Nếu một cây khỏe, thì cây sẽ nhàm chán.
Sự thật:,
Cây còn non và lạnh.,
Những điều sau đây có thể được xác định về cây:”, Cây chậm.
“Nếu một con bò lớn, thì con bò yếu.
Nếu một con bò có màu tím, thì con bò nhỏ.
Nếu một con bò tốt hoặc tròn, thì con bò là đáng sợ.
Nếu một con bò lạnh và buồn, thì con bò còn trẻ.
Nếu một con bò chậm, thì con bò có màu đỏ.
Sự thật:,
Con bò tròn và nhàm chán.,
Những điều sau đây có thể được xác định về con bò:”, Con bò đáng sợ.
“Nếu Bob chậm hay xấu, thì Bob đã già.
Nếu Bob thông minh, thì Bob mềm yếu.
Nếu Bob tròn trịa hoặc đáng sợ, thì Bob lạnh lùng.
Nếu Bob có màu xanh lá cây hoặc sạch sẽ, thì Bob nóng.
Nếu Bob mạnh mẽ, thì Bob còn trẻ.
Sự thật:,
Bob rất nóng bỏng và thông minh.,
Những điều sau đây có thể được xác định về Bob:”, Bob mềm yếu.
“Nếu Erin có màu tím và xấu, thì Erin thật nhàm chán.
Nếu Erin có màu xanh lá cây hoặc nhanh, thì Erin có màu xanh lam.
Nếu Erin buồn, thì Erin mềm yếu.
Nếu Erin nóng và trẻ, thì Erin lạnh.
Nếu Erin tròn hoặc chậm, thì Erin có màu đỏ.
Sự thật:,
Erin có hình tròn và màu xanh lá cây.,
Những điều sau đây có thể được xác định về Erin:”, Erin có màu xanh và đỏ.
“Nếu một con mèo thông minh, thì con mèo chậm chạp.
Nếu một con mèo đáng sợ và sạch sẽ, thì con mèo lớn.
Nếu một con mèo mềm mại hoặc hạnh phúc, thì con mèo yếu đuối.
Nếu một con mèo mạnh mẽ, thì con mèo nóng.
Nếu một con mèo nhanh, thì con mèo đang nhàm chán.
Sự thật:,
Con mèo tốt và nhanh.,
Những điều sau đây có thể được xác định về con mèo:”, Con mèo thật nhàm chán.
“Nếu một con gấu có màu xanh, thì con gấu sạch sẽ.
Nếu một con gấu xấu, thì con gấu mềm.
Nếu một con gấu yếu, thì con gấu chậm.
Nếu một con gấu tốt và già, thì con gấu lạnh.
Nếu một con gấu lớn và thông minh, thì con gấu rất nhanh.
Sự thật:,
Con gấu yếu và sạch sẽ.,
Những điều sau đây có thể được xác định về con gấu:”, Con gấu chậm.
“Nếu một cây anh túc lớn, thì cây anh túc buồn.
Nếu một cây anh túc tốt và sạch sẽ, thì cây anh túc rất mạnh.
Nếu một cây anh túc lạnh, thì cây anh túc là xấu.
Nếu một cây anh túc còn non và có màu tím, thì cây anh túc hạnh phúc.
Nếu một cây anh túc chậm và nhanh, thì cây anh túc thật đáng sợ.
Sự thật:,
Cây anh túc buồn và tím.,
Những điều sau đây có thể được xác định về cây anh túc:”, Không có gì.
“Nếu một con chuột lớn, thì con chuột rất mạnh.
Nếu một con chuột đáng sợ hoặc nhanh, thì chuột nóng.
Nếu một con chuột thông minh, thì chuột có màu xanh lá cây.
Nếu một con chuột nhàm chán và sạch sẽ, thì chuột có màu đỏ.
Nếu một con chuột có màu xanh, thì con chuột nhỏ.
Sự thật:,
Con chuột nhanh và đáng sợ.,
Những điều sau đây có thể được xác định về chuột:”, Chuột nóng.
“Nếu một bông hoa hướng dương đáng sợ và nhanh nhẹn, thì hoa hướng dương thật nhàm chán.
Nếu một bông hoa hướng dương mạnh, thì hướng dương chậm.
Nếu một bông hoa hướng dương lạnh, thì hoa hướng dương là thông minh.
Nếu một bông hoa hướng dương tròn, thì hoa hướng dương có màu tím.
Nếu một bông hoa hướng dương nóng và đẹp, thì hoa hướng dương còn trẻ.
Sự thật:,
Hoa hướng dương lạnh và buồn.,
Những điều sau đây có thể được xác định về hoa hướng dương:”, Hoa hướng dương rất thông minh.
“Nếu một cây anh túc lớn, thì cây anh túc nhỏ.
Nếu một cây anh túc hạnh phúc, thì cây anh túc rất mạnh.
Nếu một cây anh túc chậm, thì cây anh túc rất nhanh.
Nếu một cây anh túc tròn, thì cây anh túc là tốt.
Nếu một cây anh túc xấu và đỏ, thì cây anh túc thật nhàm chán.
Sự thật:,
Cây anh túc mềm và to.,
Những điều sau đây có thể được xác định về cây anh túc:”, Cây anh túc nhỏ.
“Nếu Dan nhỏ hoặc tím, thì Dan nhanh nhẹn.
Nếu Dan thông minh, thì Dan buồn.
Nếu Dan nhàm chán, thì Dan hạnh phúc.
