source, target
“Quy tắc: + Z = X | Thay thế: X bằng “” ngựa “”, Z bằng “” việt quất “"”, + việt quất = ngựa
“Quy tắc: X Y Y + * | Thay thế: X bằng “” chim cánh cụt “”, Y bằng “” quả việt quất lê “"”, chim cánh cụt lê việt quất lê việt quất + *
“Quy tắc: Y X * Y = | Thay thế: X bằng “” sư tử chuột “”, Y bằng “” lê “”, sư tử chuột lê * lê =
“Quy tắc: Z = * - Z Y | Thay thế: Y bằng “” lê nho “”, Z bằng “” đào “"”, đào = * - lê nho đào
“Quy tắc: = Z Z * | Thay thế: Z bằng “” nho táo “"”, = nho táo táo *
“Quy tắc: * Z Z * + | Thay thế: Z bằng “” chuối “"”, * chuối chuối* +
“Quy tắc: - Z Y = - | Thay thế: Y bằng “” dưa hấu cò “”, Z bằng “” lê “”, - dưa hấu cò lê = -
“Quy tắc: + X * X | Thay thế: X bằng “” hải cẩu cá mập “"”, + hải cẩu cá mập * hải cẩu cá mập
“Quy tắc: Z + Z Y * - | Thay thế: Y bằng “” cò “”, Z bằng “” cò đào “"”, cò đào + cò đào đào * -
“Quy tắc: = - Z = Z | Thay thế: Z bằng “” sư tử chuối “"”, = - sư tử chuối = sư tử chuối
“Quy tắc: - * X Z Z * | Thay thế: X bằng “" trâu "”, Z bằng “" nho "”, - * nho trâu *
“Quy tắc: Z - X + | Thay thế: X bằng “” đại bàng “”, Z bằng “” cá voi chim cánh cụt “"”, cá voi chim cánh cụt - đại bàng +
“Quy tắc: Y - X = Z * | Thay thế: X bằng “” đào “”, Y bằng “” rắn hổ mang kiwi “”, Z bằng “” ngựa “"”, rắn hổ mang kiwi - đào = ngựa *
“Quy tắc: Y - - - + X Y | Thay thế: X bằng “” ngựa “”, Y bằng “” ngựa vằn “"”, ngựa vằn - - + ngựa vằn
“Quy tắc: Z + Y Z * | Thay thế: Y bằng “” đại bàng ngựa vằn “”, Z bằng “” việt quất “"”, việt quất + đại bàng vằn việt quất *
“Quy tắc: X + * - Z | Thay thế: X bằng “” đại bàng cá mập “”, Z bằng “” cá mập “"”, đại bàng cá mập + * - cá mập
“Quy tắc: Y Y = + | Thay thế: Y bằng “” kiwi “"”, kiwi = +
“Quy tắc: Y X * - Z | Thay thế: X bằng “” táo “”, Y bằng “” cá voi hải cẩu “”, Z bằng “” chim cánh cụt “"”, hải cẩu cá voi táo * - chim cánh cụt
“Quy tắc: + Z + X X | Thay thế: X bằng “” chuột “”, Z bằng “” việt quất “"”, + việt quất + chuột
“Quy tắc: - * Y - X Y | Thay thế: X bằng “” dâu đen “”, Y bởi “” chim cánh cụt ngựa “"”, - * chim cánh cụt ngựa - chim cánh cụt ngựa dâu đen
“Quy tắc: + - * Z Y | Thay thế: Y bằng “” việt quất “”, Z bằng “” ngựa vằn “"”, + - * việt quất ngựa vằn
“Quy tắc: = X * Z X | Thay thế: X bằng “” cá voi “”, Z bằng “” blackberry “"”, = cá voi * cá voi đen
“Quy tắc: Y + = Y * | Thay thế: Y bằng “” cá mập “"”, cá mập + = cá mập *
“Quy tắc: Z * + Y | Thay thế: Y bằng “” đại bàng “”, Z bằng “” táo “"”, táo * + đại bàng
“Quy tắc: Z Z + Z + | Thay thế: Z bằng “” dưa hấu “"”, dưa hấu dưa hấu + dưa hấu +
“Quy tắc: = = Y + X Y | Thay thế: X bằng “” rắn hổ mang sư tử “”, Y bằng “” việt quất “"”, = việt quất + sư tử rắn hổ mang việt quất
“Quy tắc: Y X Y - * | Thay thế: X bằng “” nho ngựa vằn “”, Y bằng “” táo ngựa “”, táo ngựa vằn táo ngựa vằn táo - *
“Quy tắc: + * Y Z Z = | Thay thế: Y bằng “” sư tử “”, Z bằng “” sư tử kiwi “"”, + * sư tử kiwi sư tử kiwi sư tử =
“Quy tắc: Z - = Z | Thay thế: Z bằng “” đại bàng “"”, đại bàng - = đại bàng
“Quy tắc: Z * X = Z | Thay thế: X bằng “” cá mập hải cẩu “”, Z bằng “” cá mập chim cánh cụt “"”, cá mập chim cánh cụt * cá mập hải cẩu = cá mập chim cánh cụt
“Quy tắc: Z + Y + Z * | Thay thế: Y bằng “” con dấu chim cánh cụt “”, Z bằng “” rắn hổ mang lê “"”, rắn hổ mang lê + hải cẩu chim cánh cụt + rắn hổ mang lê *
“Quy tắc: * X + Y Z | Thay thế: X bằng “” táo dâu “”, Y bằng “” dâu tây “”, Z bằng “” kiwi “”, * táo dâu tây + kiwi dâu
“Quy tắc: + X - Z | Thay thế: X bằng “” con dấu táo “”, Z bằng “” chim cánh cụt “"”, + con dấu táo - chim cánh cụt
“Quy tắc: Z Y = + | Thay thế: Y bằng “” cá voi “”, Z bằng “” việt quất “"”, cá voi việt quất = +
“Quy tắc: = X X X * * | Thay thế: X bằng “” cò dưa hấu “"”, = cò dưa hấu dưa hấu cò dưa hấu cò * *
“Quy tắc: + * = Z Z | Thay thế: Z bằng “” rắn hổ mang “"”, + * = rắn hổ mang
“Quy tắc: + * X Z | Thay thế: X bằng “” blackberry “”, Z bằng “” đại bàng cá mập “"”, + * đại bàng cá mập blackberry
“Quy tắc: = Z Y = | Thay thế: Y bằng “” chim cánh cụt “”, Z bằng “” con dấu “"”, = con dấu chim cánh cụt =
“Quy tắc: - * X * X Y | Thay thế: X bằng “” chuối “”, Y bằng “” dâu đen việt quất “"”, - * chuối* chuối dâu đen việt quất
“Quy tắc: = Z * - Z | Thay thế: Z bằng “” ngựa “"”, = ngựa * - ngựa
“Quy tắc: * + Z X | Thay thế: X bằng “” lê “”, Z bằng “” con dấu nho “"”, * + quả lê con dấu nho
“Quy tắc: - X Y * | Thay thế: X bằng “” nho “”, Y bằng “” con dấu “"”, - con dấu nho *
“Quy tắc: X Z + = | Thay thế: X bằng “” ngựa vằn “”, Z bằng “” cò “"”, cò vằn + =
“Quy tắc: = * - Z Z | Thay thế: Z bằng “” chim cánh cụt “"”, = * - chim cánh cụt
“Quy tắc: X + X * + | Thay thế: X bằng “” chuối “"”, chuối + chuối * +
“Quy tắc: Z Z Y * = | Thay thế: Y bằng “” lê blackberry “”, Z bằng “” cá mập “"”, cá mập đen lê * =
“Quy tắc: Z = Z = Z = | Thay thế: Z bằng “” cá mập “"”, cá mập = cá mập = cá mập =
“Quy tắc: + = Y X | Thay thế: X bằng “” kiwi ngựa vằn “”, Y bằng “” hải cẩu lê “"”, + = hải cẩu ngựa vằn kiwi
“Quy tắc: * X X * Y | Thay thế: X bằng “” dâu tây kiwi “”, Y bằng “” đại bàng “"”, * dâu kiwi dâu tây kiwi * đại bàng
“Quy tắc: + X Y - + Y | Thay thế: X bằng “" nho "”, Y bằng “" cò trâu ""”, + cò trâu nho - + cò trâu
“Quy tắc: Y * Y Z * | Thay thế: Y bằng “” con dấu “”, Z bằng “” chuột dâu “"”, con dấu * con dấu dâu tây *
“Quy tắc: * - * Y X Y | Thay thế: X bằng “” con dấu sư tử “”, Y bởi “” chim cánh cụt “"”, * - * chim cánh cụt con dấu sư tử chim cánh cụt
“Quy tắc: Z Y + - | Thay thế: Y bằng “” chuối “”, Z bằng “” blackberry “"”, chuối blackberry + -
“Quy tắc: * = X Z | Thay thế: X bằng “” apple “”, Z bằng “” sư tử đại bàng “"”, * = sư tử đại bàng táo
“Quy tắc: Z = X Z + | Thay thế: X bằng “” lê “”, Z bằng “” ngựa nho “"”, ngựa nho = ngựa nho lê +
“Quy tắc: Z X * * | Thay thế: X bằng “” ngựa vằn “”, Z bằng “” đào “"”, ngựa vằn đào * *
“Quy tắc: - Y - X | Thay thế: X bằng “” đại bàng chuối “”, Y bằng “” lê sư tử “"”, - lê sư tử - đại bàng chuối
“Quy tắc: Z - = * X Z | Thay thế: X bằng “" trâu "”, Z bằng “" ngựa vằn "”, ngựa vằn - = * ngựa vằn trâu
“Quy tắc: Y = - Z | Thay thế: Y bằng “” cá mập “”, Z bằng “” kiwi “"”, cá mập = - kiwi
“Quy tắc: = = = X Z Z | Thay thế: X bằng “” ngựa vằn “”, Z bằng “” sư tử việt quất “"”, = = = sư tử ngựa vằn blueberry sư tử việt quất
“Quy tắc: X * Z = | Thay thế: X bằng “” đại bàng chuột “”, Z bằng “” việt quất “"”, đại bàng chuột * việt quất =
“Quy tắc: X Y + - - Z | Thay thế: X bằng “” lê táo “”, Y bằng “” trâu “”, Z bằng “” con dấu blackberry “"”, trâu táo lê + - - con dấu blackberry
“Quy tắc: + Z X Y * | Thay thế: X bằng “” dưa hấu dâu “”, Y bằng “” nho táo “”, Z bằng “” cá voi “”, + cá voi dâu tây dưa hấu táo nho *
“Quy tắc: X * - = Y X | Thay thế: X bằng “” chim cánh cụt “”, Y bằng “” đại bàng hải cẩu “"”, chim cánh cụt * - = hải cẩu chim cánh cụt đại bàng
“Quy tắc: Z = - Z Y | Thay thế: Y bằng “” ngựa vằn “”, Z bằng “” cò “"”, cò = - ngựa vằn cò
“Quy tắc: X Y Z - + | Thay thế: X bằng “" nho trâu "”, Y bằng “" táo "”, Z bằng “" nho "”, nho trâu nho - +
“Quy tắc: X * + Y | Thay thế: X bằng “” việt quất “”, Y bằng “” chuối “"”, việt quất * + chuối
“Quy tắc: * = X Y + | Thay thế: X bằng “” lê lê “”, Y bằng “” con dấu táo “"”, * = lê lê con dấu táo +
“Quy tắc: Y Y = = X | Thay thế: X bằng “” cá voi dưa hấu “”, Y bằng “” dâu dưa hấu “"”, dưa hấu dâu tây dưa hấu dâu tây = = cá voi dưa hấu
“Quy tắc: = X X Y = | Thay thế: X bằng “” lê “”, Y bằng “” blackberry “”, = lê lê blackberry =
“Quy tắc: Y * = Z | Thay thế: Y bằng “” con dấu nho “”, Z bằng “” dưa hấu rắn hổ mang “"”, con dấu nho * = dưa hấu rắn hổ mang
“Quy tắc: Y - X + = Z | Thay thế: X bằng “” con dấu “”, Y bằng “” sư tử “”, Z bằng “” nho “"”, sư tử - con dấu + = nho
“Quy tắc: Y * + Y Y | Thay thế: Y bằng “” đại bàng chuột “"”, đại bàng chuột * + đại bàng chuột đại bàng
“Quy tắc: * Y - = X Y | Thay thế: X bằng “” dưa hấu “”, Y bằng “” sư tử “"”, * sư tử - = sư tử dưa hấu
“Quy tắc: X Y Z - * - | Thay thế: X bằng “” cá mập dâu “”, Y bằng “” ngựa vằn chuột “”, Z bằng “” ngựa vằn cá voi “"”, cá mập dâu tây chuột ngựa vằn ngựa vằn - * -
“Quy tắc: Y Y - = Y | Thay thế: Y bằng “” cá voi “"”, cá voi - = cá voi
“Quy tắc: Z Y - = + X | Thay thế: X bằng “” đại bàng “”, Y bằng “” táo “”, Z bằng “” cò “"”, cò táo - = + đại bàng
“Quy tắc: Z * - X | Thay thế: X bằng “” cò việt quất “”, Z bằng “” đào sư tử “"”, đào sư tử * - cò việt quất
“Quy tắc: Z = Y Z + | Thay thế: Y bằng “” chim cánh cụt “”, Z bằng “” lê “"”, lê = chim cánh cụt lê +
“Quy tắc: Z - = Z Z * | Thay thế: Z bằng “” chim cánh cụt kiwi “"”, chim cánh cụt kiwi - = chim cánh cụt kiwi kiwi chim cánh cụt *
“Quy tắc: = Y Y X * | Thay thế: X bằng “” ngựa kiwi “”, Y bằng “” chuột “"”, = chuột kiwi ngựa *
“Quy tắc: * Y Z Y = | Thay thế: Y bằng “” blackberry blackberry “”, Z bằng “” nho dưa hấu “”, * blackberry blackberry dưa hấu nho blackberry blackberry blackberry =
“Quy tắc: Z X = Z * | Thay thế: X bằng “” táo táo “”, Z bằng “” nho cá mập “"”, táo nho cá mập = nho cá mập *
“Quy tắc: Z - Y X + - | Thay thế: X bằng “" trâu "”, Y bằng “" táo dưa hấu "”, Z bằng “" chuối việt quất "”, chuối việt quất - táo dưa hấu trâu + -
“Quy tắc: Z Z = + | Thay thế: Z bằng “” dâu đào “"”, đào dâu đào dâu = +
“Quy tắc: X - + X - | Thay thế: X bằng “" chuột trâu "”, chuột trâu - + chuột trâu -
“Quy tắc: Z = Y Y * | Thay thế: Y bằng “” chuột cá voi “”, Z bằng “” ngựa cá voi “"”, ngựa cá voi = chuột voi voi *
“Quy tắc: = X - X * X | Thay thế: X bằng “” cá mập đào “"”, = cá mập đào - cá mập đào * cá mập đào
“Quy tắc: + + Y Y Z | Thay thế: Y bằng “” rắn hổ mang “”, Z bằng “” blackberry “"”, + + rắn hổ mang blackberry
“Quy tắc: Y Z * X * | Thay thế: X bằng “” kiwi việt quất “”, Y bằng “” chuối “”, Z bằng “” chuột “”, chuột chuối * kiwi việt quất *
“Quy tắc: Z = Z - | Thay thế: Z bằng “” nho “"”, nho = nho -
“Quy tắc: X X - * - | Thay thế: X bằng “” apple “"”, táo táo - * -
“Quy tắc: X * Z - + Y | Thay thế: X bằng “” sư tử đào “”, Y bằng “” đại bàng cò “”, Z bằng “” chuột “”, sư tử đào * chuột - + đại bàng cò
“Quy tắc: + Y + Z * Z | Thay thế: Y bằng “” ngựa vằn chim cánh cụt “”, Z bằng “” dưa hấu “"”, + ngựa vằn chim cánh cụt + dưa hấu * dưa hấu
“Quy tắc: * X = Z | Thay thế: X bằng “” cá mập “”, Z bằng “” chuối “"”, * cá mập = = chuối
“Quy tắc: - - Y Z X | Thay thế: X bằng “” chuối việt quất “”, Y bằng “” nho “”, Z bằng “” dâu tây lê “”, - - lê nho dâu tây chuối việt quất
“Quy tắc: + Y = X | Thay thế: X bằng “" cò ngựa "”, Y bằng “" con dấu chuối "”, + con dấu chuối = ngựa cò
“Quy tắc: * X = + Z X | Thay thế: X bằng “” nho “”, Z bằng “” việt quất “"”, * nho = + quả việt quất
“Quy tắc: Y = X * Y | Thay thế: X bằng “” nho “”, Y bằng “” lê “”, lê = nho * lê
“Quy tắc: Y Z + Y * * | Thay thế: Y bằng “” chim cánh cụt “”, Z bằng “” dâu táo “"”, chim cánh cụt táo dâu tây + chim cánh cụt * *
“Quy tắc: - Z Y - + Z | Thay thế: Y bằng “” con dấu chuột “”, Z bằng “” chuối “”, - con dấu chuột chuối - + chuối
“Quy tắc: - Y Y - + | Thay thế: Y bằng “” cá mập “"”, - cá mập - +
“Quy tắc: + Z = + Z | Thay thế: Z bằng “” kiwi “"”, + kiwi = + kiwi
“Quy tắc: - - Z X + | Thay thế: X bằng “” dâu nho “”, Z bằng “” ngựa vằn việt quất “"”, - - dâu tây ngựa vằn việt quất +
“Quy tắc: = + Y X | Thay thế: X bằng “” ngựa “”, Y bằng “” dưa hấu chuột “"”, = + chuột dưa hấu ngựa
“Quy tắc: * = Z * Y | Thay thế: Y bằng “” cá voi “”, Z bằng “” ngựa “"”, * = ngựa* cá voi
“Quy tắc: Z - + X | Thay thế: X bằng “” ngựa vằn rắn hổ mang “”, Z bằng “" ngựa lê “"”, ngựa lê - + ngựa vằn rắn hổ mang
“Quy tắc: - Z = X | Thay thế: X bằng “” việt quất “”, Z bằng “” rắn hổ mang dưa hấu “"”, - rắn hổ mang dưa hấu = quả việt quất
“Quy tắc: * Y + + Z | Thay thế: Y bằng “” đại bàng việt quất “”, Z bằng “” nho “"”, * đại bàng việt quất + + nho
“Quy tắc: X - Z Y - | Thay thế: X bằng “” táo đào “”, Y bằng “” cò đào “”, Z bằng “” cá voi dưa hấu “”, táo đào - dưa hấu cá voi cò đào -
“Quy tắc: - * X + Y Z | Thay thế: X bằng “” sư tử dâu “”, Y bằng “” kiwi kiwi “”, Z bằng “” nho đào “"”, - * sư tử dâu tây + kiwi kiwi nho
“Quy tắc: Z X * = | Thay thế: X bằng “" chuột chuối "”, Z bằng “" trâu nho "”, chuột chuối trâu nho * =
“Quy tắc: X Y Y + - = | Thay thế: X bằng “” chim cánh cụt chuối “”, Y bằng “” táo “"”, chuối chim cánh cụt táo táo + - =
“Quy tắc: Z X = - | Thay thế: X bằng “” cò chuối “”, Z bằng “” sư tử đại bàng “"”, đại bàng sư tử cò chuối = -
“Quy tắc: * Y + Y Z | Thay thế: Y bằng “” đại bàng sư tử “”, Z bằng “” cá voi dưa hấu “"”, * đại bàng sư tử + cá voi dưa hấu đại bàng sư tử
“Quy tắc: Z Z * Z + * | Thay thế: Z bằng “” blackberry “"”, blackberry blackberry * blackberry + *
“Quy tắc: + * X Z Y | Thay thế: X bằng “” ngựa vằn đào “”, Y bằng “” con dấu nho “”, Z bằng “” đại bàng “"”, + * đào ngựa vằn đại bàng con dấu nho
“Quy tắc: Y - - - + Z X | Thay thế: X bằng “” rắn hổ mang chuối “”, Y bằng “” ngựa cò “”, Z bằng “” việt quất “"”, ngựa cò - - + rắn hổ mang chuối việt quất
“Quy tắc: - - Y * Y X | Thay thế: X bằng “” chuối “”, Y bằng “” ngựa chuột “"”, - - ngựa chuột * chuối ngựa chuột
“Quy tắc: * Z X * - Y | Thay thế: X bằng “” nho “”, Y bằng “” nho “”, Z bằng “” quả việt quất chim cánh cụt “"”, * nho việt quất chim cánh cụt * - nho
“Quy tắc: Y Z = + X + | Thay thế: X bằng “” táo lê “”, Y bằng “” cá mập việt quất “”, Z bằng “” dâu tây “”, cá mập việt quất dâu = + lê táo +
“Quy tắc: = - + Y Y X | Thay thế: X bằng “” chim cánh cụt blackberry “”, Y bằng “” dưa hấu dâu tây “"”, = - + dâu tây dưa hấu dâu tây dưa hấu chim cánh cụt blackberry
“Quy tắc: Z Y + Z = | Thay thế: Y bằng “” cá mập ngựa “”, Z bằng “” chuột chim cánh cụt “"”, chim cánh cụt chuột cá mập ngựa + chim cánh cụt chuột =
“Quy tắc: Z = * Z - | Thay thế: Z bằng “” lê “"”, lê = * lê -
“Quy tắc: = Z - Y = Y | Thay thế: Y bằng “” ngựa “”, Z bằng “” việt quất “"”, = việt quất - ngựa = ngựa
“Quy tắc: Z + = X | Thay thế: X bằng “” chuột chim cánh cụt “”, Z bằng “” ngựa “"”, ngựa + = chuột chim cánh cụt
“Quy tắc: + - Z Y | Thay thế: Y bằng “” dâu đen “”, Z bằng “” đại bàng đại bàng “"”, + - đại bàng đại bàng dâu đen
“Quy tắc: - Z + Y X + | Thay thế: X bằng “” rắn hổ mang “”, Y bằng “” hải cẩu cá voi “”, Z bằng “” hải cẩu đại bàng “"”, - đại bàng hải cẩu + rắn hổ mang hải cẩu cá voi +
“Quy tắc: + - Y Y Z | Thay thế: Y bằng “” dâu tây “”, Z bằng “" trâu "”, + - dâu trâu
“Quy tắc: Y Y Y - = - | Thay thế: Y bằng “” chuối “"”, chuối chuối chuối - = -
“Quy tắc: X X = - - X | Thay thế: X bằng “” cá voi việt quất “"”, cá voi việt quất cá voi việt quất = - - cá voi việt quất
“Quy tắc: = Z Y = + | Thay thế: Y bằng “” đào “”, Z bằng “” chuột dưa hấu “"”, = dưa hấu chuột đào = +
“Quy tắc: X = * X = Z | Thay thế: X bằng “” nho “”, Z bằng “” lê đào “"”, nho = * nho = lê đào
“Quy tắc: * X - X | Thay thế: X bằng “” cá mập táo “"”, * cá mập táo - cá mập táo
“Quy tắc: - = Z Z Z | Thay thế: Z bằng “” cò dâu “"”, - = cò dâu tây cò dâu tây
“Quy tắc: + + Y X | Thay thế: X bằng “” chuối cá voi “”, Y bằng “” ngựa vằn “"”, + + chuối cá voi ngựa vằn
“Quy tắc: X * - X Z * | Thay thế: X bằng “” blackberry “”, Z bằng “” dâu tây dưa hấu “"”, blackberry * - dâu đen dưa hấu *
“Quy tắc: * Y Z + Y * | Thay thế: Y bằng “” lê “”, Z bằng “” dưa hấu đào “"”, * lê dưa hấu đào + lê *
“Quy tắc: - Z - Z Y = | Thay thế: Y bằng “” dâu tây cá voi “”, Z bằng “” trâu dưa hấu “"”, - trâu dưa hấu - dưa hấu trâu cá voi dâu tây =
“Quy tắc: = * Y Y * | Thay thế: Y bằng “” chuối táo “"”, = * chuối táo chuối táo táo *
“Quy tắc: * X - + Z Y | Thay thế: X bằng “” táo “”, Y bằng “” kiwi “”, Z bằng “” dưa hấu ngựa “"”, * táo - + kiwi dưa hấu ngựa
“Quy tắc: Z Y * Y + = | Thay thế: Y bằng “” sư tử lê “”, Z bằng “” dưa hấu việt quất “"”, dưa hấu việt quất lê sư tử * sư tử lê lê + =
“Quy tắc: + - + Y X | Thay thế: X bằng “” kiwi “”, Y bằng “” ngựa vằn dâu “"”, + - + - + kiwi ngựa vằn
“Quy tắc: + Y = X Z * | Thay thế: X bằng “” chim cánh cụt lê “”, Y bằng “” ngựa dâu “”, Z bằng “” đào “"”, + ngựa dâu = lê chim cánh cụt đào *
“Quy tắc: = - Z - X | Thay thế: X bằng “” rắn hổ mang ngựa “”, Z bằng “” chim cánh cụt chuột “"”, = - chim cánh cụt chuột - rắn hổ mang
“Quy tắc: Y - + Y | Thay thế: Y bằng “” lê blackberry “"”, lê dâu đen - + lê dâu đen
“Quy tắc: - + Y X | Thay thế: X bằng “” trâu “”, Y bằng “” blackberry “"”, - + blackberry buffalo
“Quy tắc: = X Y - | Thay thế: X bằng “” cò kiwi “”, Y bằng “” ngựa “"”, = ngựa cò kiwi -
“Quy tắc: Y * Z = Z | Thay thế: Y bằng “” blackberry “”, Z bằng “” sư tử chuột “"”, blackberry * chuột sư tử = chuột sư tử
“Quy tắc: - + Z Z | Thay thế: Z bằng “” cá mập “"”, - + cá mập
“Quy tắc: Y Z + * | Thay thế: Y bằng “” đại bàng “”, Z bằng “” cò dưa hấu “"”, cò dưa hấu đại bàng + *
“Quy tắc: = Y Z * * | Thay thế: Y bằng “” chuối “”, Z bằng “” cò “"”, = cò chuối * *
“Quy tắc: - - Z Z | Thay thế: Z bằng “” cá mập “"”, - - cá mập
“Quy tắc: - X = Y | Thay thế: X bằng “” chuối đào “”, Y bằng “” chim cánh cụt hải cẩu “"”, - chuối đào = chim cánh cụt hải cẩu
“Quy tắc: X - + Y * | Thay thế: X bằng “” lê “”, Y bằng “” con dấu dưa hấu “"”, lê - + con dấu dưa hấu*
“Quy tắc: Y Y = Z = * | Thay thế: Y bằng “” blackberry kiwi “”, Z bằng “” kiwi “”, blackberry kiwi blackberry kiwi = kiwi = *
“Quy tắc: Y X * + | Thay thế: X bằng “” việt quất “”, Y bằng “” đào đào “"”, đào đào việt quất * +
“Quy tắc: Z = - Z * | Thay thế: Z bằng “” lê ngựa vằn “"”, lê ngựa vằn = - lê ngựa vằn *
“Quy tắc: Y * * Z = | Thay thế: Y bằng “” chuối blackberry “”, Z bằng “” cò chuối “"”, chuối blackberry * * cò chuối =
“Quy tắc: + Y + X | Thay thế: X bằng “" ngựa ngựa "”, Y bằng “" táo "”, + táo + ngựa
“Quy tắc: * * X X | Thay thế: X bằng “” dưa hấu “"”, * * dưa hấu dưa hấu
“Quy tắc: Z + * Y + | Thay thế: Y bằng “” chuối cá voi “”, Z bằng “” táo “"”, táo + * chuối cá voi +
“Quy tắc: - - + X X | Thay thế: X bằng “” sư tử “"”, - - - + sư tử
“Quy tắc: + * Y Z Z | Thay thế: Y bằng “” apple “”, Z bằng “” ngựa vằn “"”, + * táo ngựa vằn
“Quy tắc: * * X Y | Thay thế: X bằng “” ngựa vằn “”, Y bằng “” ngựa vằn lê “"”, * * ngựa vằn lê ngựa vằn
“Quy tắc: X - + - X | Thay thế: X bằng “” đại bàng “"”, đại bàng - + - đại bàng
“Quy tắc: Z X = * X | Thay thế: X bằng “” chuối nho “”, Z bằng “” cò “"”, chuối nho cò = * chuối nho
“Quy tắc: + Z Z = + Y | Thay thế: Y bằng “” cá voi “”, Z bằng “” chuối “"”, + chuối chuối = + cá voi
“Quy tắc: - X Z + | Thay thế: X bằng “” đại bàng “”, Z bằng “” con dấu dâu tây “"”, - hải cẩu đại bàng dâu tây +
“Quy tắc: X - - Z Z | Thay thế: X bằng “” kiwi “”, Z bằng “” nho chuột “"”, kiwi - - nho chuột
“Quy tắc: * - Z * Z Y | Thay thế: Y bằng “” dưa hấu lê “”, Z bằng “” con dấu chuối “"”, * - con dấu chuối * chuối hải cẩu lê dưa hấu
“Quy tắc: = Y X - | Thay thế: X bằng “” chuối “”, Y bằng “” blackberry “"”, = chuối blackberry -
“Quy tắc: Y X + + | Thay thế: X bằng “” sư tử chim cánh cụt “”, Y bằng “” sư tử kiwi “"”, sư tử chim cánh cụt kiwi +
“Quy tắc: Y + Z * - Z | Thay thế: Y bằng “” cá voi “”, Z bằng “” dâu tây “"”, cá voi + dâu tây * - dâu
“Quy tắc: X Z - = = | Thay thế: X bằng “” cá voi “”, Z bằng “” ngựa vằn “"”, ngựa vằn cá voi - = =
“Quy tắc: - + Z X | Thay thế: X bằng “” hải cẩu cá mập “”, Z bằng “” nho “"”, - + hải cẩu cá mập nho
“Quy tắc: Z = Y Z - | Thay thế: Y bằng “” dâu tây “”, Z bằng “” kiwi “"”, kiwi = dâu tây kiwi -
“Quy tắc: * * Z Z = Y | Thay thế: Y bằng “” nho dâu “”, Z bằng “” ngựa vằn “"”, * * ngựa vằn = nho dâu
“Quy tắc: + Z = X Z | Thay thế: X bằng “” blackberry “”, Z bằng “” cá mập nho “"”, + cá mập nho = cá mập nho blackberry
“Quy tắc: * = + Y X Z | Thay thế: X bằng “" trâu "”, Y bằng “" nho sư tử "”, Z bằng “" cá mập "”, * = + sư tử nho trâu
“Quy tắc: X + X - Y | Thay thế: X bằng “” rắn hổ mang blackberry “”, Y bằng “” sư tử “”, rắn hổ mang blackberry + rắn hổ mang blackberry - sư tử
“Quy tắc: + Z X = | Thay thế: X bằng “” ngựa “”, Z bằng “” ngựa vằn “"”, + ngựa vằn =
“Quy tắc: - Y Y - Y | Thay thế: Y bằng “” nho “"”, - nho nho - nho
“Quy tắc: - X Y * | Thay thế: X bằng “" chim cánh cụt rắn hổ mang "”, Y bằng “" trâu "”, - trâu chim cánh cụt rắn hổ mang *
“Quy tắc: + = - Y X Y | Thay thế: X bằng “” hải cẩu “”, Y bằng “” lê đại bàng “"”, + = - đại bàng lê hải cẩu dưa hấu lê đại bàng
“Quy tắc: = X = Y X | Thay thế: X bằng “” cò “”, Y bằng “” ngựa blackberry “"”, = cò = cò ngựa blackberry
“Quy tắc: - Y + Y | Thay thế: Y bằng “” dưa hấu “"”, - dưa hấu + dưa hấu
“Quy tắc: Z X - - Z * | Thay thế: X bằng “” ngựa vằn cá mập “”, Z bằng “” ngựa vằn “"”, ngựa vằn cá mập ngựa vằn - - ngựa vằn *
“Quy tắc: = = Y X - Z | Thay thế: X bằng “" trâu "”, Y bằng “" trâu việt quất "”, Z bằng “" rắn hổ mang dưa hấu "”, = = trâu trâu việt quất - rắn hổ mang dưa hấu
“Quy tắc: X Y = + Y | Thay thế: X bằng “” việt quất “”, Y bằng “” lê sư tử “"”, lê sư tử việt quất = + lê sư tử
“Quy tắc: Z Z * + = | Thay thế: Z bằng “” rắn hổ mang “"”, rắn hổ mang * + =
“Quy tắc: - Y Z + - Z | Thay thế: Y bằng “" con dấu "”, Z bằng “" trâu "”, - hải cẩu trâu + - trâu
“Quy tắc: X = - = X | Thay thế: X bằng “” quả việt quất chim cánh cụt “"”, chim cánh cụt việt quất = - = chim cánh cụt việt quất
“Quy tắc: = Z = * Z Z | Thay thế: Z bằng “” rắn hổ mang kiwi “"”, = rắn hổ mang kiwi = * rắn hổ mang kiwi kiwi
“Quy tắc: * = Z Z X | Thay thế: X bằng “” cá mập “”, Z bằng “” ngựa việt quất “"”, * = ngựa việt quất ngựa cá mập việt quất
“Quy tắc: = X X - X | Thay thế: X bằng “” chim cánh cụt “"”, = chim cánh cụt - chim cánh cụt
“Quy tắc: * Y - Y + | Thay thế: Y bằng “” quả táo đại bàng “"”, * đại bàng táo - táo đại bàng +
“Quy tắc: + X Y - X | Thay thế: X bằng “” dưa hấu dâu “”, Y bằng “” chuột “"”, + chuột dưa hấu dâu tây - dưa hấu dâu
“Quy tắc: Z = X - + Z | Thay thế: X bằng “” cò việt quất “”, Z bằng “” đại bàng ngựa vằn “"”, đại bàng ngựa vằn = cò việt quất - + đại bàng ngựa vằn
