source, target
Quy tắc: Y * * Y | Y * * | * * Y | * * Y | Kết quả: chim cánh cụt chim cánh cụt * * chim cánh cụt, Y* * Y
Quy tắc: = - X - Z | - X - Z = | - X = Z - | X - - = Z | Kết quả: cá mập cá mập - - = chim cánh cụt sư tử, X X - - = Z
Quy tắc: * = Y = X Y | = X = * Y | = Y X * = | X = * Y = | Kết quả: * = đào = chuối đào, * = Y = X Y
Quy tắc: + * + Y | Y + * + | Y * + | Y +* Y + | Kết quả: nho đào + * nho đào +, Y + * Y +
Quy tắc: * Z Z + | + * Z | + Z * | Z + * | Kết quả: * nho ngựa vằn nho vằn +, * Z Z +
Quy tắc: = + Y - Z | Z - = + Y | = Z Z - Y + | = + Y Z - | Kết quả: = ngựa ngựa - đại bàng cá voi +, = Z Z - Y +
Quy tắc: Y Y + = | = + Y | = + Y | + = Y | Kết quả: chuối dâu tây chuối dâu tây + =, Y Y + =
Quy tắc: + - - Y X | X Y + - - | Y - X - + | + X - Y - | Kết quả: đào - dâu tây - +, Y - X - +
Quy tắc: = Z + = | Z = Z = + | = = Z + | = + Z = | Kết quả: kiwi = kiwi = +, Z = Z = +
Quy tắc: * + * Y X | X * * Y + | + * X * Y | * Y * X + | Kết quả: blackberry * * nho +, X * * Y +
Quy tắc: Z + * Y | Z * Y + | Z * Y + | Y Z * + Y | Kết quả: rắn hổ mang đại bàng * + đại bàng, Y Z * + Y
Quy tắc: + = Y X Y | Y X = + | + = Y X | = Y X + | Kết quả: + = ngựa vằn dâu tây ngựa vằn dâu tây, + = Y X Y
Quy tắc: = Y = * | Y * = = | = * Y | = Y = Y * Y | Kết quả: = rắn hổ mang sư tử = rắn hổ mang sư tử * rắn hổ mang sư tử, = Y = Y * Y
Quy tắc: * Y = X - | = * Y X - | = * X - Y | Y = * - X | Kết quả: con dấu con dấu = * - dâu tây cò, Y Y = * - X
Quy tắc: Z Z + = * | Z + * = | Z * + = | + Z * = | Kết quả: chim cánh cụt chim cánh cụt chim cánh cụt chim cánh cụt + = *, Z Z + = *
Quy tắc: - - Y + | + - Y - Y | + Y - - - - Y | Kết quả: + - cá voi việt quất - cá voi việt quất cá voi việt quất, + - Y - Y Y
Quy tắc: - - * Y Z | Z - - * Y | - Y * Z - | Y - - Z * | Kết quả: apple - - chim cánh cụt *, Y - Z *
Quy tắc: X * * Y + | + * X * Y | * X +* Y Y | * + * Y X | Kết quả: * chim cánh cụt cò + * con dấu niêm phong con dấu, * X +* Y Y
Quy tắc: * - X Z | * - X Z | Z - * X | - X * Z | Kết quả: * - hải cẩu cá voi rắn hổ mang việt quất, * - X Z
Quy tắc: Z + Y * + | + Y * Z + | Y +* Y Z + | Y * + Z + | Kết quả: ngựa chim cánh cụt +* chim cánh cụt ngựa chim cánh cụt +, Y + * Y Z +
Quy tắc: * X + | + * X X X | X * + | X + * | Kết quả: + * ngựa ngựa, + * X X X
Quy tắc: = = Z - | = Z = - | Z = Z - | = Z = - | Kết quả: việt quất = = việt quất -, Z = Z -
Quy tắc: Z + * X | Z +* X | Z X + * | + Z X * | Kết quả: táo + * việt quất, Z + * X
Quy tắc: X * Z * | Z X* * Z | Z * X * | Z * X * | Kết quả: kiwi chuối sư tử * * kiwi chuối, Z X* * Z
Quy tắc: Y + * | + Y * | + Y * | Y * + Y | Kết quả: lê chuột * + lê chuột, Y * + Y
Quy tắc: + * X | X * + X | X + * | * X + | Kết quả: chuối táo * + chuối táo, X * + X
Quy tắc: = Y = Z = X | Y = = Z X | X = Y = Z = | X = Y = Z = | Kết quả: blackberry = cá mập rắn hổ mang = ngựa =, X = Y = Z =
Quy tắc: + = = Z | Z = = + Z | = = + Z | = = + Z | Kết quả: dâu tây = = + dâu tây, Z = = + Z
Quy tắc: + Z - Y X | X - + Z Y | X Y + Z - | Y - Z X + | Kết quả: táo kiwi + táo -, X Y + Z -
Quy tắc: Z * Y X + = | Y X Z * = + | + X = Z * Y | Y + * X Z = | Kết quả: con dấu con dấu ngựa vằn chuối chuột đào * = +, Y X Z * = +
Quy tắc: Y = = X | Y = X = | X = Y = X | X = Y = | Kết quả: ngựa = chim cánh cụt kiwi = ngựa, X = Y = X
Quy tắc: X = - = Z | = X = - Z | - X = Z | = - Z = X | Kết quả: = cá mập dâu = - sư tử việt quất, = X = - Z
Quy tắc: = = - Y | = - Y = | = - Y = | = - Y = Y | Kết quả: = - chim cánh cụt = chim cánh cụt, = - Y = Y
Quy tắc: - Y Z - | - - Z Y | - Y Z - | - Z - Y | Kết quả: - - cò rắn hổ mang, - - Z Y
Quy tắc: Y = * Z | Y * Z = | = Y Z * | Y Z = * | Kết quả: chim cánh cụt sư tử dưa hấu chuối = *, Y Z = *
Quy tắc: X = = | X = X | = = X | = X = | Kết quả: con dấu lê = = con dấu lê, X = X
Quy tắc: Y + Z * | Z * Y + | Y +* Z | Y Z * + | Kết quả: sư tử lê + blackberry *, Y + Z *
Quy tắc: + - Z Y - | Z - + Y - | - Y Z - + | - Y Z - + | Kết quả: - chim cánh cụt chuột - +, - Y Z - +
Quy tắc: Z * = * | * Z = Z * | Z * = * | Z = * * | Kết quả: * lê = lê *, * Z = Z *
Quy tắc: Z = X - | Z = X - | - Z X = | - = X Z | Kết quả: ngựa vằn = nho -, Z = X -
Quy tắc: X = X Z - = | = Z = - X | X - = Z | X Z = = - | Kết quả: trâu ngựa = trâu ngựa việt quất trâu - =, X = X Z - =
Quy tắc: Y + - X * X | X - * Y + | Y + X * - | - Y * + X | Kết quả: trâu dâu + - ngựa* ngựa, Y + - X * X
Quy tắc: X - Y Z * | * X Z Y - | * X - Z Y | * Z X Y - | Kết quả: * đào sư tử cá mập cá mập đào -, * Z X Y -
Quy tắc: Z Y + = - | = Z - + Y | + - Y Z = | = Z Y + - | Kết quả: = ngựa vằn - + quả việt quất, = Z - + Y
Quy tắc: * X Y = * | * = * Y X | * Y X * = | * X * = Y Y | Kết quả: * sư tử * = cá mập dâu tây cá mập dâu tây, * X * = Y Y
Quy tắc: * Y - Z = | - = * Z Y | Z Y - * = | Z = * Y - | Kết quả: ngựa vằn = * đại bàng -, Z = * Y -
Quy tắc: - X * Z + | + * Z X - | - X * + Z | - Z X * + | Kết quả: - ngựa * kiwi +, - X * Z +
Quy tắc: + = * Y | * Y + = | = Y + Y * Y | * = + Y | Kết quả: = cò + cò * cò, = Y + Y * Y
Quy tắc: - Y + = | - + Y = | - Y = + | Y Y = - + | Kết quả: việt quất việt quất = - +, Y Y = - +
Quy tắc: = = Z X + Y | = Z + = Y X | Y X Z + = = | = Y = Z + X | Kết quả: = = đào cá voi nho đào + sư tử chim cánh cụt, = = Z X + Y
Quy tắc: X Z = * | Z * Z X = | = X Z * | = X * Z | Kết quả: dưa hấu * ngựa dưa hấu =, Z * Z X =
Quy tắc: + * Y Z - | + Z - * Y | * Y Z + - | Z Y - + Z * | Kết quả: rắn hổ mang dâu tây dưa hấu - + ngựa vằn dưa hấu *, Z Y - + Z *
Quy tắc: * Z - Y | Z Y - * | Z * Y - | Z * - Y | Kết quả: táo rắn hổ mang đào - *, Z Y - *
Quy tắc: Z = X + | = + Z X | Z + X = | X + = Z | Kết quả: kiwi + nho blackberry =, Z + X =
Quy tắc: + Y X - = X | Y = X - + | = + - Y X | + Y - X = | Kết quả: + rắn hổ mang đào sư tử - = sư tử, + Y X - = X
Quy tắc: - X + + Z | + X Z + - | + Z + - X | X - + Z | Kết quả: - sư tử táo + + đại bàng, - X + + Z
Quy tắc: + - X Z | + - Z X Z | Z X - + | - + X Z | Kết quả: + - cá voi cò sư tử cá voi, + - Z X Z
Quy tắc: X - Y = - | X Y = X - - - | X - Y = | Y - - X = | Kết quả: đại bàng việt quất = đại bàng - -, X Y = X - -
Quy tắc: Z + Z + + | Z + + | + + Z + | + Z + | + Z + | Kết quả: trâu + trâu + +, Z + Z + +
Quy tắc: X Z Y = * | * = X Z Y | Y Z * X = | X = Z Y * | Kết quả: đại bàng cá voi đen dưa hấu = *, X Z Y = *
Quy tắc: + X - Y * | Y + X * - | + - Y * X | * X Y - + | Kết quả: + ngựa chuối - chuối đào *, + X - Y *
Quy tắc: * = = Z X | Z Z * = X = | = * Z = X | X = Z * = | Kết quả: sư tử kiwi sư tử kiwi kiwi kiwi * = trâu =, Z Z * = X =
Quy tắc: * Y + - X | - Y * X + | X + * - Y | Y - * + X | Kết quả: trâu + * - ngựa, X + * - Y
Quy tắc: + Z * X | Z X + * | + X * Z | + X * Z | Kết quả: + chuột * lê, + Z * X
Quy tắc: = X * Y | X = * Y | Y = Y X * | X = * Y | Kết quả: nho = đại bàng nho *, Y = Y X *
Quy tắc: - Y - Z | - Y - Z | - Z Y | Y - - Z | Kết quả: - đại bàng cò - cá mập, - Y - Z
Quy tắc: = - Z Z | = - Z | - Z = | = Z - | Kết quả: = - rắn hổ mang cá mập rắn hổ mang cá mập, = - Z Z
Quy tắc: Z * Y = = | * Z = Y | = Y = * Z | = Y * Z Y | Kết quả: = = cò việt quất * cò việt quất cò, = Y * Z Y
Quy tắc: Z - Z + | - + Z | + Z - | + Z - | Kết quả: ngựa vằn - ngựa vằn +, Z - Z +
Quy tắc: = + + Y X | + X Y + = | = + X + Y | Y + X = + | Kết quả: = + việt quất dưa hấu + chuột, = + X + Y
Quy tắc: Y Y = = Y = | Y = = | = Y = | = Y = | Kết quả: nho nho = = nho =, Y Y = Y =
Quy tắc: - Y Z = * X | * = Z Y X - | * Y Z - X = | Y * - = Z X | Kết quả: * = ngựa vằn đào việt quất -, * = Z Y X -
Quy tắc: - Z = * X | * = X Z - Z | X = Z * - | Z X - * = | Kết quả: * = kiwi rắn hổ mang táo - rắn hổ mang kiwi, * = X Z - Z
Quy tắc: = Z * Y | Z Y * = | * Y Z = | Z * = Y | Kết quả: = con dấu * nho, = Z * Y
Quy tắc: X X = * Z | X Z = * | X = * Z | Z * X = | Kết quả: rắn hổ mang dâu tây rắn hổ mang = * cá mập, X X = * Z
Quy tắc: * Y * X | * Y * X Y | * Y X * | * * X Y | Kết quả: * đại bàng * rắn hổ mang việt quất đại bàng, * Y * X Y
Quy tắc: = Y + + Z | = + Y + Z | + Z Y + Z = | + = Z Y + | Kết quả: + ngựa chuột dâu tây + ngựa chuột =, + Z Y + Z =
Quy tắc: Y X - * | - * Y X | - X * Y | Y - * X | Kết quả: - * sư tử đào dâu, - * Y X
Quy tắc: = Y X Y - | - X = Y | X - = Y | - = X Y | Kết quả: = nho sư tử dâu tây nho -, = Y X Y -
Quy tắc: * Y * Z * | * * Z * Y | * Z * Y * | * * Y Y Z | Kết quả: * * * sư tử sư tử táo sư tử, * * * Y Y Z
Quy tắc: Z + X Y * | Z * Y X + | + X Z Y * | X Z Y + * | Kết quả: + cá mập chim cánh cụt sư tử táo *, + X Z Y *
Quy tắc: X + + Z | X + + Z | Z X + | + X Z + | Kết quả: cá mập cá mập + + cá mập hải cẩu, X + + Z
Quy tắc: - Z + X | - X + Z | + X Z - | + X Z - | Kết quả: + cá voi chuột việt quất -, + X Z -
Quy tắc: Z = X + | X Z = + | + = Z X Z | + = X Z | Kết quả: + = sư tử blackberry cá voi sư tử blackberry, + = Z X Z
Quy tắc: Z + Z Y = * | Z Y + = * | + = Y Z * | + * Y Z = | Kết quả: chim cánh cụt + cá mập chuối chim cánh cụt = *, Z + Z Y = *
Quy tắc: = = X Y + | = Y + = X | X + = Y | Y X + Y = = | Kết quả: cò ngựa việt quất nho + cò ngựa = =, Y X + Y = =
Quy tắc: - X + - Z | - Z + X - | X + - Z - | - + - X Z | Kết quả: - + - táo lê cá mập ngựa vằn, - + - X Z
Quy tắc: X = * | X X = * | = X * | = X * | Kết quả: trâu trâu trâu trâu = *, X X = *
Quy tắc: Y - + Z - | - Y - Z + | - Y + - Z | - + - Y Z | Kết quả: ngựa - + kiwi -, Y - + Z -
Quy tắc: - - X Z = | Z - = - X | - Z - X = | X - Z - = X | Kết quả: việt quất - chuối - = việt quất, X - Z - = X
Quy tắc: = Y Z = = | = Z Z = Y = | = Z = Y | = Y Z = | Kết quả: = trâu dâu trâu dâu = cá voi =, = Z Z = Y =
Quy tắc: = - Y + X | Y + X = - | X + X = Y - | + Y X - = | Kết quả: con dấu blackberry + con dấu blackberry = dâu tây -, X + X = Y -
Quy tắc: - * Y Y | - * Y | * - Y | * - Y | Kết quả: - * rắn hổ mang blackberry cobra blackberry cobra blackberry, - * Y Y Y
Quy tắc: = X + Y Z | Z Y = X + | + X Y Z = | X Y Z + = | Kết quả: + sư tử cá voi đào =, + X Y Z =
Quy tắc: X = Z * = | X Z = * | * = Z X | Z = * = X | Kết quả: * = = ngựa vằn cá voi đại bàng, * = Z X
Quy tắc: X * * | * X * | * X X * | * * X | Kết quả: * sư tử ngựa vằn sư tử ngựa vằn *, * X X *
Quy tắc: - X +* Z | - * Z + X | Z - Z + X * | + * Z X - | Kết quả: kiwi - kiwi + sư tử nho *, Z - Z + X *
Quy tắc: - Z - Y X - | - X - Y - Z | Z - X Y - - | - Y Z - X | Kết quả: - - cò chuối - chuột, - Y Z - X
Quy tắc: X - = Z | X - Z = | Z - X = | X Z = - X | Kết quả: lê nho dưa hấu = - nho dưa hấu, X Z = - X
Quy tắc: Y = X = Z | = Y Z = X | Y = X = Z | = Z = Y X | Kết quả: = apple blackberry = chim cánh cụt sư tử cò, = Z = Y X
Quy tắc: * * Y X + | X +* * Y | * Y Y X + | Y * * X + | Kết quả: * * chuối chim cánh cụt +, * * Y Y X +
Quy tắc: + * X * Z X | * + * Z X | * X + Z * | Z * + X * | Kết quả: + * dâu đào * rắn hổ mang chim cánh cụt dâu đào, + * X * Z X
Quy tắc: Y - Z + | - + Y Z | + Y Z - | - Y + Z | Kết quả: cò dâu tây - blackberry +, Y - Z +
Quy tắc: Y + * | + * Y | + * Y | Y Y + * | Kết quả: đào đào + *, Y Y + *
Quy tắc: - Z + + Y | + + Z - Y | Z + - Y + | Z - + Y + | Kết quả: - blackberry + + đóng dấu kiwi, - Z + Y
Quy tắc: Z + * X | + * X Z | * + Z X | * Z + X | Kết quả: * + chuối nho, * + Z X
Quy tắc: * Z - | - Z * | - Z * | - Z Z * | Kết quả: - chim cánh cụt chim cánh cụt *, - Z Z *
Quy tắc: Z = = | Z = | Z = | Z = | Z = | Kết quả: táo dâu = táo dâu =, Z = Z =
Quy tắc: + X + | X + + X X | X + | + X + | Kết quả: dâu tây + + dâu tây, X + + X X
Quy tắc: + + = Y X | X Y + = + | + Y + = X | + X + = Y | Kết quả: + kiwi nho + = dâu lê lê dâu tây, + Y + = X X
Quy tắc: * + = X Y | Y = X Y * + | = * X + Y | = Y * X + | Kết quả: ngựa vằn = cá mập ngựa vằn * +, Y = X Y * +
Quy tắc: = - X = Z | - = Z X = | X = Z - | = Z = X - | Kết quả: = chuột blackberry = chuối nho -, = Z = X -
Quy tắc: + - Z * X | Z Z + X * - | Z - * + X | X Z * - + | Kết quả: dưa hấu dưa hấu + ngựa vằn * -, Z Z + X * -
Quy tắc: * = Z * Y | Y Z = * * | * Y * = Z | Z * * = Y | Kết quả: nho việt quất vằn nho = * *, Y Z = * *
Quy tắc: Z + Z X - | Z + X - | - + X Z | X + - Z | Kết quả: rắn hổ mang sư tử + rắn hổ mang sư tử cá voi nho -, Z + Z X -
Quy tắc: * + Z Y | * Y Z + | Z Y + * | * + Y Z | Kết quả: * + chim cánh cụt sư tử, * + Y Z
Quy tắc: - + Z Z | - + Z | Z + - | Z + - | Kết quả: - + trâu ngựa trâu ngựa, - + Z Z
Quy tắc: - X + - | - X + - X X | - X - + | X - + - | Kết quả: - blackberry + - blackberry, - X + - X X
Quy tắc: X * - | - X * | X X * - | X - * | Kết quả: cá mập cá mập cá mập cá voi * -, X X * -
Quy tắc: X Z + - | Z + - X | Z Z + X - | + X - Z | Kết quả: lê lê + rắn hổ mang -, Z Z + X -
Quy tắc: Y = - + X | + = Y - X | - Y = X + | + Y = X - | Kết quả: - trâu cá mập = đại bàng nho +, - Y = X +
Quy tắc: = Y X = | X Y = | X = Y = | Y = X | Kết quả: chuột đào = = ngựa vằn, Y = X
Quy tắc: - X = Y X + | = + Y - X | Y X - + = | + X = - Y | Kết quả: - đại bàng = đại bàng trâu ngựa vằn +, - X = Y X +
Quy tắc: Z + X * | + * Z X | * X Z + | X Z + * | Kết quả: con dấu + chuối *, Z + X *
Quy tắc: Y * - X + | X Y + * - | - X * + Y Y | Y X + - * | Kết quả: - rắn hổ mang hải cẩu * + trâu kiwi kiwi kiwi kiwi, - X * + Y Y
Quy tắc: Z - * - Y | * - Z Y - | Z - Y - * | Y - * - Z | Kết quả: đại bàng - * - cá mập việt quất, Z - * - Y
Quy tắc: = Z - + X | + X Z - = | = + X Z - | = X + - Z | Kết quả: = sư tử kiwi + - ngựa, = X + - Z
Quy tắc: X + + = Z | X + = Z + | + + X Z = | + X + Z = Z | Kết quả: + con dấu + dưa hấu chuột = dưa hấu chuột, + X + Z = Z
Quy tắc: * X = Y | = Y X * | X = * Y | * X = Y | Kết quả: = táo kiwi *, = Y X *
Quy tắc: Z = - Z + Z | Z - + = | - Z + = | + Z - = | Kết quả: cá voi đào = - cá voi đào + cá voi đào, Z = - Z + Z
Quy tắc: = Z X * = | X = Z * Z | X = Z = * | * X = Z | Kết quả: chuột kiwi = = rắn hổ mang cá voi * rắn hổ mang voi, X = Z * Z
Quy tắc: - X * Z X * | * Z - X * | Z * * - X | Z - X * * | Kết quả: - chuối blackberry * kiwi shark blackberry chuối *, - X* Z X *
Quy tắc: = + Y X + | + X Y + = | = + Y X + | X + = + Y Y | Kết quả: chim cánh cụt đào + = + dưa hấu dâu tây dưa hấu dâu tây, X + = + Y Y
Quy tắc: Y X = + - | = + Y X - | + X - = Y | Y + - X = | Kết quả: + sư tử chim cánh cụt - = cá mập dưa hấu, + X - = Y
Quy tắc: X Z = - + | - X = + Z | Z = - + X | X Z + - = | Kết quả: - cò = + đại bàng, - X = + Z
Quy tắc: - = X Z Y = | X Y = - Z = | Y = X - Z | X Z - = Y = | Kết quả: - = dâu đen việt quất nho cò sư tử dưa hấu =, - = X Z Y =
Quy tắc: - X = + Y Z | - = X + Y Z | X Z + = - Y | = Y Z - + X | Kết quả: = quả việt quất đào - + cá voi chuối, = Y Z - + X
Quy tắc: X Z * + | X + * Z | Z X + * | X Z * Z + | Kết quả: chuối sư tử trâu sư tử * trâu sư tử +, X Z* Z +
Quy tắc: X - X * | - X * | * - X | * - X | Kết quả: đại bàng - đại bàng *, X - X *
Quy tắc: Y X * * | Y * X * | Y * * X | * * X Y | Kết quả: lê dâu cá voi * *, Y X * *
Quy tắc: * Z X = - | Z X = * - | X = - * Z Z | * - = Z X | Kết quả: cò = - * sư tử việt quất, X = - * Z Z
Quy tắc: * Y + | * Y Y + | * + Y | + Y * | Kết quả: * táo táo +, * Y Y +
Quy tắc: X + + * Z | + X Z * + | + Z Z * + X | * + Z X + | Kết quả: + cá voi * + trâu chim cánh cụt, + Z Z * + X
Quy tắc: X * X * * | * X * * | * * X * | X * * * | Kết quả: chim cánh cụt cò * cò chim cánh cụt * *, X * X * *
Quy tắc: = X * Z Y | = Y X Z * | Z * = Y X | Y Z X = * | Kết quả: = dâu đen việt quất * nho kiwi, = X * Z Y
Quy tắc: - + Z - Y X | + Z X - - Y | - Y - + Z X | Z Y + - X - | Kết quả: blackberry cò việt quất + - cá mập táo -, Z Y + - X -
Quy tắc: Y - + X - | Y - + X - | - X + Y - | Y X - | Kết quả: chuột + - con dấu ngựa -, Y + - Y X -
Quy tắc: Y * * Z = X | * X Y = Z * | X * = Y Z * | = X * * Y Z | Kết quả: * cá mập táo = nho nho *, * X Y = Z *
Quy tắc: X * Z X - | - Z X * | X - * Z | X - * Z | Kết quả: nho blackberry * cá mập đại bàng nho blackberry -, X* Z X -
Quy tắc: Y * + | + Y * | Y Y + * | * Y + | Kết quả: con dấu dấu + *, Y Y + *
Quy tắc: - X Y - Z | Z X - - Y | Z - - X Y | X Y Z - - | Kết quả: kiwi táo đào - - việt quất, Z X - - Y
Quy tắc: = + Z * | = Z + * | Z + = * | + Z = Z Z * | Kết quả: + rắn hổ mang = rắn hổ mang *, + Z = Z *
Quy tắc: * Y * Z Y + | Y * + * Z | * Z Y * + | Z Y * + * | Kết quả: * ngựa vằn * ngựa vằn +, * Y * Z Y +
Quy tắc: = Y - = | Y Y = - | = = Y - | Y - = = | Kết quả: rắn hổ mang = = -, Y Y = -
Quy tắc: - X + X X | X - + | - + X | + X - | Kết quả: - lê kiwi + kiwi lê kiwi lê, - X + X X
Quy tắc: Y + - X | X - Y + | - + X Y | Y - X + | Kết quả: cò lê + - cá mập ngựa vằn, Y + - X
Quy tắc: + Z + | + + Z | Z Z + | + + Z | Kết quả: đại bàng đại bàng +, Z Z + +
Quy tắc: Y X + = + | Y + + X = Y | X + Y + = | Y + X = | Kết quả: sư tử + + lê việt quất = sư tử, Y + + X = Y
Quy tắc: Y Z = X = = | = = Z = X Y | = Z = Y X = | = Z = Y X | Kết quả: = chim cánh cụt đại bàng = trâu cò ngựa =, = Z = Y X =
Quy tắc: = Y Z * | * Y = Z | Z Y * = | * = Z Y | Kết quả: kiwi rắn hổ mang táo * =, Z Y * =
Quy tắc: X Y - = Z | - X = Y Z | Y Z - = X | - = Y Z X | Kết quả: cá mập chuối nho đại bàng - = chuột kiwi, X Y - = Z
Quy tắc: X + * Z = | * + = Z X | Z * = X + | Z * + = X | Kết quả: * + = cò dâu tây, * + = Z X
Quy tắc: + X Y = | Y = X + | X Y + = | X Y + = | Kết quả: apple = blackberry +, Y = X +
Quy tắc: + X * = Z | * + Z X = | + Z * = X Z | + X = Z * | Kết quả: + ngựa vằn * = ngựa vằn kiwi, + Z * = X Z
Quy tắc: * + Z Y - | Y - + Y * Z | * Z - + Y | + - Z * Y | Kết quả: ngựa - + ngựa* con dấu, Y - + Y * Z
Quy tắc: X = * Y * Z | Z = Y * * X | * Z X = Y * | Z X Y * = | Kết quả: trâu = đại bàng chuối * * nho chim cánh cụt, Z = Y * * X
Quy tắc: Y = - | Y = - | Y = - | Y | Kết quả: dưa hấu đào = - dưa hấu đào, Y = - Y
Quy tắc: = Y * Y | Y = * | = * Y | = Y * | Kết quả: = kiwi táo * kiwi táo, = Y * Y
Quy tắc: X - * Y | * Y X - | Y - * X Y | X Y * - | Kết quả: ngựa vằn - * ngựa vằn, Y - * X Y
Quy tắc: Z Y * * - | - Z * Y * | Z * Y - | Z - Y * * * | Kết quả: - cò táo * rắn hổ mang *, - Z * Y *
Quy tắc: - + Y Z - | Z - - Y + | Y - Y Z + - | + - - Z Y | Kết quả: ngựa vằn đào - chuột ngựa vằn đào + -, Y - Y Z + -
Quy tắc: X + = Z | X Z X + = | + X Z = | X = + Z | Kết quả: đại bàng nho đại bàng + =, X Z X + =
Quy tắc: - * X | X - * | X * - | X * - | Kết quả: cá mập voi * cá mập voi -, X * X -
Quy tắc: - - = Y X | Y - - = X | X = Y - - | = - Y - X | Kết quả: - - = blackberry blueberry, - - = Y X
Quy tắc: * Z = Y | * Y = Z | * Z Y = | Z * = Y | Kết quả: chim cánh cụt đào * = việt quất, Z * = Y
Quy tắc: Y * Y + + Y | Y + + * | Y + * + | + + Y * | Kết quả: đào * đào + + đào, Y * Y + + Y
Quy tắc: * + = Z Y | + = * Y Z | + Z Y * = | Y Y Z + = * | Kết quả: quả lê lê đại bàng việt quất + = *, Y Y Z + = *
Quy tắc: * Y Z * + | Y * Z + * | + Y * Z * | + * Y * Z Z | Kết quả: + * cá mập rắn hổ mang * chuột chuối chuối chuối, + * Y * Z Z
Quy tắc: + Y = + X | Y + X + = | X = + Y + | + + X = Y | Kết quả: ngựa = + cá mập +, X = + Y +
Quy tắc: + - Z = X | Z + X - X = | X = Z - + | Z X - = + | Kết quả: đào + cò - cò =, Z + X - X =
Quy tắc: Y + X = + | X + = + Y | + Y X = + | + X = + Y | Kết quả: trâu + = + lê, X + = + Y
Quy tắc: Z * * | * * Z | Z * * | * * Z Z | Kết quả: * * ngựa vằn, * * Z Z
Quy tắc: = = X | X = = | X = | = X = X | Kết quả: = rắn hổ mang trâu = rắn hổ mang trâu, = X = X
Quy tắc: * X = Z - | X Z - * = | X Z = - * | X = Z X * - | Kết quả: rắn hổ mang = rắn hổ mang đại bàng * -, X = Z X * -
Quy tắc: Z = Y X + | Y = + Z X | = Y Z X + | X + Y Z = | Kết quả: đào = + lê táo dưa hấu, Y = + Z X
Quy tắc: Y X = X * | = Y X * | * X Y = | Y X = * | Kết quả: rắn hổ mang chim cánh cụt lê việt quất = rắn hổ mang chim cánh cụt *, Y X = X *
Quy tắc: = X = Z Y | Y Z = X = | = Y = X Z | = Z = X Y | Kết quả: cá mập sư tử nho việt quất = chuột =, Y Z = X =
Quy tắc: * X * = | * X = * X | X * = * | = * X * | Kết quả: * kiwi = * kiwi, * X = * X
Quy tắc: + Y Z - | - + Z Y | + - Y Z | Z - Y + | Kết quả: - + rắn hổ mang dưa hấu, - + Z Y
Quy tắc: X = = Y | X = Y = | X = Y | = X = Y | Kết quả: = đào = cá mập, = X = Y
Quy tắc: Z + Z - + X | Z + X + - | X Z - + | + + Z X - | Kết quả: dưa hấu + dưa hấu - + chuối, Z + Z - + X
Quy tắc: X Y = - | - X X Y = | X Y - = | - = X Y | Kết quả: - kiwi việt quất kiwi việt quất kiwi ngựa vằn =, - X X Y =
Quy tắc: X = + Z | Z X + = | = + Z X | = Z + X | Kết quả: = + dưa hấu blackberry, = + Z X
Quy tắc: * Y - = | = * Y - | Y Y * = - | = - Y * | Kết quả: con dấu táo con dấu táo * = -, Y Y * = -
Quy tắc: + X * = Z | = * X Z + | + * Z = X X | = X + Z * | Kết quả: + * cò = táo táo, + * Z = X X
Quy tắc: + Y X - | X Y - + | + X Y X - | X + - Y | Kết quả: + rắn hổ mang việt quất rắn hổ mang -, + X Y X -
Quy tắc: X Z * Y = - | Y X * - Z = | Z Y X = - * | = * Z - Y X | Kết quả: = * đại bàng - rắn hổ mang dưa hấu, = * Z - Y X
Quy tắc: Z + - X | Z X + - | Z + - X | - Z X + | Kết quả: cò lê + - cò, Z + - X
Quy tắc: Z * Y = | = Y * Y Z | = * Z Y | * Z Y = | Kết quả: = dưa hấu * sư tử sư tử dưa hấu, = Y * Y Z
Quy tắc: Z - X * + | Z X - * + | + X * Z - | X Z * + - | Kết quả: + dâu tây * cá voi -, + X * Z -
Quy tắc: Y Z - * | Y - * Z | Z - Y * | * - Y Z | Kết quả: * - chuối ngựa vằn dưa hấu ngựa vằn, * - Y Z
Quy tắc: - = Y - | = Y - - | - Y = | Y - = | Kết quả: đào - đào - =, Y - Y - =
Quy tắc: X * * + Y Z | X * + Z * Y | Y Z X * * + | * + * X Y Z | Kết quả: đào * * * + rắn hổ mang blackberry, X * * + Y Z
Quy tắc: X = + + | = X + X + | + + X = | + X = + | Kết quả: = cá mập + cá mập +, = X + X +
Quy tắc: + X - - Y | + X Y - - | X + - - Y | + - Y X - | Kết quả: cá voi + - - blackberry, X + - - Y
Quy tắc: Z = - Y | Y - Z = | Z = Y - | Y - = Z | Kết quả: lê dâu đen - = quả việt quất nho, Y - = Z
Quy tắc: = Z = - X | X = - = Z | X - = Z = | = Z X - | Kết quả: = = cá mập cá mập cá voi lê -, = Z X -
Quy tắc: - - Y | - - Y | Y - Y | Y - - | Kết quả: cá voi chim cánh cụt - - cá voi chim cánh cụt, Y - - Y
Quy tắc: = = X | = X = | X X = X | X = | Kết quả: rắn hổ mang dâu tây rắn hổ mang = = rắn hổ mang dâu tây, X X = X
Quy tắc: X Y + - | + Y - X X | - Y X + | Y X - + | Kết quả: + cá voi chuột - kiwi việt quất kiwi việt quất, + Y - X X
