source,target
"Rules: * Y - * X Z | Substitutions: X by "" shark "" , Y by "" stork "" , Z by "" stork """,* stork - * shark stork
"Rules: Z * Y + | Substitutions: Y by "" cobra rat "" , Z by "" blackberry strawberry """,blackberry strawberry * cobra rat +
"Rules: Y + + X Y + | Substitutions: X by "" banana stork "" , Y by "" banana seal """,banana seal + + banana stork banana seal +
"Rules: Y = - Y = | Substitutions: Y by "" shark """,shark = - shark =
"Rules: Z = Y - Z | Substitutions: Y by "" grape cobra "" , Z by "" apple rat """,apple rat = grape cobra - apple rat
"Rules: = X Z * | Substitutions: X by "" blueberry "" , Z by "" banana peach """,= blueberry banana peach *
"Rules: X Z = X * | Substitutions: X by "" buffalo "" , Z by "" peach blackberry """,buffalo peach blackberry = buffalo *
"Rules: Y Y = * = | Substitutions: Y by "" buffalo """,buffalo buffalo = * =
"Rules: = Z X X * | Substitutions: X by "" zebra apple "" , Z by "" shark strawberry """,= shark strawberry zebra apple zebra apple *
"Rules: Y - - X X - | Substitutions: X by "" horse "" , Y by "" blackberry cobra """,blackberry cobra - - horse horse -
"Rules: Z X + + * | Substitutions: X by "" penguin buffalo "" , Z by "" cobra shark """,cobra shark penguin buffalo + + *
"Rules: + Y = = Y | Substitutions: Y by "" stork """,+ stork = = stork
"Rules: - X Y + X | Substitutions: X by "" kiwi kiwi "" , Y by "" banana """,- kiwi kiwi banana + kiwi kiwi
"Rules: + Y * Y | Substitutions: Y by "" shark buffalo """,+ shark buffalo * shark buffalo
"Rules: - Y X - Z | Substitutions: X by "" horse apple "" , Y by "" penguin whale "" , Z by "" watermelon blueberry """,- penguin whale horse apple - watermelon blueberry
"Rules: = X = * X | Substitutions: X by "" stork watermelon """,= stork watermelon = * stork watermelon
"Rules: = = Z Y - | Substitutions: Y by "" pear "" , Z by "" shark """,= = shark pear -
"Rules: X = + Y X - | Substitutions: X by "" grape "" , Y by "" eagle kiwi """,grape = + eagle kiwi grape -
"Rules: Z X X * * * | Substitutions: X by "" eagle eagle "" , Z by "" cobra pear """,cobra pear eagle eagle eagle eagle * * *
"Rules: Y * X + | Substitutions: X by "" whale "" , Y by "" whale stork """,whale stork * whale +
"Rules: - X * Z - | Substitutions: X by "" horse "" , Z by "" pear zebra """,- horse * pear zebra -
"Rules: + Z Y - | Substitutions: Y by "" lion apple "" , Z by "" watermelon banana """,+ watermelon banana lion apple -
"Rules: X + Z * * Z | Substitutions: X by "" stork "" , Z by "" blueberry apple """,stork + blueberry apple * * blueberry apple
"Rules: X = - X | Substitutions: X by "" horse horse """,horse horse = - horse horse
"Rules: Y - Y * = | Substitutions: Y by "" buffalo """,buffalo - buffalo * =
"Rules: X - + + Y | Substitutions: X by "" pear lion "" , Y by "" buffalo apple """,pear lion - + + buffalo apple
"Rules: = Y - Y X + | Substitutions: X by "" shark banana "" , Y by "" rat """,= rat - rat shark banana +
"Rules: X - - X | Substitutions: X by "" strawberry pear """,strawberry pear - - strawberry pear
"Rules: Z Y - + | Substitutions: Y by "" peach "" , Z by "" watermelon """,watermelon peach - +
"Rules: - * Z X | Substitutions: X by "" blueberry whale "" , Z by "" blueberry stork """,- * blueberry stork blueberry whale
"Rules: + = Z Y X | Substitutions: X by "" watermelon "" , Y by "" strawberry buffalo "" , Z by "" horse rat """,+ = horse rat strawberry buffalo watermelon
"Rules: Z * Z - - | Substitutions: Z by "" kiwi pear """,kiwi pear * kiwi pear - -
"Rules: Y Z = Y + | Substitutions: Y by "" shark blackberry "" , Z by "" apple """,shark blackberry apple = shark blackberry +
"Rules: X + Z Y = + | Substitutions: X by "" peach seal "" , Y by "" banana "" , Z by "" kiwi horse """,peach seal + kiwi horse banana = +
"Rules: = X - Z Z | Substitutions: X by "" whale "" , Z by "" shark """,= whale - shark shark
"Rules: = X - X Z | Substitutions: X by "" penguin "" , Z by "" buffalo """,= penguin - penguin buffalo
"Rules: = X - X | Substitutions: X by "" pear banana """,= pear banana - pear banana
"Rules: Z * X Z + | Substitutions: X by "" banana whale "" , Z by "" banana blackberry """,banana blackberry * banana whale banana blackberry +
"Rules: * Z + = Y Y | Substitutions: Y by "" watermelon "" , Z by "" stork zebra """,* stork zebra + = watermelon watermelon
"Rules: * - = Z Y X | Substitutions: X by "" strawberry watermelon "" , Y by "" watermelon watermelon "" , Z by "" strawberry """,* - = strawberry watermelon watermelon strawberry watermelon
"Rules: * X + + X | Substitutions: X by "" horse """,* horse + + horse
"Rules: = Y Z Z * | Substitutions: Y by "" shark "" , Z by "" shark blueberry """,= shark shark blueberry shark blueberry *
"Rules: * Z = Z Y * | Substitutions: Y by "" eagle "" , Z by "" zebra """,* zebra = zebra eagle *
"Rules: Y + = Y = | Substitutions: Y by "" lion """,lion + = lion =
"Rules: X + Z Z + * | Substitutions: X by "" blackberry zebra "" , Z by "" seal """,blackberry zebra + seal seal + *
"Rules: - Y * * Z | Substitutions: Y by "" blackberry "" , Z by "" banana grape """,- blackberry * * banana grape
"Rules: - Y X - | Substitutions: X by "" lion "" , Y by "" apple """,- apple lion -
"Rules: Z Y = + X | Substitutions: X by "" cobra grape "" , Y by "" seal strawberry "" , Z by "" blackberry """,blackberry seal strawberry = + cobra grape
"Rules: - X + Z | Substitutions: X by "" blackberry blueberry "" , Z by "" grape cobra """,- blackberry blueberry + grape cobra
"Rules: X + Z X = = | Substitutions: X by "" seal blackberry "" , Z by "" kiwi """,seal blackberry + kiwi seal blackberry = =
"Rules: Z + Z - * Y | Substitutions: Y by "" banana "" , Z by "" cobra grape """,cobra grape + cobra grape - * banana
"Rules: Z X = = | Substitutions: X by "" grape blueberry "" , Z by "" penguin """,penguin grape blueberry = =
"Rules: - Z Y = Z * | Substitutions: Y by "" kiwi "" , Z by "" blackberry """,- blackberry kiwi = blackberry *
"Rules: Y Z - - Y + | Substitutions: Y by "" cobra "" , Z by "" eagle buffalo """,cobra eagle buffalo - - cobra +
"Rules: Y X + * * Y | Substitutions: X by "" buffalo "" , Y by "" shark """,shark buffalo + * * shark
"Rules: + X X - - X | Substitutions: X by "" grape """,+ grape grape - - grape
"Rules: X + Y * | Substitutions: X by "" buffalo apple "" , Y by "" stork """,buffalo apple + stork *
"Rules: - Z = X Y | Substitutions: X by "" horse grape "" , Y by "" shark grape "" , Z by "" shark stork """,- shark stork = horse grape shark grape
"Rules: X Z - X * * | Substitutions: X by "" blueberry "" , Z by "" lion """,blueberry lion - blueberry * *
"Rules: * Z - Z X | Substitutions: X by "" seal zebra "" , Z by "" lion """,* lion - lion seal zebra
"Rules: = + Y Y Y | Substitutions: Y by "" strawberry lion """,= + strawberry lion strawberry lion strawberry lion
"Rules: + Y * * X | Substitutions: X by "" whale "" , Y by "" stork """,+ stork * * whale
"Rules: Z X = * | Substitutions: X by "" stork "" , Z by "" blueberry grape """,blueberry grape stork = *
"Rules: + Z Y = Z | Substitutions: Y by "" horse apple "" , Z by "" penguin """,+ penguin horse apple = penguin
"Rules: X Z * + * | Substitutions: X by "" grape "" , Z by "" strawberry shark """,grape strawberry shark * + *
"Rules: - + + Z Y | Substitutions: Y by "" blackberry "" , Z by "" eagle eagle """,- + + eagle eagle blackberry
"Rules: * X X = | Substitutions: X by "" penguin """,* penguin penguin =
"Rules: Z + + Y - | Substitutions: Y by "" zebra blueberry "" , Z by "" grape zebra """,grape zebra + + zebra blueberry -
"Rules: + Y - X + | Substitutions: X by "" zebra kiwi "" , Y by "" banana """,+ banana - zebra kiwi +
"Rules: = Z * = X | Substitutions: X by "" seal "" , Z by "" zebra """,= zebra * = seal
"Rules: - Y Z X * | Substitutions: X by "" penguin kiwi "" , Y by "" blueberry strawberry "" , Z by "" blackberry watermelon """,- blueberry strawberry blackberry watermelon penguin kiwi *
"Rules: * Y Y = * | Substitutions: Y by "" stork """,* stork stork = *
"Rules: - X Z - Z | Substitutions: X by "" strawberry "" , Z by "" shark """,- strawberry shark - shark
"Rules: Z Y Y + * | Substitutions: Y by "" zebra eagle "" , Z by "" stork """,stork zebra eagle zebra eagle + *
"Rules: X - Z * Y | Substitutions: X by "" penguin "" , Y by "" apple whale "" , Z by "" shark """,penguin - shark * apple whale
"Rules: - * - Z Z Z | Substitutions: Z by "" eagle """,- * - eagle eagle eagle
"Rules: - - Y + X Y | Substitutions: X by "" kiwi apple "" , Y by "" horse """,- - horse + kiwi apple horse
"Rules: X = Z = | Substitutions: X by "" blackberry "" , Z by "" buffalo """,blackberry = buffalo =
"Rules: + - Z Z X | Substitutions: X by "" blueberry "" , Z by "" rat """,+ - rat rat blueberry
"Rules: Y X * Z + * | Substitutions: X by "" eagle grape "" , Y by "" shark peach "" , Z by "" shark strawberry """,shark peach eagle grape * shark strawberry + *
"Rules: X * X + | Substitutions: X by "" zebra """,zebra * zebra +
"Rules: - Z X + | Substitutions: X by "" lion lion "" , Z by "" whale kiwi """,- whale kiwi lion lion +
"Rules: X * X = X | Substitutions: X by "" peach rat """,peach rat * peach rat = peach rat
"Rules: Y * + Y + | Substitutions: Y by "" lion """,lion * + lion +
"Rules: = = X Z - | Substitutions: X by "" apple "" , Z by "" whale penguin """,= = apple whale penguin -
"Rules: Z Y + * + Y | Substitutions: Y by "" whale pear "" , Z by "" cobra kiwi """,cobra kiwi whale pear + * + whale pear
"Rules: X Z - = + | Substitutions: X by "" apple "" , Z by "" grape """,apple grape - = +
"Rules: * + Z Y | Substitutions: Y by "" stork "" , Z by "" seal peach """,* + seal peach stork
"Rules: X + Z Z = | Substitutions: X by "" rat eagle "" , Z by "" zebra """,rat eagle + zebra zebra =
"Rules: * Y * Z Z | Substitutions: Y by "" horse grape "" , Z by "" kiwi seal """,* horse grape * kiwi seal kiwi seal
"Rules: + Y Y = | Substitutions: Y by "" watermelon """,+ watermelon watermelon =
"Rules: Y X Z = * = | Substitutions: X by "" blueberry "" , Y by "" rat "" , Z by "" kiwi cobra """,rat blueberry kiwi cobra = * =
"Rules: Y = Y Y - + | Substitutions: Y by "" peach """,peach = peach peach - +
"Rules: X + = X Z | Substitutions: X by "" blackberry "" , Z by "" zebra """,blackberry + = blackberry zebra
"Rules: + Z + X * | Substitutions: X by "" grape penguin "" , Z by "" blueberry watermelon """,+ blueberry watermelon + grape penguin *
"Rules: + - Y X | Substitutions: X by "" penguin apple "" , Y by "" buffalo seal """,+ - buffalo seal penguin apple
"Rules: X Z + = * | Substitutions: X by "" penguin "" , Z by "" eagle watermelon """,penguin eagle watermelon + = *
"Rules: Z Y + = + Y | Substitutions: Y by "" buffalo "" , Z by "" zebra seal """,zebra seal buffalo + = + buffalo
"Rules: + Z Z * X = | Substitutions: X by "" seal strawberry "" , Z by "" strawberry peach """,+ strawberry peach strawberry peach * seal strawberry =
"Rules: + Y Z - - Z | Substitutions: Y by "" apple "" , Z by "" whale """,+ apple whale - - whale
"Rules: - X - + Z Z | Substitutions: X by "" watermelon whale "" , Z by "" blueberry """,- watermelon whale - + blueberry blueberry
"Rules: = Y Z = | Substitutions: Y by "" strawberry apple "" , Z by "" blueberry """,= strawberry apple blueberry =
"Rules: Y Z = - Y | Substitutions: Y by "" banana "" , Z by "" grape whale """,banana grape whale = - banana
"Rules: = - Z Z Z | Substitutions: Z by "" blackberry """,= - blackberry blackberry blackberry
"Rules: + Y = + Y | Substitutions: Y by "" horse """,+ horse = + horse
"Rules: X = X * | Substitutions: X by "" eagle """,eagle = eagle *
"Rules: Z = * X X | Substitutions: X by "" banana "" , Z by "" horse """,horse = * banana banana
"Rules: + = Z Z * | Substitutions: Z by "" cobra """,+ = cobra cobra *
"Rules: Z = - Y | Substitutions: Y by "" watermelon strawberry "" , Z by "" kiwi """,kiwi = - watermelon strawberry
"Rules: - Z Y - Y + | Substitutions: Y by "" buffalo stork "" , Z by "" penguin """,- penguin buffalo stork - buffalo stork +
"Rules: = Y Z Z = * | Substitutions: Y by "" grape "" , Z by "" whale apple """,= grape whale apple whale apple = *
"Rules: X * + Z | Substitutions: X by "" pear pear "" , Z by "" rat kiwi """,pear pear * + rat kiwi
"Rules: = - X Y X | Substitutions: X by "" horse zebra "" , Y by "" horse """,= - horse zebra horse horse zebra
"Rules: = X Y + X | Substitutions: X by "" whale watermelon "" , Y by "" banana buffalo """,= whale watermelon banana buffalo + whale watermelon
"Rules: = - Y = Z | Substitutions: Y by "" shark "" , Z by "" peach """,= - shark = peach
"Rules: Y * + + X | Substitutions: X by "" whale blackberry "" , Y by "" pear kiwi """,pear kiwi * + + whale blackberry
"Rules: Z Z Y + + + | Substitutions: Y by "" seal "" , Z by "" rat """,rat rat seal + + +
"Rules: * X Y - | Substitutions: X by "" pear blackberry "" , Y by "" strawberry blackberry """,* pear blackberry strawberry blackberry -
"Rules: Y + X Y * | Substitutions: X by "" seal "" , Y by "" kiwi """,kiwi + seal kiwi *
"Rules: + Z Z * = | Substitutions: Z by "" kiwi blackberry """,+ kiwi blackberry kiwi blackberry * =
"Rules: X - * = Z Y | Substitutions: X by "" shark "" , Y by "" horse "" , Z by "" whale """,shark - * = whale horse
"Rules: - Y Z X = | Substitutions: X by "" stork rat "" , Y by "" lion seal "" , Z by "" blackberry strawberry """,- lion seal blackberry strawberry stork rat =
"Rules: Z + + Z | Substitutions: Z by "" horse """,horse + + horse
"Rules: + * Z Y Y | Substitutions: Y by "" penguin banana "" , Z by "" penguin """,+ * penguin penguin banana penguin banana
"Rules: = Y - X - | Substitutions: X by "" whale "" , Y by "" peach """,= peach - whale -
"Rules: - Z + - Y | Substitutions: Y by "" penguin kiwi "" , Z by "" pear whale """,- pear whale + - penguin kiwi
"Rules: X Z * X = + | Substitutions: X by "" pear "" , Z by "" pear lion """,pear pear lion * pear = +
"Rules: Z Z * = = | Substitutions: Z by "" watermelon """,watermelon watermelon * = =
"Rules: = Z + X X | Substitutions: X by "" pear watermelon "" , Z by "" kiwi """,= kiwi + pear watermelon pear watermelon
"Rules: + Y X - | Substitutions: X by "" shark "" , Y by "" eagle """,+ eagle shark -
"Rules: * Y X * * X | Substitutions: X by "" grape "" , Y by "" blackberry """,* blackberry grape * * grape
"Rules: X X * * Y - | Substitutions: X by "" zebra "" , Y by "" seal """,zebra zebra * * seal -
"Rules: X X * = Z | Substitutions: X by "" cobra penguin "" , Z by "" cobra """,cobra penguin cobra penguin * = cobra
"Rules: - X = * Y Z | Substitutions: X by "" peach "" , Y by "" blackberry stork "" , Z by "" penguin """,- peach = * blackberry stork penguin
"Rules: X Z - Z * | Substitutions: X by "" kiwi "" , Z by "" peach """,kiwi peach - peach *
"Rules: Y Z Z + - | Substitutions: Y by "" zebra "" , Z by "" cobra peach """,zebra cobra peach cobra peach + -
"Rules: = + Y Z + | Substitutions: Y by "" apple lion "" , Z by "" zebra zebra """,= + apple lion zebra zebra +
"Rules: X X X + + | Substitutions: X by "" stork """,stork stork stork + +
"Rules: = Z X = X | Substitutions: X by "" stork banana "" , Z by "" banana """,= banana stork banana = stork banana
"Rules: X X Z = - | Substitutions: X by "" blackberry "" , Z by "" strawberry apple """,blackberry blackberry strawberry apple = -
"Rules: Y - Z = | Substitutions: Y by "" banana blackberry "" , Z by "" penguin buffalo """,banana blackberry - penguin buffalo =
"Rules: - * Z X - | Substitutions: X by "" whale seal "" , Z by "" peach """,- * peach whale seal -
"Rules: X X Z * * | Substitutions: X by "" blueberry whale "" , Z by "" peach """,blueberry whale blueberry whale peach * *
"Rules: = Z * Z | Substitutions: Z by "" banana """,= banana * banana
"Rules: * Z + Y * | Substitutions: Y by "" peach watermelon "" , Z by "" strawberry """,* strawberry + peach watermelon *
"Rules: * Y Y * | Substitutions: Y by "" shark """,* shark shark *
"Rules: + Z Y X - | Substitutions: X by "" banana strawberry "" , Y by "" blackberry pear "" , Z by "" rat """,+ rat blackberry pear banana strawberry -
"Rules: Z - Z Y - | Substitutions: Y by "" apple shark "" , Z by "" lion banana """,lion banana - lion banana apple shark -
"Rules: Y X - * | Substitutions: X by "" blueberry seal "" , Y by "" stork zebra """,stork zebra blueberry seal - *
"Rules: Z - Z + X | Substitutions: X by "" seal shark "" , Z by "" seal shark """,seal shark - seal shark + seal shark
"Rules: Z - + Z Z | Substitutions: Z by "" blueberry horse """,blueberry horse - + blueberry horse blueberry horse
"Rules: - X = Y * | Substitutions: X by "" stork penguin "" , Y by "" kiwi """,- stork penguin = kiwi *
"Rules: X Z - + Y + | Substitutions: X by "" kiwi stork "" , Y by "" horse "" , Z by "" strawberry blueberry """,kiwi stork strawberry blueberry - + horse +
"Rules: = X Y * = | Substitutions: X by "" strawberry "" , Y by "" penguin """,= strawberry penguin * =
"Rules: + Z Z + | Substitutions: Z by "" whale rat """,+ whale rat whale rat +
"Rules: Y - X * + X | Substitutions: X by "" cobra "" , Y by "" rat """,rat - cobra * + cobra
"Rules: Z Z * Y + = | Substitutions: Y by "" blackberry stork "" , Z by "" stork watermelon """,stork watermelon stork watermelon * blackberry stork + =
"Rules: * X = Z | Substitutions: X by "" horse lion "" , Z by "" zebra """,* horse lion = zebra
"Rules: Z - Y + * Y | Substitutions: Y by "" blueberry stork "" , Z by "" lion """,lion - blueberry stork + * blueberry stork
"Rules: = Z X - + | Substitutions: X by "" strawberry lion "" , Z by "" apple strawberry """,= apple strawberry strawberry lion - +
"Rules: * Z Y * X | Substitutions: X by "" buffalo rat "" , Y by "" cobra "" , Z by "" buffalo """,* buffalo cobra * buffalo rat
"Rules: Y * Y + | Substitutions: Y by "" grape lion """,grape lion * grape lion +
"Rules: Z * Y - | Substitutions: Y by "" pear "" , Z by "" blueberry """,blueberry * pear -
"Rules: X + Z = X - | Substitutions: X by "" penguin blueberry "" , Z by "" blackberry """,penguin blueberry + blackberry = penguin blueberry -
"Rules: Y Z * + - | Substitutions: Y by "" pear lion "" , Z by "" blackberry """,pear lion blackberry * + -
"Rules: Y = + Y * X | Substitutions: X by "" whale "" , Y by "" banana blackberry """,banana blackberry = + banana blackberry * whale
"Rules: + = Z Z = | Substitutions: Z by "" stork strawberry """,+ = stork strawberry stork strawberry =
"Rules: Z * + Z X | Substitutions: X by "" blackberry eagle "" , Z by "" rat zebra """,rat zebra * + rat zebra blackberry eagle
"Rules: * Z Z X + | Substitutions: X by "" lion buffalo "" , Z by "" shark """,* shark shark lion buffalo +
"Rules: X = * Z Y | Substitutions: X by "" banana "" , Y by "" cobra rat "" , Z by "" blackberry horse """,banana = * blackberry horse cobra rat
"Rules: Z = Y X - | Substitutions: X by "" buffalo "" , Y by "" horse seal "" , Z by "" banana """,banana = horse seal buffalo -
"Rules: = - Y X X | Substitutions: X by "" rat pear "" , Y by "" seal blueberry """,= - seal blueberry rat pear rat pear
"Rules: = Z Y - | Substitutions: Y by "" watermelon strawberry "" , Z by "" watermelon """,= watermelon watermelon strawberry -
"Rules: X X * - | Substitutions: X by "" horse blueberry """,horse blueberry horse blueberry * -
"Rules: - + + X Z | Substitutions: X by "" pear "" , Z by "" peach zebra """,- + + pear peach zebra
"Rules: Z X * = Z + | Substitutions: X by "" pear penguin "" , Z by "" eagle penguin """,eagle penguin pear penguin * = eagle penguin +
"Rules: = * Z * Y | Substitutions: Y by "" watermelon pear "" , Z by "" banana """,= * banana * watermelon pear
"Rules: Z Y - + | Substitutions: Y by "" cobra "" , Z by "" shark """,shark cobra - +
"Rules: + = Y Y | Substitutions: Y by "" whale penguin """,+ = whale penguin whale penguin
"Rules: + Z + * Z Z | Substitutions: Z by "" kiwi """,+ kiwi + * kiwi kiwi
"Rules: Y - + X | Substitutions: X by "" whale "" , Y by "" grape lion """,grape lion - + whale
"Rules: - + Y - Z | Substitutions: Y by "" lion "" , Z by "" pear """,- + lion - pear
"Rules: X = Y + | Substitutions: X by "" rat zebra "" , Y by "" buffalo """,rat zebra = buffalo +
"Rules: * Y Y = = | Substitutions: Y by "" stork stork """,* stork stork stork stork = =
"Rules: * X * X * | Substitutions: X by "" whale """,* whale * whale *
"Rules: Y Y = - X | Substitutions: X by "" zebra "" , Y by "" lion """,lion lion = - zebra
"Rules: - + X X Y | Substitutions: X by "" horse "" , Y by "" zebra shark """,- + horse horse zebra shark
"Rules: X = - Z - Y | Substitutions: X by "" eagle strawberry "" , Y by "" kiwi watermelon "" , Z by "" zebra lion """,eagle strawberry = - zebra lion - kiwi watermelon
"Rules: + - - X Z | Substitutions: X by "" penguin pear "" , Z by "" grape """,+ - - penguin pear grape
"Rules: + = Z Z | Substitutions: Z by "" apple """,+ = apple apple
"Rules: Z + = Z = Y | Substitutions: Y by "" apple rat "" , Z by "" whale pear """,whale pear + = whale pear = apple rat
"Rules: = X - Y Y | Substitutions: X by "" pear "" , Y by "" pear penguin """,= pear - pear penguin pear penguin
"Rules: X + Z + | Substitutions: X by "" banana "" , Z by "" watermelon penguin """,banana + watermelon penguin +
"Rules: X = Y X - + | Substitutions: X by "" rat strawberry "" , Y by "" whale whale """,rat strawberry = whale whale rat strawberry - +
"Rules: - Z * * Y | Substitutions: Y by "" strawberry "" , Z by "" whale watermelon """,- whale watermelon * * strawberry
"Rules: + X * X = | Substitutions: X by "" rat shark """,+ rat shark * rat shark =
"Rules: = - Y * Z | Substitutions: Y by "" blackberry "" , Z by "" cobra """,= - blackberry * cobra
"Rules: - - Z * Z Z | Substitutions: Z by "" blueberry rat """,- - blueberry rat * blueberry rat blueberry rat
"Rules: X X Z = * + | Substitutions: X by "" zebra buffalo "" , Z by "" grape """,zebra buffalo zebra buffalo grape = * +
"Rules: Y Y + = + | Substitutions: Y by "" shark """,shark shark + = +
"Rules: X + X * X | Substitutions: X by "" lion lion """,lion lion + lion lion * lion lion
"Rules: Z + X Z - - | Substitutions: X by "" buffalo "" , Z by "" banana strawberry """,banana strawberry + buffalo banana strawberry - -
"Rules: = X * - Z | Substitutions: X by "" pear blueberry "" , Z by "" apple """,= pear blueberry * - apple
"Rules: * Z + Z + | Substitutions: Z by "" rat peach """,* rat peach + rat peach +
"Rules: Y X + = Y | Substitutions: X by "" watermelon "" , Y by "" cobra """,cobra watermelon + = cobra
"Rules: + - Y Y | Substitutions: Y by "" pear blueberry """,+ - pear blueberry pear blueberry
"Rules: + Z * X Y | Substitutions: X by "" lion stork "" , Y by "" blueberry blackberry "" , Z by "" seal grape """,+ seal grape * lion stork blueberry blackberry
"Rules: + Z X Y + | Substitutions: X by "" watermelon whale "" , Y by "" peach blackberry "" , Z by "" pear peach """,+ pear peach watermelon whale peach blackberry +
"Rules: + Z * Z | Substitutions: Z by "" kiwi """,+ kiwi * kiwi
"Rules: Y Z Y * - | Substitutions: Y by "" seal penguin "" , Z by "" stork """,seal penguin stork seal penguin * -
"Rules: X X * Z = | Substitutions: X by "" cobra "" , Z by "" shark peach """,cobra cobra * shark peach =
"Rules: X Z - Y + | Substitutions: X by "" horse "" , Y by "" peach "" , Z by "" kiwi blackberry """,horse kiwi blackberry - peach +
"Rules: X Z = X * | Substitutions: X by "" horse "" , Z by "" strawberry eagle """,horse strawberry eagle = horse *
"Rules: = = Z Z - | Substitutions: Z by "" banana peach """,= = banana peach banana peach -
"Rules: + X Y - * | Substitutions: X by "" peach buffalo "" , Y by "" eagle cobra """,+ peach buffalo eagle cobra - *
"Rules: Z * Y - | Substitutions: Y by "" blueberry buffalo "" , Z by "" strawberry """,strawberry * blueberry buffalo -
"Rules: - + X = Y | Substitutions: X by "" grape penguin "" , Y by "" zebra strawberry """,- + grape penguin = zebra strawberry
"Rules: * Z = = Y | Substitutions: Y by "" banana "" , Z by "" apple stork """,* apple stork = = banana
"Rules: Z + Y Z = + | Substitutions: Y by "" zebra zebra "" , Z by "" buffalo blackberry """,buffalo blackberry + zebra zebra buffalo blackberry = +
"Rules: - X = Z X | Substitutions: X by "" buffalo "" , Z by "" seal shark """,- buffalo = seal shark buffalo
"Rules: + Z Z * | Substitutions: Z by "" whale """,+ whale whale *
"Rules: Y X - Z - = | Substitutions: X by "" strawberry whale "" , Y by "" banana strawberry "" , Z by "" pear strawberry """,banana strawberry strawberry whale - pear strawberry - =
"Rules: = X Z * | Substitutions: X by "" grape banana "" , Z by "" zebra """,= grape banana zebra *
"Rules: - - Y Y X - | Substitutions: X by "" buffalo stork "" , Y by "" buffalo strawberry """,- - buffalo strawberry buffalo strawberry buffalo stork -
"Rules: Z + Z Y + - | Substitutions: Y by "" watermelon "" , Z by "" horse blackberry """,horse blackberry + horse blackberry watermelon + -
"Rules: * Z - - Z X | Substitutions: X by "" whale pear "" , Z by "" seal banana """,* seal banana - - seal banana whale pear
"Rules: X + Z * | Substitutions: X by "" rat watermelon "" , Z by "" shark """,rat watermelon + shark *
"Rules: X * - X Y - | Substitutions: X by "" cobra strawberry "" , Y by "" blueberry kiwi """,cobra strawberry * - cobra strawberry blueberry kiwi -
"Rules: = X - - Y | Substitutions: X by "" apple "" , Y by "" penguin shark """,= apple - - penguin shark
"Rules: Z Z * Z * | Substitutions: Z by "" lion zebra """,lion zebra lion zebra * lion zebra *
"Rules: Z + - Z | Substitutions: Z by "" pear whale """,pear whale + - pear whale
"Rules: = X - Y - | Substitutions: X by "" grape "" , Y by "" shark """,= grape - shark -
"Rules: Z * = Z | Substitutions: Z by "" blackberry lion """,blackberry lion * = blackberry lion
"Rules: + X = Y Y | Substitutions: X by "" lion blueberry "" , Y by "" buffalo """,+ lion blueberry = buffalo buffalo
"Rules: Y = Z + X | Substitutions: X by "" cobra "" , Y by "" banana stork "" , Z by "" seal """,banana stork = seal + cobra
"Rules: + Y + Z | Substitutions: Y by "" seal shark "" , Z by "" seal """,+ seal shark + seal
"Rules: * Y * * Y Z | Substitutions: Y by "" horse "" , Z by "" whale pear """,* horse * * horse whale pear
"Rules: Z * - Z | Substitutions: Z by "" penguin rat """,penguin rat * - penguin rat
"Rules: Y + = X + Z | Substitutions: X by "" whale "" , Y by "" buffalo kiwi "" , Z by "" horse seal """,buffalo kiwi + = whale + horse seal
"Rules: Z Z Y = - | Substitutions: Y by "" zebra strawberry "" , Z by "" watermelon """,watermelon watermelon zebra strawberry = -
"Rules: X = Z * Z | Substitutions: X by "" whale apple "" , Z by "" blackberry grape """,whale apple = blackberry grape * blackberry grape
"Rules: = Y X - | Substitutions: X by "" lion buffalo "" , Y by "" blueberry """,= blueberry lion buffalo -
"Rules: * + + Y X | Substitutions: X by "" rat "" , Y by "" stork blackberry """,* + + stork blackberry rat
"Rules: * Z X * | Substitutions: X by "" eagle "" , Z by "" blackberry """,* blackberry eagle *
"Rules: + X = Y Z | Substitutions: X by "" whale "" , Y by "" buffalo cobra "" , Z by "" buffalo blackberry """,+ whale = buffalo cobra buffalo blackberry
"Rules: + - X Y * | Substitutions: X by "" penguin zebra "" , Y by "" cobra """,+ - penguin zebra cobra *
"Rules: Z = Z X * | Substitutions: X by "" whale "" , Z by "" lion """,lion = lion whale *
"Rules: X = * X = X | Substitutions: X by "" zebra apple """,zebra apple = * zebra apple = zebra apple
"Rules: = * - Y X | Substitutions: X by "" peach shark "" , Y by "" blueberry cobra """,= * - blueberry cobra peach shark
"Rules: = Z Y * | Substitutions: Y by "" zebra "" , Z by "" peach stork """,= peach stork zebra *
"Rules: X * X - = | Substitutions: X by "" whale """,whale * whale - =
"Rules: * = X X = Y | Substitutions: X by "" eagle banana "" , Y by "" horse """,* = eagle banana eagle banana = horse
"Rules: Y * X * + | Substitutions: X by "" seal "" , Y by "" watermelon horse """,watermelon horse * seal * +
"Rules: * X Y Z - - | Substitutions: X by "" pear "" , Y by "" kiwi "" , Z by "" cobra rat """,* pear kiwi cobra rat - -
"Rules: X X * - | Substitutions: X by "" whale """,whale whale * -
"Rules: Y + - Z | Substitutions: Y by "" seal "" , Z by "" rat penguin """,seal + - rat penguin
"Rules: Y Z - Y = | Substitutions: Y by "" rat banana "" , Z by "" zebra """,rat banana zebra - rat banana =
"Rules: = * + Y X | Substitutions: X by "" horse blackberry "" , Y by "" penguin """,= * + penguin horse blackberry
