source,target
"Rules: + Z = X | Substitutions: X by "" horse "" , Z by "" blueberry """,+ blueberry = horse
"Rules: + Z X Y * | Substitutions: X by "" strawberry watermelon "" , Y by "" apple grape "" , Z by "" whale """,+ whale strawberry watermelon apple grape *
"Rules: X * - = Y X | Substitutions: X by "" penguin "" , Y by "" seal eagle """,penguin * - = seal eagle penguin
"Rules: Z = - Z Y | Substitutions: Y by "" zebra "" , Z by "" stork """,stork = - stork zebra
"Rules: X Y Z - + | Substitutions: X by "" buffalo grape "" , Y by "" apple "" , Z by "" grape """,buffalo grape apple grape - +
"Rules: X * + Y | Substitutions: X by "" blueberry "" , Y by "" banana """,blueberry * + banana
"Rules: * = X Y + | Substitutions: X by "" pear pear "" , Y by "" seal apple """,* = pear pear seal apple +
"Rules: Y Y = = X | Substitutions: X by "" watermelon whale "" , Y by "" watermelon strawberry """,watermelon strawberry watermelon strawberry = = watermelon whale
"Rules: = X X Y = | Substitutions: X by "" pear "" , Y by "" blackberry """,= pear pear blackberry =
"Rules: Y * = Z | Substitutions: Y by "" grape seal "" , Z by "" cobra watermelon """,grape seal * = cobra watermelon
"Rules: Y - X + = Z | Substitutions: X by "" seal "" , Y by "" lion "" , Z by "" grape """,lion - seal + = grape
"Rules: Y * + Y Y | Substitutions: Y by "" rat eagle """,rat eagle * + rat eagle rat eagle
"Rules: * Y - = X Y | Substitutions: X by "" watermelon "" , Y by "" lion """,* lion - = watermelon lion
"Rules: X Y Z - * - | Substitutions: X by "" strawberry shark "" , Y by "" rat zebra "" , Z by "" whale zebra """,strawberry shark rat zebra whale zebra - * -
"Rules: Y Y - = Y | Substitutions: Y by "" whale """,whale whale - = whale
"Rules: Z Y - = + X | Substitutions: X by "" eagle "" , Y by "" apple "" , Z by "" stork """,stork apple - = + eagle
"Rules: Z * - X | Substitutions: X by "" blueberry stork "" , Z by "" lion peach """,lion peach * - blueberry stork
"Rules: Z = Y Z + | Substitutions: Y by "" penguin "" , Z by "" pear """,pear = penguin pear +
"Rules: Z - = Z Z * | Substitutions: Z by "" kiwi penguin """,kiwi penguin - = kiwi penguin kiwi penguin *
"Rules: = Y Y X * | Substitutions: X by "" kiwi horse "" , Y by "" rat """,= rat rat kiwi horse *
"Rules: * Y Z Y = | Substitutions: Y by "" blackberry blackberry "" , Z by "" watermelon grape """,* blackberry blackberry watermelon grape blackberry blackberry =
"Rules: Z X = Z * | Substitutions: X by "" apple apple "" , Z by "" shark grape """,shark grape apple apple = shark grape *
"Rules: Z - Y X + - | Substitutions: X by "" buffalo "" , Y by "" apple watermelon "" , Z by "" banana blueberry """,banana blueberry - apple watermelon buffalo + -
"Rules: Z Z = + | Substitutions: Z by "" peach strawberry """,peach strawberry peach strawberry = +
"Rules: X - + X - | Substitutions: X by "" buffalo rat """,buffalo rat - + buffalo rat -
"Rules: Z = Y Y * | Substitutions: Y by "" whale rat "" , Z by "" whale horse """,whale horse = whale rat whale rat *
"Rules: = X - X * X | Substitutions: X by "" peach shark """,= peach shark - peach shark * peach shark
"Rules: + + Y Y Z | Substitutions: Y by "" cobra "" , Z by "" blackberry """,+ + cobra cobra blackberry
"Rules: Y Z * X * | Substitutions: X by "" blueberry kiwi "" , Y by "" banana "" , Z by "" rat """,banana rat * blueberry kiwi *
"Rules: Z = Z - | Substitutions: Z by "" grape """,grape = grape -
"Rules: X X - * - | Substitutions: X by "" apple """,apple apple - * -
"Rules: X * Z - + Y | Substitutions: X by "" lion peach "" , Y by "" stork eagle "" , Z by "" rat """,lion peach * rat - + stork eagle
"Rules: + Y + Z * Z | Substitutions: Y by "" penguin zebra "" , Z by "" watermelon """,+ penguin zebra + watermelon * watermelon
"Rules: * X = = Z | Substitutions: X by "" shark "" , Z by "" banana """,* shark = = banana
"Rules: - - Y Z X | Substitutions: X by "" blueberry banana "" , Y by "" grape "" , Z by "" pear strawberry """,- - grape pear strawberry blueberry banana
"Rules: + Y = X | Substitutions: X by "" stork horse "" , Y by "" banana seal """,+ banana seal = stork horse
"Rules: * X = + Z X | Substitutions: X by "" grape "" , Z by "" blueberry """,* grape = + blueberry grape
"Rules: Y = X * Y | Substitutions: X by "" grape "" , Y by "" pear """,pear = grape * pear
"Rules: Y Z + Y * * | Substitutions: Y by "" penguin "" , Z by "" apple strawberry """,penguin apple strawberry + penguin * *
"Rules: - Z Y - + Z | Substitutions: Y by "" rat seal "" , Z by "" banana """,- banana rat seal - + banana
"Rules: - Y Y - + | Substitutions: Y by "" shark """,- shark shark - +
"Rules: + Z = + Z | Substitutions: Z by "" kiwi """,+ kiwi = + kiwi
"Rules: - - Z X + | Substitutions: X by "" grape strawberry "" , Z by "" blueberry zebra """,- - blueberry zebra grape strawberry +
"Rules: = + Y X | Substitutions: X by "" horse "" , Y by "" rat watermelon """,= + rat watermelon horse
"Rules: * = Z * Y | Substitutions: Y by "" whale "" , Z by "" horse """,* = horse * whale
"Rules: Z - + X | Substitutions: X by "" cobra zebra "" , Z by "" pear horse """,pear horse - + cobra zebra
"Rules: - Z = X | Substitutions: X by "" blueberry "" , Z by "" watermelon cobra """,- watermelon cobra = blueberry
"Rules: * Y + + Z | Substitutions: Y by "" eagle blueberry "" , Z by "" grape """,* eagle blueberry + + grape
"Rules: X - Z Y - | Substitutions: X by "" peach apple "" , Y by "" stork peach "" , Z by "" watermelon whale """,peach apple - watermelon whale stork peach -
"Rules: - * X + Y Z | Substitutions: X by "" strawberry lion "" , Y by "" kiwi kiwi "" , Z by "" grape peach """,- * strawberry lion + kiwi kiwi grape peach
"Rules: Z X * = | Substitutions: X by "" banana rat "" , Z by "" grape buffalo """,grape buffalo banana rat * =
"Rules: X Y Y + - = | Substitutions: X by "" banana penguin "" , Y by "" apple """,banana penguin apple apple + - =
"Rules: Z X = - | Substitutions: X by "" banana stork "" , Z by "" eagle lion """,eagle lion banana stork = -
"Rules: * Y + Y Z | Substitutions: Y by "" lion eagle "" , Z by "" watermelon whale """,* lion eagle + lion eagle watermelon whale
"Rules: Z Z * Z + * | Substitutions: Z by "" blackberry """,blackberry blackberry * blackberry + *
"Rules: + * X Z Y | Substitutions: X by "" peach zebra "" , Y by "" grape seal "" , Z by "" eagle """,+ * peach zebra eagle grape seal
"Rules: Y - - + Z X | Substitutions: X by "" banana cobra "" , Y by "" stork horse "" , Z by "" blueberry """,stork horse - - + blueberry banana cobra
"Rules: - - Y * Y X | Substitutions: X by "" banana "" , Y by "" rat horse """,- - rat horse * rat horse banana
"Rules: * Z X * - Y | Substitutions: X by "" grape "" , Y by "" grape "" , Z by "" penguin blueberry """,* penguin blueberry grape * - grape
"Rules: Y Z = + X + | Substitutions: X by "" pear apple "" , Y by "" blueberry shark "" , Z by "" strawberry """,blueberry shark strawberry = + pear apple +
"Rules: = - + Y Y X | Substitutions: X by "" penguin blackberry "" , Y by "" strawberry watermelon """,= - + strawberry watermelon strawberry watermelon penguin blackberry
"Rules: Z Y + Z = | Substitutions: Y by "" horse shark "" , Z by "" penguin rat """,penguin rat horse shark + penguin rat =
"Rules: Z = * Z - | Substitutions: Z by "" pear """,pear = * pear -
"Rules: = Z - Y = Y | Substitutions: Y by "" horse "" , Z by "" blueberry """,= blueberry - horse = horse
"Rules: Z + = X | Substitutions: X by "" penguin rat "" , Z by "" horse """,horse + = penguin rat
"Rules: + - Z Y | Substitutions: Y by "" blackberry strawberry "" , Z by "" eagle eagle """,+ - eagle eagle blackberry strawberry
"Rules: - Z + Y X + | Substitutions: X by "" cobra cobra "" , Y by "" whale seal "" , Z by "" seal eagle """,- seal eagle + whale seal cobra cobra +
"Rules: + - Y Y Z | Substitutions: Y by "" strawberry "" , Z by "" buffalo """,+ - strawberry strawberry buffalo
"Rules: Y Y Y - = - | Substitutions: Y by "" banana """,banana banana banana - = -
"Rules: X X = - - X | Substitutions: X by "" blueberry whale """,blueberry whale blueberry whale = - - blueberry whale
"Rules: = Z Y = + | Substitutions: Y by "" peach "" , Z by "" watermelon rat """,= watermelon rat peach = +
"Rules: X = * X = Z | Substitutions: X by "" grape "" , Z by "" pear peach """,grape = * grape = pear peach
"Rules: * X - X | Substitutions: X by "" apple shark """,* apple shark - apple shark
"Rules: - = Z Z Z | Substitutions: Z by "" stork strawberry """,- = stork strawberry stork strawberry stork strawberry
"Rules: + + Y X | Substitutions: X by "" whale banana "" , Y by "" zebra """,+ + zebra whale banana
"Rules: X * - X Z * | Substitutions: X by "" blackberry "" , Z by "" strawberry watermelon """,blackberry * - blackberry strawberry watermelon *
"Rules: * Y Z + Y * | Substitutions: Y by "" pear "" , Z by "" watermelon peach """,* pear watermelon peach + pear *
"Rules: - Z - Z Y = | Substitutions: Y by "" whale strawberry "" , Z by "" watermelon buffalo """,- watermelon buffalo - watermelon buffalo whale strawberry =
"Rules: = * Y Y * | Substitutions: Y by "" banana apple """,= * banana apple banana apple *
"Rules: * X - + Z Y | Substitutions: X by "" apple "" , Y by "" kiwi "" , Z by "" horse watermelon """,* apple - + horse watermelon kiwi
"Rules: Z Y * Y + = | Substitutions: Y by "" pear lion "" , Z by "" watermelon blueberry """,watermelon blueberry pear lion * pear lion + =
"Rules: + - + Y X | Substitutions: X by "" kiwi "" , Y by "" strawberry zebra """,+ - + strawberry zebra kiwi
"Rules: + Y = X Z * | Substitutions: X by "" pear penguin "" , Y by "" strawberry horse "" , Z by "" peach """,+ strawberry horse = pear penguin peach *
"Rules: = - Z - X | Substitutions: X by "" horse cobra "" , Z by "" rat penguin """,= - rat penguin - horse cobra
"Rules: Y - + Y | Substitutions: Y by "" blackberry pear """,blackberry pear - + blackberry pear
"Rules: - + + Y X | Substitutions: X by "" buffalo "" , Y by "" blackberry """,- + + blackberry buffalo
"Rules: = X Y - | Substitutions: X by "" kiwi stork "" , Y by "" horse """,= kiwi stork horse -
"Rules: Y * Z = Z | Substitutions: Y by "" blackberry "" , Z by "" rat lion """,blackberry * rat lion = rat lion
"Rules: - + Z Z | Substitutions: Z by "" shark """,- + shark shark
"Rules: Y Z + * | Substitutions: Y by "" eagle "" , Z by "" watermelon stork """,eagle watermelon stork + *
"Rules: = Y Z * * | Substitutions: Y by "" banana "" , Z by "" stork """,= banana stork * *
"Rules: - - Z Z | Substitutions: Z by "" shark """,- - shark shark
"Rules: - X = Y | Substitutions: X by "" peach banana "" , Y by "" seal penguin """,- peach banana = seal penguin
"Rules: X - + Y * | Substitutions: X by "" pear "" , Y by "" watermelon seal """,pear - + watermelon seal *
"Rules: Y Y = Z = * | Substitutions: Y by "" blackberry kiwi "" , Z by "" kiwi """,blackberry kiwi blackberry kiwi = kiwi = *
"Rules: Y X * + | Substitutions: X by "" blueberry "" , Y by "" peach peach """,peach peach blueberry * +
"Rules: Z = - Z * | Substitutions: Z by "" zebra pear """,zebra pear = - zebra pear *
"Rules: Y * * Z = | Substitutions: Y by "" blackberry banana "" , Z by "" banana stork """,blackberry banana * * banana stork =
"Rules: + Y + X | Substitutions: X by "" horse horse "" , Y by "" apple """,+ apple + horse horse
"Rules: * * X X | Substitutions: X by "" watermelon """,* * watermelon watermelon
"Rules: Z + * Y + | Substitutions: Y by "" whale banana "" , Z by "" apple """,apple + * whale banana +
"Rules: - - + X X | Substitutions: X by "" lion """,- - + lion lion
"Rules: + * Y Z Z | Substitutions: Y by "" apple "" , Z by "" zebra """,+ * apple zebra zebra
"Rules: * * X Y | Substitutions: X by "" zebra "" , Y by "" pear zebra """,* * zebra pear zebra
"Rules: X - + - X | Substitutions: X by "" eagle """,eagle - + - eagle
"Rules: Z X = * X | Substitutions: X by "" grape banana "" , Z by "" stork """,stork grape banana = * grape banana
"Rules: + Z Z = + Y | Substitutions: Y by "" whale "" , Z by "" banana """,+ banana banana = + whale
"Rules: - X Z + | Substitutions: X by "" eagle "" , Z by "" seal strawberry """,- eagle seal strawberry +
"Rules: X - - Z Z | Substitutions: X by "" kiwi "" , Z by "" rat grape """,kiwi - - rat grape rat grape
"Rules: * - Z * Z Y | Substitutions: Y by "" pear watermelon "" , Z by "" banana seal """,* - banana seal * banana seal pear watermelon
"Rules: = Y X - | Substitutions: X by "" banana "" , Y by "" blackberry """,= blackberry banana -
"Rules: Y X + + | Substitutions: X by "" penguin lion "" , Y by "" kiwi lion """,kiwi lion penguin lion + +
"Rules: Y + Z * - Z | Substitutions: Y by "" whale "" , Z by "" strawberry """,whale + strawberry * - strawberry
"Rules: X Z - = = | Substitutions: X by "" whale "" , Z by "" zebra """,whale zebra - = =
"Rules: - + Z X | Substitutions: X by "" shark seal "" , Z by "" grape """,- + grape shark seal
"Rules: Z = Y Z - | Substitutions: Y by "" strawberry "" , Z by "" kiwi """,kiwi = strawberry kiwi -
"Rules: * * Z Z = Y | Substitutions: Y by "" strawberry grape "" , Z by "" zebra """,* * zebra zebra = strawberry grape
"Rules: + Z = X Z | Substitutions: X by "" blackberry "" , Z by "" grape shark """,+ grape shark = blackberry grape shark
"Rules: * = + Y X Z | Substitutions: X by "" buffalo "" , Y by "" lion grape "" , Z by "" shark """,* = + lion grape buffalo shark
"Rules: X + X - Y | Substitutions: X by "" blackberry cobra "" , Y by "" lion """,blackberry cobra + blackberry cobra - lion
"Rules: + Z X = | Substitutions: X by "" horse "" , Z by "" zebra """,+ zebra horse =
"Rules: - Y Y - Y | Substitutions: Y by "" grape """,- grape grape - grape
"Rules: - X Y * | Substitutions: X by "" cobra penguin "" , Y by "" buffalo """,- cobra penguin buffalo *
"Rules: + = - Y X Y | Substitutions: X by "" seal watermelon "" , Y by "" eagle pear """,+ = - eagle pear seal watermelon eagle pear
"Rules: = X = Y X | Substitutions: X by "" stork "" , Y by "" blackberry horse """,= stork = blackberry horse stork
"Rules: - Y + Y | Substitutions: Y by "" watermelon """,- watermelon + watermelon
"Rules: Z X - - Z * | Substitutions: X by "" shark zebra "" , Z by "" zebra """,zebra shark zebra - - zebra *
"Rules: = = Y X - Z | Substitutions: X by "" buffalo "" , Y by "" blueberry buffalo "" , Z by "" watermelon cobra """,= = blueberry buffalo buffalo - watermelon cobra
"Rules: X Y = + Y | Substitutions: X by "" blueberry "" , Y by "" lion pear """,blueberry lion pear = + lion pear
"Rules: Z Z * + = | Substitutions: Z by "" cobra """,cobra cobra * + =
"Rules: - Y Z + - Z | Substitutions: Y by "" seal "" , Z by "" buffalo """,- seal buffalo + - buffalo
"Rules: X = - = X | Substitutions: X by "" penguin blueberry """,penguin blueberry = - = penguin blueberry
"Rules: = Z = * Z Z | Substitutions: Z by "" kiwi cobra """,= kiwi cobra = * kiwi cobra kiwi cobra
"Rules: * = Z Z X | Substitutions: X by "" shark "" , Z by "" horse blueberry """,* = horse blueberry horse blueberry shark
"Rules: = X X - X | Substitutions: X by "" penguin """,= penguin penguin - penguin
"Rules: * Y - Y + | Substitutions: Y by "" eagle apple """,* eagle apple - eagle apple +
"Rules: + X Y - X | Substitutions: X by "" strawberry watermelon "" , Y by "" rat """,+ strawberry watermelon rat - strawberry watermelon
"Rules: Z = X - + Z | Substitutions: X by "" blueberry stork "" , Z by "" zebra eagle """,zebra eagle = blueberry stork - + zebra eagle
"Rules: Z * + Z | Substitutions: Z by "" penguin blueberry """,penguin blueberry * + penguin blueberry
"Rules: X Y + + Y | Substitutions: X by "" buffalo "" , Y by "" lion banana """,buffalo lion banana + + lion banana
"Rules: Y + * - Y | Substitutions: Y by "" penguin horse """,penguin horse + * - penguin horse
"Rules: X X = - Y | Substitutions: X by "" banana penguin "" , Y by "" cobra eagle """,banana penguin banana penguin = - cobra eagle
"Rules: Y Y = * Z | Substitutions: Y by "" cobra "" , Z by "" peach lion """,cobra cobra = * peach lion
"Rules: * Z = Y Y | Substitutions: Y by "" shark "" , Z by "" buffalo shark """,* buffalo shark = shark shark
"Rules: * * X X | Substitutions: X by "" blueberry whale """,* * blueberry whale blueberry whale
"Rules: Y Z * - X | Substitutions: X by "" peach "" , Y by "" seal eagle "" , Z by "" grape grape """,seal eagle grape grape * - peach
"Rules: + Y X Y - | Substitutions: X by "" rat grape "" , Y by "" cobra lion """,+ cobra lion rat grape cobra lion -
"Rules: = Y Y + | Substitutions: Y by "" banana whale """,= banana whale banana whale +
"Rules: + Y + Y - | Substitutions: Y by "" buffalo seal """,+ buffalo seal + buffalo seal -
"Rules: * - - Y Y X | Substitutions: X by "" pear eagle "" , Y by "" whale blueberry """,* - - whale blueberry whale blueberry pear eagle
"Rules: X = + Y Z = | Substitutions: X by "" strawberry "" , Y by "" eagle horse "" , Z by "" cobra """,strawberry = + eagle horse cobra =
"Rules: - Y Z = X | Substitutions: X by "" kiwi peach "" , Y by "" whale rat "" , Z by "" eagle """,- whale rat eagle = kiwi peach
"Rules: X * - X - | Substitutions: X by "" blackberry """,blackberry * - blackberry -
"Rules: X Y - = X + | Substitutions: X by "" stork "" , Y by "" whale rat """,stork whale rat - = stork +
"Rules: Y + * Y | Substitutions: Y by "" banana whale """,banana whale + * banana whale
"Rules: X - = X | Substitutions: X by "" kiwi watermelon """,kiwi watermelon - = kiwi watermelon
"Rules: + - Z Z = Z | Substitutions: Z by "" blueberry """,+ - blueberry blueberry = blueberry
"Rules: Z Z * + * | Substitutions: Z by "" rat rat """,rat rat rat rat * + *
"Rules: - = X X = | Substitutions: X by "" apple buffalo """,- = apple buffalo apple buffalo =
"Rules: + Z Y = + Y | Substitutions: Y by "" watermelon "" , Z by "" watermelon shark """,+ watermelon shark watermelon = + watermelon
"Rules: = Y Y + Z = | Substitutions: Y by "" blueberry "" , Z by "" horse stork """,= blueberry blueberry + horse stork =
"Rules: = Y X - | Substitutions: X by "" zebra buffalo "" , Y by "" grape banana """,= grape banana zebra buffalo -
"Rules: X - - Y * | Substitutions: X by "" buffalo cobra "" , Y by "" whale """,buffalo cobra - - whale *
"Rules: + Y Z Z = | Substitutions: Y by "" watermelon "" , Z by "" penguin """,+ watermelon penguin penguin =
"Rules: - Y Y * | Substitutions: Y by "" blueberry """,- blueberry blueberry *
"Rules: Z + Y * = | Substitutions: Y by "" grape "" , Z by "" shark apple """,shark apple + grape * =
"Rules: Z + X Z = | Substitutions: X by "" eagle "" , Z by "" eagle seal """,eagle seal + eagle eagle seal =
"Rules: + Z Z Y = | Substitutions: Y by "" blueberry "" , Z by "" seal """,+ seal seal blueberry =
"Rules: - Z + Z Z + | Substitutions: Z by "" penguin """,- penguin + penguin penguin +
"Rules: - X Y * | Substitutions: X by "" banana "" , Y by "" peach strawberry """,- banana peach strawberry *
"Rules: + Y Z + * X | Substitutions: X by "" stork "" , Y by "" whale "" , Z by "" apple """,+ whale apple + * stork
"Rules: Z + Y + | Substitutions: Y by "" cobra "" , Z by "" pear """,pear + cobra +
"Rules: X - Z X * | Substitutions: X by "" kiwi "" , Z by "" blackberry """,kiwi - blackberry kiwi *
"Rules: Y X X = - | Substitutions: X by "" pear peach "" , Y by "" kiwi """,kiwi pear peach pear peach = -
"Rules: X * Z = | Substitutions: X by "" stork blackberry "" , Z by "" pear """,stork blackberry * pear =
"Rules: X * * X * | Substitutions: X by "" kiwi buffalo """,kiwi buffalo * * kiwi buffalo *
"Rules: Z - Y = Y * | Substitutions: Y by "" peach "" , Z by "" pear stork """,pear stork - peach = peach *
"Rules: X * Z Y * - | Substitutions: X by "" zebra "" , Y by "" rat "" , Z by "" shark rat """,zebra * shark rat rat * -
"Rules: * = Y Y | Substitutions: Y by "" buffalo """,* = buffalo buffalo
"Rules: - X - Y Y * | Substitutions: X by "" stork "" , Y by "" blackberry eagle """,- stork - blackberry eagle blackberry eagle *
"Rules: = X Z - | Substitutions: X by "" grape strawberry "" , Z by "" pear shark """,= grape strawberry pear shark -
"Rules: Y * X * = | Substitutions: X by "" banana blackberry "" , Y by "" rat """,rat * banana blackberry * =
"Rules: = X + = Z Y | Substitutions: X by "" apple "" , Y by "" cobra strawberry "" , Z by "" horse blackberry """,= apple + = horse blackberry cobra strawberry
"Rules: Z Z + X + | Substitutions: X by "" zebra whale "" , Z by "" banana apple """,banana apple banana apple + zebra whale +
"Rules: = X Z * - Y | Substitutions: X by "" seal strawberry "" , Y by "" cobra "" , Z by "" banana rat """,= seal strawberry banana rat * - cobra
"Rules: - Z - Z - | Substitutions: Z by "" whale """,- whale - whale -
"Rules: Y X + * Y | Substitutions: X by "" pear "" , Y by "" eagle """,eagle pear + * eagle
"Rules: X Y - * - Z | Substitutions: X by "" banana "" , Y by "" shark "" , Z by "" blueberry """,banana shark - * - blueberry
"Rules: - X = Y | Substitutions: X by "" banana pear "" , Y by "" blackberry """,- banana pear = blackberry
"Rules: X - Z - Z | Substitutions: X by "" lion "" , Z by "" cobra penguin """,lion - cobra penguin - cobra penguin
"Rules: * Z + Z | Substitutions: Z by "" cobra """,* cobra + cobra
"Rules: = X - + Y | Substitutions: X by "" watermelon "" , Y by "" banana grape """,= watermelon - + banana grape
"Rules: - X X = * X | Substitutions: X by "" zebra banana """,- zebra banana zebra banana = * zebra banana
"Rules: Z = X * Z * | Substitutions: X by "" lion peach "" , Z by "" horse """,horse = lion peach * horse *
"Rules: Y = Z + X * | Substitutions: X by "" banana "" , Y by "" watermelon "" , Z by "" eagle blackberry """,watermelon = eagle blackberry + banana *
"Rules: + Z X - = | Substitutions: X by "" blueberry zebra "" , Z by "" seal """,+ seal blueberry zebra - =
"Rules: * - Z X | Substitutions: X by "" peach cobra "" , Z by "" seal """,* - seal peach cobra
"Rules: X - X + Y | Substitutions: X by "" kiwi cobra "" , Y by "" blackberry shark """,kiwi cobra - kiwi cobra + blackberry shark
"Rules: + = Z X | Substitutions: X by "" peach "" , Z by "" horse """,+ = horse peach
"Rules: Y Z = = | Substitutions: Y by "" blackberry "" , Z by "" banana """,blackberry banana = =
"Rules: Y + * Z * | Substitutions: Y by "" buffalo seal "" , Z by "" kiwi buffalo """,buffalo seal + * kiwi buffalo *
"Rules: = X Y + | Substitutions: X by "" buffalo "" , Y by "" penguin strawberry """,= buffalo penguin strawberry +
"Rules: * + + Z Y Y | Substitutions: Y by "" blackberry "" , Z by "" horse apple """,* + + horse apple blackberry blackberry
"Rules: - X Y + - Y | Substitutions: X by "" blackberry "" , Y by "" blueberry grape """,- blackberry blueberry grape + - blueberry grape
"Rules: - Y - X = | Substitutions: X by "" watermelon "" , Y by "" strawberry """,- strawberry - watermelon =
"Rules: = Y Z X * | Substitutions: X by "" eagle horse "" , Y by "" shark "" , Z by "" eagle """,= shark eagle eagle horse *
"Rules: + - X X X * | Substitutions: X by "" kiwi kiwi """,+ - kiwi kiwi kiwi kiwi kiwi kiwi *
"Rules: Y Z - * Z | Substitutions: Y by "" kiwi strawberry "" , Z by "" banana lion """,kiwi strawberry banana lion - * banana lion
"Rules: - + Y X + | Substitutions: X by "" stork "" , Y by "" kiwi rat """,- + kiwi rat stork +
"Rules: Y Z * X + | Substitutions: X by "" cobra "" , Y by "" blackberry "" , Z by "" rat """,blackberry rat * cobra +
"Rules: - Z + Y Z | Substitutions: Y by "" blueberry "" , Z by "" horse grape """,- horse grape + blueberry horse grape
"Rules: + Y = Y = | Substitutions: Y by "" kiwi """,+ kiwi = kiwi =
"Rules: Z = = X X | Substitutions: X by "" whale "" , Z by "" whale """,whale = = whale whale
"Rules: X Z + * | Substitutions: X by "" rat whale "" , Z by "" eagle """,rat whale eagle + *
"Rules: + Z * X X | Substitutions: X by "" banana apple "" , Z by "" zebra """,+ zebra * banana apple banana apple
"Rules: - - = X Y Y | Substitutions: X by "" lion "" , Y by "" blackberry blackberry """,- - = lion blackberry blackberry blackberry blackberry
"Rules: - Z + Z Z + | Substitutions: Z by "" seal """,- seal + seal seal +
"Rules: - X - X Y | Substitutions: X by "" lion banana "" , Y by "" grape pear """,- lion banana - lion banana grape pear
"Rules: - Z Z X = | Substitutions: X by "" kiwi "" , Z by "" apple seal """,- apple seal apple seal kiwi =
"Rules: * Z Z Y + = | Substitutions: Y by "" banana "" , Z by "" grape pear """,* grape pear grape pear banana + =
"Rules: + - X Z = Y | Substitutions: X by "" seal lion "" , Y by "" blueberry "" , Z by "" zebra """,+ - seal lion zebra = blueberry
"Rules: X X - Z = | Substitutions: X by "" peach blackberry "" , Z by "" shark """,peach blackberry peach blackberry - shark =
"Rules: X Z * = + | Substitutions: X by "" cobra "" , Z by "" seal stork """,cobra seal stork * = +
"Rules: X - + X X * | Substitutions: X by "" lion seal """,lion seal - + lion seal lion seal *
"Rules: Z + X * | Substitutions: X by "" stork "" , Z by "" shark cobra """,shark cobra + stork *
"Rules: = Z X = Z | Substitutions: X by "" banana kiwi "" , Z by "" rat apple """,= rat apple banana kiwi = rat apple
"Rules: Y = X - * Z | Substitutions: X by "" watermelon penguin "" , Y by "" shark "" , Z by "" banana seal """,shark = watermelon penguin - * banana seal
"Rules: + Y * Y | Substitutions: Y by "" blueberry """,+ blueberry * blueberry
"Rules: Y - Y = | Substitutions: Y by "" apple kiwi """,apple kiwi - apple kiwi =
"Rules: + = Y Z | Substitutions: Y by "" lion "" , Z by "" shark """,+ = lion shark
"Rules: - Y Z + | Substitutions: Y by "" banana "" , Z by "" banana """,- banana banana +
"Rules: * X = = X Z | Substitutions: X by "" stork strawberry "" , Z by "" buffalo zebra """,* stork strawberry = = stork strawberry buffalo zebra
"Rules: - + Z Y | Substitutions: Y by "" buffalo peach "" , Z by "" eagle """,- + eagle buffalo peach
"Rules: X Y * Z + | Substitutions: X by "" seal "" , Y by "" stork whale "" , Z by "" blackberry eagle """,seal stork whale * blackberry eagle +
"Rules: Z X * - * | Substitutions: X by "" shark "" , Z by "" kiwi """,kiwi shark * - *
"Rules: * Y Y - Y | Substitutions: Y by "" horse shark """,* horse shark horse shark - horse shark
"Rules: Z Y X * * | Substitutions: X by "" peach "" , Y by "" horse buffalo "" , Z by "" blueberry """,blueberry horse buffalo peach * *
"Rules: Z = X = Y | Substitutions: X by "" blueberry "" , Y by "" kiwi zebra "" , Z by "" pear grape """,pear grape = blueberry = kiwi zebra
"Rules: + Y * * X | Substitutions: X by "" peach rat "" , Y by "" grape peach """,+ grape peach * * peach rat
"Rules: * Y * Y X * | Substitutions: X by "" whale buffalo "" , Y by "" blueberry """,* blueberry * blueberry whale buffalo *
"Rules: - - Y = Z | Substitutions: Y by "" penguin penguin "" , Z by "" zebra """,- - penguin penguin = zebra
"Rules: Z Y - + | Substitutions: Y by "" buffalo buffalo "" , Z by "" peach blueberry """,peach blueberry buffalo buffalo - +
"Rules: X * Y + = Z | Substitutions: X by "" horse whale "" , Y by "" buffalo "" , Z by "" buffalo """,horse whale * buffalo + = buffalo
"Rules: Y = X - | Substitutions: X by "" watermelon "" , Y by "" whale eagle """,whale eagle = watermelon -
"Rules: - X Z + | Substitutions: X by "" blackberry stork "" , Z by "" seal """,- blackberry stork seal +
"Rules: - - Z X Z | Substitutions: X by "" eagle "" , Z by "" rat whale """,- - rat whale eagle rat whale
"Rules: * Z + X Z * | Substitutions: X by "" whale eagle "" , Z by "" seal stork """,* seal stork + whale eagle seal stork *
"Rules: - Y * - Z X | Substitutions: X by "" grape "" , Y by "" lion whale "" , Z by "" shark whale """,- lion whale * - shark whale grape
"Rules: X X = Y + | Substitutions: X by "" shark "" , Y by "" lion pear """,shark shark = lion pear +
"Rules: + Y + - Z | Substitutions: Y by "" grape grape "" , Z by "" horse """,+ grape grape + - horse
"Rules: Z Y X = - + | Substitutions: X by "" lion horse "" , Y by "" penguin "" , Z by "" banana buffalo """,banana buffalo penguin lion horse = - +
"Rules: Y Y - X + | Substitutions: X by "" rat "" , Y by "" cobra """,cobra cobra - rat +
"Rules: Y * + X + | Substitutions: X by "" apple "" , Y by "" shark """,shark * + apple +
"Rules: * * Z X Z | Substitutions: X by "" kiwi "" , Z by "" whale grape """,* * whale grape kiwi whale grape
"Rules: = = Z Y * Y | Substitutions: Y by "" kiwi "" , Z by "" banana grape """,= = banana grape kiwi * kiwi
