source,target
Rules: - * Z | * - Z | - Z Z * | - Z * | Result: - peach peach *,- Z Z *
Rules: Z X = - Y = | = = - X Z Y | X Z Y = = - | Z = = X - Y | Result: = = - zebra stork apple strawberry,= = - X Z Y
Rules: X = Z = - | X Z = - = | X Z = = - | Z X = - = | Result: cobra penguin rat = - =,Z X = - =
Rules: = * Z X | Z = * X | X = * Z Z | = * X Z | Result: stork shark = * blueberry blueberry,X = * Z Z
Rules: - Z * - | - Z * - | Z - * Z - | - * Z - | Result: seal eagle - * seal eagle -,Z - * Z -
Rules: - X Y = | - Y X = | - Y X = | = X - Y X | Result: = pear horse - rat pear horse,= X - Y X
Rules: * - X Y - | - - Y X * | * - Y - X | X Y - * - | Result: zebra lion lion - * -,X Y - * -
Rules: X Z - = Y + | Z = Y X - + | X = + Z - Y | - Z X + = Y | Result: - buffalo whale cobra + = strawberry,- Z X + = Y
Rules: + Y X = | X = Y + Y | + = Y X | + X = Y | Result: shark pear = blackberry banana + blackberry banana,X = Y + Y
Rules: - Z Y = Y | - = Y Z | Z = - Y | Z Y = - | Result: - cobra shark blackberry = blackberry,- Z Y = Y
Rules: Z = Y = | Z Y = = | Z = Y = | = = Y Z | Result: blueberry lion banana = =,Z Y = =
Rules: Z * X Z + - | X + - * Z | X - + Z * | + X Z - * | Result: seal * shark banana seal + -,Z * X Z + -
Rules: X - * * | * - X * | X * * - | - * X * X | Result: - * pear * pear,- * X * X
Rules: - + X Z | + Z X - | + X Z - | Z X - + | Result: peach cobra - +,Z X - +
Rules: - Y Z + * | Y - Y Z * + | + * Z - Y | Z - + * Y | Result: buffalo cobra - buffalo cobra whale * +,Y - Y Z * +
Rules: X Z - - Y + | - - Z X + Y | Y X Z + - - | Y + X - Z - | Result: blackberry + penguin rat - strawberry -,Y + X - Z -
Rules: * - X Y + Z | - + Y * X Z | Z + - Y * X | Z X Y - * + | Result: - + pear blueberry * eagle eagle zebra grape,- + Y * X Z
Rules: X = - Z - | = Z - - X | = X - - Z | - Z - = X | Result: = blueberry - - banana peach,= X - - Z
Rules: Y = X + | X = Y + | Y + = X | = X Y + | Result: lion = strawberry +,X = Y +
Rules: Y - Z - | - Z Y - | - - Z Y | Z - Y - | Result: watermelon - penguin pear -,Y - Z -
Rules: Z - - X + | + Z X - - | - + - Z X X | Z - X - + | Result: - + - grape horse stork horse stork,- + - Z X X
Rules: * - = Z | * Z = - | * Z - = | Z - = * Z | Result: kiwi - = * kiwi,Z - = * Z
Rules: + Z Z - X | X Z + - | Z + - X | + - Z X | Result: + rat cobra rat cobra - penguin buffalo,+ Z Z - X
Rules: = = X * Y | X * = Y = | X = Y = * Y | = = * X Y | Result: grape penguin = seal = * seal,X = Y = * Y
Rules: + Z Y = | = Z + Z Y | Z + = Y | + Y = Z | Result: = grape + grape penguin eagle,= Z + Z Y
Rules: = Y = + Z | = = + Y Z | Z Y = Z = + | + Y = = Z | Result: penguin lion = penguin = +,Z Y = Z = +
Rules: + Z X + Y | Y + + X Z | Z X + + Y | Z X + + Y | Result: banana apple eagle + + whale,Z X + + Y
Rules: + Z * X | Z * X + | X Z + Z * | * + Z X | Result: lion cobra blackberry strawberry + blackberry strawberry *,X Z + Z *
Rules: * Y = X | Y = X * | X * Y = | X = * Y | Result: banana = * kiwi zebra,X = * Y
Rules: + X - Z * | * X - + Z | - Z * + X | X * - + Z | Result: blueberry * - + lion,X * - + Z
Rules: X - * * Z | * Z - X * X | Z X * - * | * Z - * X | Result: * watermelon - cobra penguin * cobra penguin,* Z - X * X
Rules: * Y - + | - Y + * Y | + - * Y | + Y * - | Result: - watermelon + * watermelon,- Y + * Y
Rules: Y X = Z + | X Z Y = + | Z + = X Y | X Y Z = + | Result: horse banana = cobra +,Y X = Z +
Rules: = Y Y X = + | + Y = = X | = = X Y + | Y = = X + | Result: = banana banana whale = +,= Y Y X = +
Rules: * X - = Z | - X Z * = | = - * X X Z | * - X = Z | Result: = - * seal seal zebra,= - * X X Z
Rules: X X Z * + | * + Z X | + Z * X | Z X + * | Result: watermelon watermelon peach * +,X X Z * +
Rules: * + Z X Y | Z X Y * + | + Z * Y X | * Z + Y X | Result: * buffalo seal + horse kiwi apple,* Z + Y X
Rules: * + + Z Y Y | + + Y * Z | + Z Y + * | + * + Y Z | Result: * + + horse apple blackberry blackberry,* + + Z Y Y
Rules: Z * + X | * + Z X | + X Z * | + Z X * X | Result: + zebra peach peach * peach peach,+ Z X * X
Rules: - Z - X | - - X Z | - - Z X | - - Z X Z | Result: - - grape eagle grape,- - Z X Z
Rules: + Y = + X | + X = Y + | + = X Y + | X Y + + = | Result: + eagle lion = eagle +,+ X = Y +
Rules: Y X - * - | - X * Y - | * - - Y X | - Y * - X | Result: - seal * cobra stork -,- X * Y -
Rules: - - X = Y | - = X - Y | X - = - Y | - - = Y X X | Result: - - = stork apple lion lion,- - = Y X X
Rules: Y * X + * Z | Z + X * * Y | + * X Z * Y | * + Y X Z * | Result: * + pear shark strawberry watermelon *,* + Y X Z *
Rules: * X = + Y | X = + * Y | = * + Y X | + * Y = X | Result: kiwi = + * blueberry banana,X = + * Y
Rules: Y - - - X | Y X - - - | - - X Y - | X - - - Y | Result: whale - - - pear banana,Y - - - X
Rules: = Z * Y = | = * Y Z = | * = = Y Z | = Z = * Y | Result: = rat shark = * seal,= Z = * Y
Rules: Y = * Z + | * Z Z Y + = | Z + = * Y | * = + Y Z | Result: * grape pear grape pear banana + =,* Z Z Y + =
Rules: * X - | - X X * | X - * | X * - | Result: - rat penguin rat penguin *,- X X *
Rules: + Y Z + | Z + Y + | Z + + Y Y | + Z Y + | Result: zebra buffalo + + cobra cobra,Z + + Y Y
Rules: = X * | = * X | = * X | * = X X | Result: * = cobra lion cobra lion,* = X X
Rules: Y - Z - | Y - Z - | Z - Y - | Y - Z - | Result: blackberry - blueberry -,Y - Z -
Rules: - Y * Z = X | Y = X - * Z | - = X * Y Z | Y Z - = X * | Result: shark = watermelon penguin - * banana seal,Y = X - * Z
Rules: * X Z - + | + - X Z Z * | - + X * Z | + * X - Z | Result: + - blackberry pear pear *,+ - X Z Z *
Rules: Z - = = | Z - Z = = | = = Z - | = - = Z | Result: horse penguin - horse penguin = =,Z - Z = =
Rules: X + Z - | + Z Z X - | Z + X - | - X + Z | Result: + blackberry buffalo blackberry buffalo peach -,+ Z Z X -
Rules: Y X = = * | X = * Y = | Y = = X * | X = X = Y * | Result: stork = stork = horse *,X = X = Y *
Rules: * Y - * | * Y Y - * | * - * Y | * Y - * | Result: * horse shark horse shark - *,* Y Y - *
Rules: Z * X - | Z - * X | - X * Z | * Z Z - X | Result: * kiwi apple kiwi apple - strawberry rat,* Z Z - X
Rules: - Z X - - Z | X - - Z - | - X - - Z | - - X Z - | Result: - buffalo peach watermelon grape - - buffalo peach,- Z X - - Z
Rules: Z + - X | X Z + - | - X + Z Z | X + - Z | Result: - eagle kiwi + kiwi whale kiwi whale,- X + Z Z
Rules: Y * X = | Y X * = | = X X Y * | X * = Y | Result: = peach blueberry peach blueberry lion penguin *,= X X Y *
Rules: Z + * Z | * + Z | * + Z | * + Z | Result: seal + * seal,Z + * Z
Rules: Z - = * | = - * Z | - Z = * | Z Z - * = | Result: blueberry watermelon blueberry watermelon - * =,Z Z - * =
Rules: = + Z Y Z * | + Z * Y = | Z * Y = + | * Z = Y + | Result: = + cobra rat zebra cobra rat *,= + Z Y Z *
Rules: - Y X - + | + - - X Y X | X - Y + - | Y - X + - | Result: + - - blackberry kiwi stork blackberry,+ - - X Y X
Rules: X + + X X + | + + + X | + X + + | + + + X | Result: pear apple + + pear apple pear apple +,X + + X X +
Rules: X - - | - - X | - X - | X X - - | Result: peach buffalo peach buffalo - -,X X - -
Rules: Z * = + | = * Z + | + * = Z Z | = * Z + | Result: + * = buffalo buffalo,+ * = Z Z
Rules: Y * + X | + X * Y | Y * + X | + X Y * | Result: + whale * zebra,+ X * Y
Rules: X * Z * | X Z * * | * * X Z | * * X X Z | Result: * * kiwi kiwi whale grape,* * X X Z
Rules: X Y = * = | Y * X = = | * X = Y = | X = = * Y | Result: * rat rat = grape =,* X = Y =
Rules: X Y = - - | = Y - - X | - X - Y = | - - X Y X = | Result: - - lion strawberry lion =,- - X Y X =
Rules: Y * - X - | - X Y * - | X Y - - * | X * - - Y | Result: strawberry cobra * - - rat,X * - - Y
Rules: - Y = Z X * | Y Z * - X = | = X Z * Y - | = Y * - X Z | Result: = whale blueberry pear * stork -,= X Z * Y -
Rules: * X Z = + | * Z X + = | * + Z = X | X Z + = * | Result: apple pear shark buffalo + = *,X Z + = *
Rules: Z + + X | Z X X + + | + X + Z | X Z + + | Result: cobra whale apple whale apple + +,Z X X + +
Rules: = - X | = X - | X - X = | X - = | Result: zebra - zebra =,X - X =
Rules: * + * Y X | + * Y X * | * * Y X + | * X Y * + | Result: * grape cobra blackberry * +,* X Y * +
Rules: Y * + Z X | Y Z X + * | Y Z + * X | X Y + * Z | Result: grape apple * + shark kiwi blackberry,Y * + Z X
Rules: - Z - * X | * - X Z - | X Z X - * - | * X Z - - | Result: apple lion apple - * -,X Z X - * -
Rules: Y Z Y * * | * Y Z * | Z Y * * | Z Y * * | Result: kiwi seal kiwi * *,Y Z Y * *
Rules: - - Y Z | - - Y Z | Z - - Y | Z - Y - Y | Result: horse buffalo - whale strawberry - whale strawberry,Z - Y - Y
Rules: Y - = X + | X = + - Y | Y - = + X | X Y - Y = + | Result: banana apple blackberry - apple blackberry = +,X Y - Y = +
Rules: = Z Y - * | - Z = * Y | Y - = * Z | = * Z Y - | Result: pear zebra - = * eagle cobra,Y - = * Z
Rules: + Z - Y | Y + - Z | - Y Z + | - Y Y + Z | Result: - banana banana + banana,- Y Y + Z
Rules: Y = = | = Y = Y | Y = = | = Y = | Result: = penguin shark = penguin shark,= Y = Y
Rules: Z + X - | + - X Z | Z - + X | X Z - + | Result: + - watermelon stork,+ - X Z
Rules: + * X | * + X | X * + | + X X * | Result: + cobra cobra *,+ X X *
Rules: Y Z + * Y | + * Z Y | Y + Z * | * Z Y + | Result: zebra buffalo zebra + * zebra buffalo,Y Z + * Y
Rules: * X = | X * X = X | * X = | X * = | Result: apple horse * apple horse = apple horse,X * X = X
Rules: X = - Z | X - Z = | - X Z Z = | Z = - X | Result: - lion grape horse grape horse =,- X Z Z =
Rules: - - - Y | Y - - Y - Y | Y - - - | - Y - - | Result: kiwi apple - - kiwi apple - kiwi apple,Y - - Y - Y
Rules: X Y - - - | - - - Y X | - X Y - - | - - X Y X - | Result: - - penguin lion penguin watermelon penguin lion -,- - X Y X -
Rules: = * Z Y + | * + Y = Z | + = Z * Y | = + Y Z * | Result: = + seal apple seal *,= + Y Z *
Rules: Y = + + Z | Z + + = Y | + = Z + Z Y | Z Y = + + | Result: + = watermelon peach + watermelon peach kiwi,+ = Z + Z Y
Rules: + X Y - | X Y + - | - X + Y | + - X Y | Result: + - horse stork blueberry,+ - X Y
Rules: = = X | = = X | X = = X | = = X | Result: buffalo = = buffalo,X = = X
Rules: Y X - + | Y X - + | X - Y + | Y + X - | Result: apple watermelon grape - +,Y X - +
Rules: Y - * Z | Z Y - * | Y - * Z | * - Z Y | Result: zebra apple peach - *,Z Y - *
Rules: X - - Y | Y - - X | - - Y X | X Y - X - | Result: cobra shark - cobra -,X Y - X -
Rules: * Z Y + * | Y * Z + * | Z * * + Y | * * Z + Y | Result: buffalo * * + grape,Z * * + Y
Rules: = * X X * | * = X * | X = * * | * * = X | Result: = * kiwi kiwi *,= * X X *
Rules: Y = Y + | Y + = | + = Y | = + Y | Result: rat banana = rat banana +,Y = Y +
Rules: = - + Z X | - = + Z X | + X - = Z | = X Z + - Z | Result: = shark stork + - stork,= X Z + - Z
Rules: * Z Y * - | * Y * - Z | Z Y * - * | Y * * - Z | Result: * blueberry eagle * - zebra,* Y * - Z
Rules: Z X + = = | = = + X Z | X = = Z + | = + X = Z | Result: = + kiwi = lion,= + X = Z
Rules: X Z * - Y | Z X Y - * | * - X Z Y | X - * Y Z | Result: apple whale penguin watermelon buffalo - *,Z X Y - *
Rules: + Y * X | Y + * X | X * + Y | + X Y * | Result: + lion apple * stork watermelon,+ Y * X
Rules: X - = X Y - | - X = - Y | - - = X Y | Y - = - X | Result: lion peach - = lion peach apple horse -,X - = X Y -
Rules: Z - + X | - Z Z + X | X + Z - | X Z + - | Result: - zebra banana zebra banana + stork kiwi,- Z Z + X
Rules: X * * X + Z | * Z X + * | + Z * X * | Z * X * + | Result: banana apple * * banana apple + lion lion,X * * X + Z
Rules: Y X + = | = X Y Y + | + X = Y | = X + Y | Result: = stork peach watermelon peach watermelon +,= X Y Y +
Rules: X - - X X | X - - | - - X | - - X | Result: penguin - - penguin penguin,X - - X X
Rules: Y + * * Z | Z + * Y * | + * * Z Y | + * * Z Y | Result: shark + * * penguin cobra,Y + * * Z
Rules: Z X - + | X - Z + | Z - + X | Z + X - | Result: lion - + zebra rat,Z - + X
Rules: = + Y X | Y X + = | X X Y = + | X + Y = | Result: kiwi kiwi grape kiwi = +,X X Y = +
Rules: Y X + = + | X = + Y + | X + Y = X + | X + Y = + | Result: rat + seal apple = rat +,X + Y = X +
Rules: - Y Z + | - + Z Y | - Y Z + | - + Z Y | Result: - + grape stork pear shark,- + Z Y
Rules: = - Z X Y | Y - Z X = | X Y = Z - | = Y - Z X | Result: banana cobra eagle = whale horse -,X Y = Z -
Rules: - Y + X * | X * Y + - | - Y + * X | X Y + * - | Result: peach * blueberry horse + -,X * Y + -
Rules: = X - | = - X | - X = | = X X - | Result: = blueberry blueberry -,= X X -
Rules: * X Z Y + = | Z = * Y X + | * Z Y X = + | Y * + X Z = | Result: * eagle kiwi zebra eagle + =,* X Z Y + =
Rules: = X Z * | Z X = * | X * = Z | * Z X = | Result: blueberry * = seal stork,X * = Z
Rules: Y Z + = + | = Y + Z + | Y + = + Z | = + Y Z + | Result: buffalo zebra + = + shark,Y + = + Z
Rules: = Y + X | Y = + X | = X + X Y | + X Y = | Result: = blackberry + blackberry kiwi,= X + X Y
Rules: + Z Y X + - | Z - + + X Y | - X + Z + Y | - Y + X Z + | Result: + zebra eagle strawberry eagle kiwi + -,+ Z Y X + -
Rules: + + Y X Z | + Z X + Y | Y + Z + X | Y Z + X + | Result: eagle + lion + strawberry eagle,Y + Z + X
Rules: Z X * + | Z + * X | Z + X * | X Z * + | Result: pear strawberry lion blackberry * +,Z X * +
Rules: = + + Z X | X Z + + = | + = Z + X | = + X Z + | Result: = + + seal shark rat,= + + Z X
Rules: * Z Y + | * + Z Y | Z + Y * | Z Y + * | Result: buffalo lion + *,Z Y + *
Rules: + X * | * + X | * X + | + * X X | Result: + * rat seal rat seal,+ * X X
Rules: * * Y X | Y * X * | * Y * X | * X * Y | Result: * blackberry * apple banana,* X * Y
Rules: Y Z X * = + | X = * + Y Z | * Z X = Y + | X + * Y Z = | Result: seal = * + buffalo shark,X = * + Y Z
Rules: X * = | = X * | X X * = | * X = | Result: watermelon watermelon * =,X X * =
Rules: X Z * = | * X = Z | X * = Z | Z = Z * X | Result: zebra strawberry = zebra strawberry * banana,Z = Z * X
Rules: Z - X + | X + Z - | - Z X + | X - Z + | Result: lion - banana shark +,Z - X +
Rules: Z X Z * * | X * Z * | * Z X * | X * * Z | Result: cobra whale cobra * *,Z X Z * *
Rules: Y = + X + | X Y = + X + | X Y = + + | + X + = Y | Result: lion zebra peach blackberry = + lion zebra +,X Y = + X +
Rules: + Z + Y - | + Y - Z + | + Y Z - + | Y + - Z + | Result: + eagle shark - +,+ Y Z - +
Rules: = - + X Z | = Z + X - | X = Z - + | X + - Z = | Result: lion lion = rat - +,X = Z - +
Rules: = X - Z | X Z - = | X Z - = | = - X Z | Result: = shark - cobra,= X - Z
Rules: X Z + = + | + = + Z X | X Z = + + | Z + = X Z + | Result: stork + = watermelon stork +,Z + = X Z +
Rules: + * * X Y | Y X + * * | X + Y * * | * X + * Y | Result: banana apple cobra + * *,Y X + * *
Rules: Z X * Z + - | + - X * Z | Z X - + * | Z + * - X | Result: lion horse strawberry * lion horse + -,Z X * Z + -
Rules: X Z * + = | Z X + = * | Z + X = * | Z X = * + | Result: apple pear + = *,Z X + = *
Rules: Y X X + * | * Y X + | * + X Y | * X + Y | Result: blackberry rat rat + *,Y X X + *
Rules: + + Z | + + Z | + + Z | + + Z Z | Result: + + banana eagle banana eagle,+ + Z Z
Rules: X Z = * * | Z * * = X | = X * Z * | Z = X * * | Result: banana * * = stork lion,Z * * = X
Rules: Z Y - + | - + Y Z | - Y + Z | Z - + Y | Result: grape buffalo - +,Z Y - +
Rules: - X = Z | - = X Z | Z = - X | Z X = - | Result: horse cobra = - blackberry blueberry,Z = - X
Rules: * = X Z * | X * Z = * | = X * * X Z | X * * = Z | Result: = stork rat * * stork rat whale cobra,= X * * X Z
Rules: Y * - = Z | - = Z * Y | * Z = - Z Y | - = * Z Y | Result: * kiwi = - kiwi peach,* Z = - Z Y
Rules: Z Y X + + | + Y Z X + | Z + Y + X | + Y X + Z | Result: + whale penguin blackberry pear +,+ Y Z X +
Rules: * * Y Y | * * Y | * Y * | * * Y | Result: * * watermelon eagle watermelon eagle,* * Y Y
Rules: X - Z * | * X Z - | X Z * - | Z * - X | Result: lion horse * - banana,Z * - X
Rules: X - - + Y | + - X - Y | - Y X + - | + X Y - - | Result: horse eagle - - + peach,X - - + Y
Rules: = X + Y Z | + = Z X Y | = + X Z Y | + Z Y = X | Result: = + lion shark blackberry shark shark strawberry,= + X Z Y
Rules: * Z * | * * Z Z | Z * * | Z * * | Result: * * banana pear banana pear,* * Z Z
Rules: Z + * X | + X * Z X | Z * + X | Z * X + | Result: + zebra * kiwi whale zebra,+ X * Z X
Rules: + - Z X | X - X Z + | - X + Z | - Z + X | Result: grape kiwi - grape kiwi kiwi +,X - X Z +
Rules: + - X Y | + - Y X | Y - X + X | - X + Y | Result: banana - shark rat + shark rat,Y - X + X
Rules: Z X * Y * | Y * X Z * | Y X * Z * | Z * * X Y | Result: shark * * buffalo blueberry,Z * * X Y
Rules: = Y = + | = = + Y | = + Y = Y Y | + = Y = | Result: = + blueberry rat = blueberry rat blueberry rat,= + Y = Y Y
Rules: + Z X = + | X + Z = + | + X + Z = | = Z + + X | Result: = cobra + + apple,= Z + + X
Rules: = = Y X | = Y X = | = = Y X X | X Y = = | Result: = = apple cobra kiwi cobra kiwi,= = Y X X
Rules: - + - Z Y | Z - - Y + | Y + - - Z | + Z Y - - | Result: stork + - - rat,Y + - - Z
Rules: - X Y - | - Y - X | X - Y - | - X - Y | Result: - horse grape - blueberry horse,- X - Y
Rules: Z - Y = + X | + - Y Z X = | Z = Y - + X | - Y + X Z = | Result: banana = lion - + seal,Z = Y - + X
Rules: Z * = Z Z | = * Z | = Z * | Z = * | Result: rat * = rat rat,Z * = Z Z
Rules: X = - Z * | - Z X Z * = | X Z = * - | = Z * X - | Result: - peach apple peach * =,- Z X Z * =
Rules: - + X Z = | - Z = X + | Z X + - = | - Z = Z X + | Result: - shark = shark penguin whale +,- Z = Z X +
Rules: Z X + = | X = + Z X | Z X = + | = Z + X | Result: peach whale = + peach zebra peach whale,X = + Z X
Rules: X * Z = | Z X * = | * = Z X | * Z X = | Result: * = watermelon blueberry blueberry,* = Z X
Rules: + * Y X | X * + Y | Y * + X | * Y X + | Result: + * apple rat seal watermelon,+ * Y X
Rules: + + Y X | Y + + X | + X Y + | X Y + + X | Result: blackberry eagle blackberry + + blackberry,X Y + + X
Rules: X - + | + - X | - X + | X X - + | Result: pear pear - +,X X - +
Rules: + Z X * | X * + Z | X * Z + | Z * + X | Result: peach * + eagle,Z * + X
Rules: + Z * X | * + X Z | Z * X + | Z X * + | Result: * + peach rat banana,* + X Z
Rules: X + Y * + | * + X + Y | + Y X * + | + Y * + X | Result: + stork kiwi * + penguin cobra,+ Y * + X
Rules: - Z + | Z + - | Z - + Z | - Z + | Result: stork - + stork,Z - + Z
Rules: * + X * | * * + X X | + X * * | + * X * | Result: * * + eagle eagle,* * + X X
Rules: Y - - | Y - - | - - Y | Y - Y - | Result: watermelon peach - watermelon peach -,Y - Y -
Rules: X Y * = | * Y X = | X * = Y | * X = Y | Result: zebra lion * = apple peach,X * = Y
Rules: + X * = Y | * + Y = X | X * = + Y | = Y X * + | Result: * + pear rat = horse,* + Y = X
Rules: * Y X * | Y * X * | * Y * X | Y * X * | Result: * cobra stork * eagle watermelon,* Y * X
Rules: = = Y X * | * = Y = X | * X Y = = | Y X = = * | Result: * eagle whale rat = =,* X Y = =
Rules: = + Z Y | = Z + Y | = Z Y + | Z Y + = Y | Result: pear whale blueberry stork + = blueberry stork,Z Y + = Y
Rules: = Z * Y | Y = * Z | * Z Y = | = * Y Z | Result: = * cobra horse apple blueberry,= * Y Z
Rules: - = Z X | - X Z = | - = X Z | Z X - = | Result: - = penguin blackberry eagle,- = Z X
Rules: X * + + | + X + * | X X + + * | * + + X | Result: blackberry rat blackberry rat + + *,X X + + *
Rules: X = Z * | = * Z X | * X Z = | * = X Z | Result: = * shark blueberry,= * Z X
Rules: = = Y = | = = Y = | Y = = = | = = Y Y = | Result: = = apple buffalo apple buffalo =,= = Y Y =
Rules: Y * = = Y | Y = = * | = Y * = | Y = = * | Result: lion * = = lion,Y * = = Y
Rules: + - + X | - X + + X | + - + X | X + + - | Result: - cobra penguin + + cobra penguin,- X + + X
Rules: * * Y Y + | * Y * + | * + * Y | Y * * + | Result: * * whale whale +,* * Y Y +
Rules: * Z * Y | Y * Z * | Y * * Z | Y * * Z | Result: * watermelon apple * watermelon,* Z * Y
Rules: Y Z = = | Y = Y Z = | = = Z Y | = Y Z = | Result: whale = whale zebra blueberry =,Y = Y Z =
Rules: Y X * - Y = | X * = - Y | * = - Y X | = * Y - X | Result: apple rat * - apple =,Y X * - Y =
Rules: - = Y | Y - = Y | Y - = | Y = - | Result: whale whale - = whale whale,Y - = Y
Rules: + = Y X | Y = X + | X = + Y | Y X + = | Result: + = shark penguin cobra buffalo,+ = Y X
Rules: + * X | X * + | * + X | X + X * | Result: grape + grape *,X + X *
Rules: + Z X = | X Z = + | + X Z = | Z + = X | Result: + rat peach pear =,+ X Z =
Rules: Y + * X - | + * - Y X | Y - * + X | X - + Y * | Result: grape banana + * cobra -,Y + * X -
Rules: * * Z * Y | * Y Z * * | * Y * * Z | Y Z Z * * * | Result: cobra lion buffalo lion buffalo * * *,Y Z Z * * *
Rules: + Y = Y = | = Y + = | Y = + = | Y = + = | Result: + penguin cobra = penguin cobra =,+ Y = Y =
Rules: * Y Z * | Z * Y * | * Y Z * | Z Y Y * * | Result: lion banana whale banana whale * *,Z Y Y * *
Rules: + Z + | + Z + | + Z Z Z + | + Z + | Result: + apple apple apple +,+ Z Z Z +
Rules: + Z = * X | Z X + X = * | = + Z X * | Z X = + * | Result: eagle stork + stork = *,Z X + X = *
Rules: Z Y * * = Z | = * Z * Y | * Z = * Y | Y * * Z = | Result: zebra lion apple * * = zebra lion,Z Y * * = Z
Rules: Y - - | - - Y | - Y - | Y Y Y - - | Result: seal shark seal shark seal shark - -,Y Y Y - -
Rules: * X Z + + | * Z + + X | * X + + Z | + Z + * X | Result: * lion + + peach pear,* X + + Z
Rules: Y * = X | Y * = X | X Y * = | * Y X = | Result: * seal zebra =,* Y X =
Rules: X Y Y = = | Y = X = | = X = Y | = X = Y | Result: eagle watermelon watermelon = =,X Y Y = =
Rules: * * X = | X * X * = X | * X * = | X * = * | Result: apple rat * apple rat * = apple rat,X * X * = X
Rules: * = Z X * | = * Z X * | * * X Z = | Z = * X X * | Result: blueberry rat = * strawberry horse strawberry horse *,Z = * X X *
Rules: - Z X = * | Z = X - * | X * - = Z | X Z - * = | Result: - stork strawberry watermelon = *,- Z X = *
Rules: - Z = + X | Z X X + = - | + Z X = - | - + = X Z | Result: peach penguin eagle seal eagle seal + = -,Z X X + = -
Rules: - X Z = = | Z = X - = | = Z - = X | Z - = = X | Result: = shark lion - = horse,= Z - = X
Rules: = Z Y - | Z = Z - Y | = Z - Y | Y = - Z | Result: watermelon = watermelon - whale watermelon,Z = Z - Y
Rules: * Z = * X | = * X * Z | Z = X * * | = * * X Z | Result: pear banana = blackberry * *,Z = X * *
Rules: Y - X Z - | Y - - X Z | - - Y Z X | X Y Z - - | Result: banana buffalo eagle watermelon apple rat - -,X Y Z - -
Rules: Z + Y X * + | Z + Y + X * | X Z * Y + + | Y Z * + + X | Result: blackberry penguin * blackberry + +,X Z * Y + +
Rules: Y + - * | - Y + * | + * Y - | Y Y - + * | Result: grape grape - + *,Y Y - + *
Rules: X + Z = + | + Z X = + | + + Z = X | + = X Z + | Result: banana peach + cobra peach = +,X + Z = +
Rules: * Z - X | Z * - X | - X Z * | * X Z - | Result: * penguin grape - zebra penguin,* Z - X
Rules: + Z X - | + - Z X | X Z + - | + X Z Z - | Result: + eagle seal banana banana -,+ X Z Z -
Rules: Z Y + + * | Y * + + Z | + + * Y Z | Y Z + + * | Result: whale * + + kiwi,Y * + + Z
Rules: = Z - Y | Y - Z = | = Y Z - | - = Y Z | Result: - = eagle apple watermelon buffalo,- = Y Z
Rules: X * + Z | + Z * X | Z X * + | X Z + * | Result: + pear * banana,+ Z * X
Rules: Y Y + + + Y | + + Y + | + + Y + | Y + + + | Result: blueberry watermelon blueberry watermelon + + + blueberry watermelon,Y Y + + + Y
Rules: * X Y - | - X * Y | - * Y X | Y - * X | Result: - blackberry blackberry * kiwi watermelon,- X * Y
Rules: = Y - = Y X | = X Y - = | = - X = Y | X - Y = = | Result: = horse apple - = horse apple blueberry eagle,= Y - = Y X
Rules: + Z Z - X | - + X Z | X - Z + | + Z X - | Result: + watermelon pear watermelon pear - buffalo blueberry,+ Z Z - X
Rules: - * Y Z | Z - Y * | Z Y * - | Y Z * - | Result: whale - apple eagle *,Z - Y *
Rules: = = Z X | = X = Z | = X = Z | = X = Z | Result: = watermelon = blueberry buffalo,= X = Z
Rules: - X + Y Z | - + Y X Z | - + Y Z X | X Z - + Y | Result: - blueberry penguin + cobra watermelon buffalo strawberry,- X + Y Z
Rules: Y X = Z = | Z = = X Y | Z = X = Y | = Z X = Y | Result: blueberry watermelon zebra = strawberry horse =,Y X = Z =
Rules: - X Z + + | Z + Z - + X | Z + - X + | + X + Z - | Result: lion + lion - + shark whale,Z + Z - + X
Rules: Z * = - X | * X X Z - = | Z - * X = | = X - Z * | Result: * kiwi kiwi cobra stork - =,* X X Z - =
Rules: = Y Z * | Y * Z = | Y * = Z | Z Y * = | Result: = buffalo stork kiwi grape *,= Y Z *
Rules: + = + X | + = + X | + + = X | = + X X + | Result: = + whale whale +,= + X X +
Rules: * = X X | * X = | = * X | X * = | Result: * = penguin kiwi penguin kiwi,* = X X
Rules: Y Z - + * | - * Y + Z | + * Y Z Y - | * - Z + Y | Result: + * penguin watermelon eagle blueberry penguin watermelon -,+ * Y Z Y -
Rules: = - + Y X | Y + - X = | Y = + X - | Y - + = X | Result: peach = + banana pear -,Y = + X -
Rules: Z + Y - | + Z Z - Y | Y - Z + | - + Y Z | Result: + shark shark - lion,+ Z Z - Y
Rules: - Z * Y | * - Z Y | Z Y * - | - Y Z * Y | Result: - horse cobra * horse,- Y Z * Y
Rules: - Y = | = - Y | - = Y | = Y Y - | Result: = seal seal -,= Y Y -
Rules: - = + Z Y | = + Y - Z | Z + = - Y | Z Y + = - | Result: cobra lion whale + = -,Z Y + = -
Rules: + X + = Z | + Z X = + | X = + + Z | = Z X + + | Result: + apple + = buffalo banana,+ X + = Z
Rules: Y - = = Z | = Z = Z Y - | - = = Y Z | - Z = Y = | Result: = strawberry = strawberry shark -,= Z = Z Y -
Rules: + Y * Z | * Y Z + | + Z * Y | Y Z * + | Result: + stork cobra * blackberry,+ Y * Z
