source,target
"Quy tắc: + Z = X | Thay thế: X bằng "" ngựa "" , Z bằng "" việt quất """,+ Quả việt quất = Ngựa
"Quy tắc: Y X * Y = | Thay thế: X bằng "" sư tử chuột "" , Y bằng "" lê """,lê chuột sư tử * lê =
"Quy tắc: Z = * - Z Y | Thay thế: Y bằng "" lê nho "", Z bằng "" đào """,đào = * - lê nho đào
"Quy tắc: = Z Z * | Thay thế: Z bởi "" nho táo """,= táo nho nho *
"Quy tắc: * Z Z * + | Thay thế: Z bằng "" chuối """,* chuối chuối * +
"Quy tắc: - Z Y = - | Thay thế: Y bởi "" dưa hấu cò "" , Z bởi "" lê """,- Cò lê dưa hấu = -
"Quy tắc: + X * X | Thay thế: X bởi "" hải cẩu cá mập """,+ Hải cẩu cá mập * Hải cẩu cá mập
"Quy tắc: Z + Z Y * - | Thay thế: Y bởi "" cò "" , Z bởi "" đào cò """,cò đào + cò đào * -
"Quy tắc: = - Z = Z | Thay thế: Z bởi "" sư tử chuối """,= - sư tử chuối = sư tử chuối
"Quy tắc: - * X Z Z * | Thay thế: X bằng "" trâu "" , Z bằng "" nho """,- * Nho nho trâu *
"Quy tắc: Z - X + | Thay thế: X bởi "" đại bàng "" , Z bởi "" cá voi chim cánh cụt """,Cá voi cánh cụt - Đại bàng +
"Quy tắc: Y - X = Z * | Thay thế: X bằng "" đào "" , Y bằng "" rắn hổ mang kiwi "", Z bằng "" ngựa """,Rắn hổ mang kiwi - đào = ngựa *
"Quy tắc: Y - - + X Y | Thay thế: X bằng "" ngựa "" , Y bằng "" ngựa vằn """,Ngựa vằn - - + ngựa vằn ngựa
"Quy tắc: Z + Y Z * | Thay thế: Y bởi "" zebra eagle "" , Z bởi "" blueberry """,việt quất + việt quất đại bàng ngựa vằn *
"Quy tắc: X + * - Z | Thay thế: X bởi "" đại bàng cá mập "", Z bởi "" cá mập """,Đại bàng cá mập + * - cá mập
"Quy tắc: Y Y = + | Thay thế: Y bởi "" kiwi """,Kiwi kiwi = +
"Quy tắc: Y X * - Z | Thay thế: X bằng "" táo "" , Y bằng "" cá voi hải cẩu "", Z bằng "" chim cánh cụt """,Hải cẩu táo cá voi * - chim cánh cụt
"Quy tắc: + Z + X X | Thay thế: X bởi "" chuột "" , Z bởi "" việt quất """,+ Quả việt quất + Chuột
"Quy tắc: - * Y - X Y | Thay thế: X bởi "" blackberry strawberry "" , Y bởi "" horse penguin """,- * Chim cánh cụt ngựa - Chim cánh cụt ngựa dâu đen
"Quy tắc: + - * Z Y | Thay thế: Y bởi "" việt quất "", Z bởi "" ngựa vằn """,+ - * Quả việt quất ngựa vằn
"Quy tắc: = X * Z X | Thay thế: X bởi "" cá voi "", Z bởi "" blackberry """,= Cá voi * Cá voi dâu đen
"Quy tắc: Y + = Y * | Thay thế: Y bởi "" cá mập """,cá mập + = cá mập *
"Quy tắc: Z * + Y | Thay thế: Y bởi "" eagle "" , Z bởi "" apple """,táo * + đại bàng
"Quy tắc: Z Z + Z + | Thay thế: Z bởi "" dưa hấu """,dưa hấu dưa hấu + dưa hấu +
"Quy tắc: = = Y + X Y | Thay thế: X bởi "" rắn hổ mang sư tử "" , Y bởi "" quả việt quất """,= = việt quất + việt quất rắn hổ mang sư tử
"Quy tắc: Y X Y - * | Thay thế: X bằng "" nho ngựa vằn "", Y bằng "" táo ngựa """,Ngựa táo Ngựa vằn Nho Táo - *
"Quy tắc: + * Y Z Z = | Thay thế: Y bởi "" lion "" , Z bởi "" kiwi lion ""","+ * Sư tử, Kiwi, Sư tử, Kiwi, Sư tử ="
"Quy tắc: Z - = Z | Thay thế: Z bởi "" eagle """,đại bàng - = đại bàng
"Quy tắc: Z * X = Z | Thay thế: X bởi "" seal shark "" , Z bởi "" penguin shark """,Cá mập chim cánh cụt * Cá mập hải cẩu = Cá mập chim cánh cụt
"Quy tắc: Z + Y + Z * | Thay thế: Y bởi "" con dấu chim cánh cụt "", Z bởi "" lê rắn hổ mang """,Lê rắn hổ mang + Hải cẩu chim cánh cụt + Lê rắn hổ mang *
"Quy tắc: * X + Y Z | Thay thế: X bằng "" dâu táo "" , Y bằng "" dâu tây "", Z bằng "" kiwi """,* Dâu táo + Kiwi dâu tây
"Quy tắc: + X - Z | Thay thế: X bằng "" con dấu táo "", Z bằng "" chim cánh cụt """,+ Apple Seal - Chim cánh cụt
"Quy tắc: Z Y = + | Thay thế: Y bởi "" cá voi "" , Z bởi "" việt quất """,Cá voi việt quất = +
"Quy tắc: = X X X * * | Thay thế: X bởi "" cò dưa hấu ""","= Cò dưa hấu, cò dưa hấu, cò dưa hấu * *"
"Quy tắc: + * = Z Z | Thay thế: Z bởi "" rắn hổ mang """,+ * = rắn hổ mang
"Quy tắc: + * X Z | Thay thế: X bởi "" blackberry "" , Z bởi "" shark eagle """,+ * Đại bàng cá mập BlackBerry
"Quy tắc: = Z Y = | Thay thế: Y bằng "" chim cánh cụt "", Z bằng "" con dấu """,= chim cánh cụt hải cẩu =
"Quy tắc: - * X * X Y | Thay thế: X bởi "" chuối "" , Y bởi "" blackberry việt quất ""","- * Chuối * Chuối, dâu đen, việt quất"
"Quy tắc: = Z * - Z | Thay thế: Z bởi "" ngựa """,= ngựa * - ngựa
"Quy tắc: * + Z X | Thay thế: X bằng "" lê "" , Z bằng "" con dấu nho """,* + Lê hải cẩu nho
"Quy tắc: - X Y * | Thay thế: X bằng "" nho "" , Y bằng "" con dấu """,- Con dấu nho *
"Quy tắc: X Z + = | Thay thế: X bởi "" ngựa vằn "", Z bởi "" cò """,cò ngựa vằn + =
"Quy tắc: = * - Z Z | Thay thế: Z bởi "" chim cánh cụt """,= * - chim cánh cụt
"Quy tắc: X + X * + | Thay thế: X bằng "" chuối """,chuối + chuối * +
"Quy tắc: Z Z Y * = | Thay thế: Y bởi "" blackberry pear "" , Z bởi "" shark """,Cá mập cá mập lê đen * =
"Quy tắc: Z = Z = Z = | Thay thế: Z bởi "" cá mập """,cá mập = cá mập = cá mập =
"Quy tắc: + = Y X | Thay thế: X bằng "" kiwi ngựa vằn "", Y bằng "" lê hải cẩu """,+ = Kiwi ngựa vằn lê hải cẩu
"Quy tắc: * x x * y | Thay thế: X bởi "" kiwi dâu tây "" , Y bởi "" đại bàng """,* Kiwi dâu tây Kiwi * Đại bàng
"Quy tắc: + X Y - + Y | Thay thế: X bằng "" nho "" , Y bằng "" cò trâu """,+ Cò trâu nho - + Cò trâu
"Quy tắc: Y * Y Z * | Thay thế: Y bởi "" seal "" , Z bởi "" strawberry rat """,con dấu * hải cẩu chuột dâu tây *
"Quy tắc: * - * Y X Y | Thay thế: X bằng "" hải cẩu sư tử "", Y bằng "" chim cánh cụt """,* - * Chim cánh cụt hải cẩu sư tử chim cánh cụt
"Quy tắc: Z Y + - | Thay thế: Y bằng "" chuối "", Z bằng "" blackberry """,Chuối Blackberry + -
"Quy tắc: * = X Z | Thay thế: X bởi "" apple "", Z bởi "" eagle lion """,* = Sư tử đại bàng táo
"Quy tắc: Z = X Z + | Thay thế: X bằng "" lê "" , Z bằng "" ngựa nho """,Ngựa nho = ngựa nho lê +
"Quy tắc: Z X * * | Thay thế: X bằng "" ngựa vằn "" , Z bằng "" đào """,Ngựa vằn đào * *
"Quy tắc: - Y - X | Thay thế: X bởi "" banana eagle "" , Y bởi "" lion pear """,- Lê sư tử - Đại bàng chuối
"Quy tắc: Z - = * X Z | Thay thế: X bằng "" trâu "" , Z bằng "" ngựa vằn """,ngựa vằn - = * ngựa vằn trâu
"Quy tắc: Y = - Z | Thay thế: Y bởi "" shark "" , Z bởi "" kiwi """,Cá mập = - Kiwi
"Quy tắc: = = = X Z Z | Thay thế: X bởi "" ngựa vằn "" , Z bởi "" lion blueberry """,= = = Ngựa vằn sư tử việt quất sư tử việt quất
"Quy tắc: X * Z = | Thay thế: X bởi "" rat eagle "" , Z bởi "" blueberry """,Đại bàng chuột * quả việt quất =
"Quy tắc: X Y + - - Z | Thay thế: X bằng "" quả lê táo "", Y bởi "" trâu "" , Z bởi "" con dấu blackberry """,lê táo trâu + - - hải cẩu blackberry
"Quy tắc: + Z X Y * | Thay thế: X bằng "" dưa hấu dâu "" , Y bằng "" nho táo "", Z bằng "" cá voi ""","+ Cá voi, dâu tây, dưa hấu, táo, nho *"
"Quy tắc: X * - = Y X | Thay thế: X bởi "" chim cánh cụt "", Y bởi "" đại bàng hải cẩu """,chim cánh cụt * - = chim cánh cụt đại bàng hải cẩu
"Quy tắc: Z = - Z Y | Thay thế: Y bởi "" ngựa vằn "" , Z bởi "" cò """,cò = - ngựa vằn cò
"Quy tắc: X Y Z - + | Thay thế: X bằng "" nho trâu "" , Y bằng "" táo "", Z bằng "" nho """,Nho nho trâu - +
"Quy tắc: X * + Y | Thay thế: X bằng "" việt quất "" , Y bằng "" chuối """,quả việt quất * + chuối
"Quy tắc: * = X Y + | Thay thế: X bằng "" lê "" , Y bằng "" táo hải cẩu """,* = lê hải cẩu táo +
"Quy tắc: Y Y = = X | Thay thế: X bởi "" cá voi dưa hấu "" , Y bởi "" dâu dưa hấu """,dưa hấu dâu tây dưa hấu dâu tây = = cá voi dưa hấu
"Quy tắc: = x x y = | Thay thế: X bằng "" lê "" , Y bằng "" blackberry """,= lê lê blackberry =
"Quy tắc: Y * = Z | Thay thế: Y bởi "" con dấu nho "" , Z bởi "" dưa hấu rắn hổ mang """,con dấu nho * = dưa hấu rắn hổ mang
"Quy tắc: Y - X + = Z | Thay thế: X bằng "" con dấu "", Y bằng "" sư tử "", Z bằng "" nho """,sư tử - con dấu + = nho
"Quy tắc: Y * + Y Y | Thay thế: Y bởi "" đại bàng chuột """,Đại bàng chuột * + Đại bàng chuột Đại bàng chuột
"Quy tắc: * Y - = X Y | Thay thế: X bằng "" dưa hấu "", Y bằng "" sư tử """,* sư tử - = sư tử dưa hấu
"Quy tắc: X Y Z - * - | Thay thế: X bởi "" cá mập dâu "" , Y bởi "" ngựa vằn chuột "" , Z bởi "" ngựa vằn cá voi """,Cá mập dâu tây Ngựa vằn chuột - * -
"Quy tắc: Y Y - = Y | Thay thế: Y bởi "" cá voi """,Cá voi - = cá voi
"Quy tắc: Z Y - = + X | Thay thế: X bằng "" đại bàng "", Y bằng "" táo "", Z bằng "" cò """,cò táo - = + đại bàng
"Quy tắc: Z * - X | Thay thế: X bởi "" cò việt quất "" , Z bởi "" lion peach """,đào sư tử * - cò việt quất
"Quy tắc: Z = Y Z + | Thay thế: Y bằng "" chim cánh cụt "" , Z bằng "" lê """,lê = lê chim cánh cụt +
"Quy tắc: Z - = Z Z * | Thay thế: Z bởi "" chim cánh cụt kiwi """,Chim cánh cụt Kiwi - = Chim cánh cụt Kiwi Chim cánh cụt kiwi *
"Quy tắc: = Y Y X * | Thay thế: X bởi "" kiwi horse "" , Y bởi "" chuột """,= chuột kiwi ngựa *
"Quy tắc: * Y Z Y = | Thay thế: Y bởi "" blackberry blackberry "" , Z bởi "" nho dưa hấu """,* Blackberry Blackberry dưa hấu nho blackberry blackberry =
"Quy tắc: Z X = Z * | Thay thế: X bởi "" táo "" , Z bởi "" nho cá mập """,Nho cá mập táo táo = nho cá mập *
"Quy tắc: Z - Y X + - | Thay thế: X bởi "" trâu "" , Y bởi "" dưa hấu táo "" , Z bởi "" chuối việt quất ""","chuối, việt quất - táo, dưa hấu, trâu + -"
"Quy tắc: Z Z = + | Thay thế: Z bởi "" dâu đào """,đào dâu tây đào = +
"Quy tắc: X - + X - | Thay thế: X bởi "" chuột trâu """,Chuột trâu - + Chuột trâu -
"Quy tắc: Z = Y Y * | Thay thế: Y bởi "" chuột cá voi "" , Z bởi "" ngựa cá voi """,ngựa voi = chuột cá voi chuột cá voi chuột *
"Quy tắc: = X - X * X | Thay thế: X bởi "" cá mập đào """,= cá mập đào - cá mập đào * cá mập đào
"Quy tắc: + + Y Y Z | Thay thế: Y bởi "" rắn hổ mang "" , Z bởi "" blackberry """,+ + Rắn hổ mang rắn hổ mang blackberry
"Quy tắc: Y Z * X * | Thay thế: X bằng "" kiwi việt quất "", Y bằng "" chuối "", Z bằng "" chuột """,Chuột chuối * Kiwi việt quất *
"Quy tắc: Z = Z - | Thay thế: Z bằng "" nho """,nho = nho -
"Quy tắc: X X - * - | Thay thế: X bằng "" apple """,táo táo - * -
"Quy tắc: X * Z - + Y | Thay thế: X bởi "" lion peach "" , Y bởi "" stork eagle "" , Z bởi "" rat """,đào sư tử * chuột - + đại bàng cò
"Quy tắc: + Y + Z * Z | Thay thế: Y bởi "" ngựa vằn chim cánh cụt "", Z bởi "" dưa hấu """,+ Ngựa vằn chim cánh cụt + Dưa hấu * Dưa hấu
"Quy tắc: * X = = Z | Thay thế: X bằng "" cá mập "", Z bằng "" chuối """,* cá mập = = chuối
"Quy tắc: - - Y Z X | Thay thế: X bởi "" việt quất chuối "" , Y bởi "" nho "" , Z bởi "" lê dâu tây ""","- - lê nho, dâu tây, việt quất, chuối"
"Quy tắc: + Y = X | Thay thế: X bằng "" ngựa cò "" , Y bằng "" con dấu chuối """,+ Hải cẩu chuối = Cò ngựa
"Quy tắc: * X = + Z X | Thay thế: X bởi "" nho "" , Z bởi "" việt quất """,* nho = + nho việt quất
"Quy tắc: Y = X * Y | Thay thế: X bằng "" nho "" , Y bằng "" lê """,lê = nho * lê
"Quy tắc: Y Z + Y * * | Thay thế: Y bởi "" chim cánh cụt "", Z bởi "" dâu táo """,Chim cánh cụt táo dâu tây + chim cánh cụt * *
"Quy tắc: - Z Y - + Z | Thay thế: Y bằng "" con dấu chuột "", Z bằng "" chuối """,- Hải cẩu chuột chuối - + Chuối
"Quy tắc: - Y Y - + | Thay thế: Y bởi "" cá mập """,- Cá mập cá mập - +
"Quy tắc: + Z = + Z | Thay thế: Z bởi "" kiwi """,+ Kiwi = + Kiwi
"Quy tắc: - - Z X + | Thay thế: X bởi "" dâu nho "" , Z bởi "" ngựa vằn việt quất """,- - Dâu tây nho ngựa vằn việt quất +
"Quy tắc: = + Y X | Thay thế: X bằng "" ngựa "" , Y bằng "" dưa hấu chuột """,= + Ngựa dưa hấu chuột
"Quy tắc: * = Z * Y | Thay thế: Y bằng "" cá voi "", Z bằng "" ngựa """,* = ngựa * cá voi
"Quy tắc: Z - + X | Thay thế: X bởi "" ngựa vằn rắn hổ mang "" , Z bởi "" ngựa lê """,ngựa lê - + ngựa vằn rắn hổ mang
"Quy tắc: - Z = X | Thay thế: X bởi "" việt quất "" , Z bởi "" rắn hổ mang dưa hấu """,- Rắn hổ mang dưa hấu = quả việt quất
"Quy tắc: * Y + + Z | Thay thế: Y bởi "" eagle blueberry "" , Z bởi "" nho """,* Đại bàng việt quất + + nho
"Quy tắc: X - Z Y - | Thay thế: X bằng "" táo đào "" , Y bằng "" đào cò "" , Z bằng "" cá voi dưa hấu ""","đào táo - dưa hấu, cá voi, cò, đào -"
"Quy tắc: - * X + Y Z | Thay thế: X bởi "" sư tử dâu "" , Y bởi "" kiwi kiwi "" , Z bởi "" đào nho """,- * Sư tử dâu tây + Kiwi Kiwi Đào nho
"Quy tắc: Z X * = | Thay thế: X bằng "" chuột chuối "" , Z bằng "" trâu nho """,Chuột chuối trâu nho * =
"Quy tắc: X Y Y + - = | Thay thế: X bằng "" chim cánh cụt chuối "" , Y bằng "" táo """,chuối chim cánh cụt táo táo + - =
"Quy tắc: Z X = - | Thay thế: X bởi "" cò chuối "" , Z bởi "" sư tử đại bàng """,Đại bàng sư tử chuối cò = -
"Quy tắc: * Y + Y Z | Thay thế: Y bởi "" lion eagle "" , Z bởi "" cá voi dưa hấu """,* Đại bàng sư tử + Đại bàng sư tử Cá voi dưa hấu
"Quy tắc: Z Z * Z + * | Thay thế: Z bởi "" blackberry """,blackberry blackberry * blackberry + *
"Quy tắc: + * X Z Y | Thay thế: X bằng "" ngựa vằn đào "", Y bằng "" hải cẩu nho "", Z bằng "" đại bàng """,+ * Con dấu nho đại bàng ngựa vằn đào
"Quy tắc: Y - - + Z X | Thay thế: X bằng "" rắn hổ mang chuối "", Y bằng "" ngựa cò "", Z bằng "" việt quất """,Cò ngựa - - + Rắn hổ mang chuối việt quất
"Quy tắc: - - Y * Y X | Thay thế: X bằng "" chuối "" , Y bằng "" ngựa chuột """,- - Ngựa Chuột * Chuối Ngựa Chuột
"Quy tắc: * Z X * - Y | Thay thế: X bằng "" nho "" , Y bằng "" nho "" , Z bằng "" việt quất chim cánh cụt """,* Nho việt quất chim cánh cụt * - nho
"Quy tắc: Y Z = + X + | Thay thế: X bằng "" quả táo lê "", Y bởi "" cá mập việt quất "", Z bằng "" dâu tây """,Dâu tây cá mập việt quất = + táo lê +
"Quy tắc: = - + Y Y X | Thay thế: X bởi "" penguin blackberry "" , Y bởi "" strawberry watermelon ""","= - + dâu tây, dưa hấu, dưa hấu, chim cánh cụt, dâu đen;"
"Quy tắc: Z Y + Z = | Thay thế: Y bởi "" cá mập ngựa "" , Z bởi "" chuột chim cánh cụt """,Chuột chim cánh cụt Cá mập ngựa + Chuột cánh cụt =
"Quy tắc: Z = * Z - | Thay thế: Z bằng "" lê """,lê = * lê -
"Quy tắc: = Z - Y = Y | Thay thế: Y bằng "" ngựa "" , Z bằng "" việt quất """,= việt quất - ngựa = ngựa
"Quy tắc: Z + = X | Thay thế: X bằng "" chuột cánh cụt "" , Z bằng "" ngựa """,ngựa + = chuột cánh cụt
"Quy tắc: + - Z Y | Thay thế: Y bởi "" blackberry strawberry "" , Z bởi "" eagle eagle """,+ - Đại bàng đại bàng dâu đen dâu tây
"Quy tắc: - Z + Y X + | Thay thế: X bởi "" rắn hổ mang "" , Y bởi "" hải cẩu cá voi "" , Z bởi "" đại bàng hải cẩu ""","- Đại bàng hải cẩu + Hải cẩu cá voi, rắn hổ mang +"
"Quy tắc: + - Y Y Z | Thay thế: Y bằng "" dâu "" , Z bằng "" trâu """,+ - Trâu dâu tây
"Quy tắc: Y Y Y - = - | Thay thế: Y bằng "" chuối ""","chuối, chuối, chuối - = -"
"Quy tắc: X X = - - X | Thay thế: X bởi "" cá voi việt quất """,Cá voi việt quất cá voi việt quất = - - Cá voi việt quất
"Quy tắc: = Z Y = + | Thay thế: Y bằng "" đào "" , Z bằng "" chuột dưa hấu """,= Đào chuột dưa hấu = +
"Quy tắc: X = * X = Z | Thay thế: X bằng "" nho "" , Z bằng "" lê đào """,nho = * nho = lê đào
"Quy tắc: * X - X | Thay thế: X bởi "" cá mập táo """,* Cá mập táo - Cá mập táo
"Quy tắc: - = Z Z Z | Thay thế: Z bởi "" cò dâu """,- = cò dâu cò cò dâu tây
"Quy tắc: + + Y X | Thay thế: X bởi "" chuối cá voi "" , Y bởi "" ngựa vằn """,+ + Chuối cá voi ngựa vằn
"Quy tắc: X * - X Z * | Thay thế: X bởi "" blackberry "" , Z bởi "" dưa hấu dâu tây """,blackberry * - dưa hấu dâu tây blackberry *
"Quy tắc: * Y Z + Y * | Thay thế: Y bằng "" lê "" , Z bằng "" đào dưa hấu """,* lê dưa hấu đào + lê *
"Quy tắc: - Z - Z Y = | Thay thế: Y bởi "" dâu tây cá voi "" , Z bởi "" trâu dưa hấu """,- Trâu dưa hấu - Dâu tây cá voi trâu trâu dưa hấu =
"Quy tắc: = * Y Y * | Thay thế: Y bởi "" chuối táo ""","= * chuối, táo, chuối, táo *"
"Quy tắc: * X - + Z Y | Thay thế: X bằng "" táo "", Y bằng "" kiwi "", Z bằng "" dưa hấu ngựa """,* táo - + kiwi dưa hấu ngựa
"Quy tắc: Z Y * Y + = | Thay thế: Y bởi "" sư tử lê "" , Z bởi "" việt quất dưa hấu """,dưa hấu việt quất lê sư tử * lê sư tử + =
"Quy tắc: + - + Y X | Thay thế: X bởi "" kiwi "" , Y bởi "" ngựa vằn dâu tây """,+ - + Kiwi ngựa vằn dâu tây
"Quy tắc: + Y = X Z * | Thay thế: X bởi "" chim cánh cụt lê "" , Y bởi "" ngựa dâu "" , Z bởi "" đào """,+ Ngựa dâu = Chim cánh cụt lê đào *
"Quy tắc: = - Z - X | Thay thế: X bởi "" rắn hổ mang ngựa "" , Z bởi "" chim cánh cụt chuột """,= - Chim cánh cụt chuột - rắn hổ mang ngựa
"Quy tắc: Y - + Y | Thay thế: Y bởi "" blackberry pear """,lê blackberry - + lê blackberry
"Quy tắc: - + + Y X | Thay thế: X bởi "" trâu "" , Y bởi "" blackberry """,- + + Trâu dâu đen
"Quy tắc: = X Y - | Thay thế: X bằng "" cò kiwi "", Y bằng "" ngựa """,= ngựa cò kiwi -
"Quy tắc: Y * Z = Z | Thay thế: Y bởi "" blackberry "" , Z bởi "" rat lion """,blackberry * sư tử chuột = sư tử chuột
"Quy tắc: - + Z Z | Thay thế: Z bởi "" cá mập """,- + Cá mập cá mập
"Quy tắc: Y Z + * | Thay thế: Y bởi "" đại bàng "", Z bởi "" cò dưa hấu """,Cò dưa hấu đại bàng + *
"Quy tắc: = Y Z * * | Thay thế: Y bằng "" chuối "", Z bằng "" cò """,= cò chuối * *
"Quy tắc: - - Z Z | Thay thế: Z bởi "" cá mập """,- - Cá mập cá mập
"Quy tắc: - X = Y | Thay thế: X bằng "" chuối đào "", Y bằng "" chim cánh cụt hải cẩu """,- chuối đào = chim cánh cụt hải cẩu
"Quy tắc: X - + Y * | Thay thế: X bằng "" lê "" , Y bằng "" hải cẩu dưa hấu """,lê - + con dấu dưa hấu *
"Quy tắc: Y Y = Z = * | Thay thế: Y bởi "" blackberry kiwi "" , Z bởi "" kiwi """,BlackBerry Kiwi Blackberry Kiwi = Kiwi = *
"Quy tắc: Y X * + | Thay thế: X bởi "" việt quất "" , Y bởi "" đào đào """,quả việt quất đào đào * +
"Quy tắc: Z = - Z * | Thay thế: Z bởi "" zebra pear """,lê ngựa vằn = - lê ngựa vằn *
"Quy tắc: Y * * Z = | Thay thế: Y bởi "" blackberry banana "", Z bởi "" banana stork """,Chuối dâu đen * * Cò chuối =
"Quy tắc: + Y + X | Thay thế: X bằng "" ngựa "" , Y bằng "" táo """,+ Táo + Ngựa
"Quy tắc: * * X X | Thay thế: X bằng "" dưa hấu """,* * Dưa hấu dưa hấu
"Quy tắc: Z + * Y + | Thay thế: Y bởi "" chuối cá voi "" , Z bởi "" táo """,táo + * chuối cá voi +
"Quy tắc: - - + X X | Thay thế: X bởi "" sư tử """,- - + sư tử sư tử
"Quy tắc: + * Y Z Z | Thay thế: Y bằng "" táo "" , Z bằng "" ngựa vằn """,+ * Ngựa vằn táo
"Quy tắc: * * X Y | Thay thế: X bởi "" ngựa vằn "" , Y bởi "" ngựa vằn lê """,* * Ngựa vằn lê
"Quy tắc: X - + - X | Thay thế: X bởi "" eagle """,Đại bàng - + - Đại bàng
"Quy tắc: Z X = * X | Thay thế: X bằng "" chuối nho "", Z bằng "" cò """,cò nho chuối = * chuối nho
"Quy tắc: + Z Z = + Y | Thay thế: Y bằng "" cá voi "", Z bằng "" chuối """,+ chuối chuối = + cá voi
"Quy tắc: - X Z + | Thay thế: X bởi "" eagle "" , Z bởi "" seal strawberry """,- Hải cẩu đại bàng dâu tây +
"Quy tắc: X - - Z Z | Thay thế: X bởi "" kiwi "" , Z bởi "" rat grape """,Kiwi - - Chuột nho chuột nho
"Quy tắc: * - Z * Z Y | Thay thế: Y bởi "" dưa hấu lê "" , Z bởi "" chuối seal """,* - Con dấu chuối * Dưa hấu lê hải cẩu chuối
"Quy tắc: = Y X - | Thay thế: X bằng "" chuối "", Y bằng "" blackberry """,= Chuối đen -
"Quy tắc: Y X + + | Thay thế: X bởi "" penguin lion "" , Y bởi "" kiwi lion """,Sư tử Kiwi Chim cánh cụt Sư tử + +
"Quy tắc: Y + Z * - Z | Thay thế: Y bằng "" cá voi "", Z bằng "" dâu tây """,Cá voi + dâu tây * - dâu tây
"Quy tắc: X Z - = = | Thay thế: X bởi "" cá voi "" , Z bởi "" ngựa vằn """,ngựa vằn cá voi - = =
"Quy tắc: - + Z X | Thay thế: X bằng "" hải cẩu cá mập "", Z bằng "" nho """,- + Hải cẩu cá mập nho
"Quy tắc: Z = Y Z - | Thay thế: Y bởi "" dâu tây "", Z bởi "" kiwi """,Kiwi = Kiwi dâu tây -
"Quy tắc: * * Z Z = Y | Thay thế: Y bởi "" nho dâu "" , Z bởi "" ngựa vằn """,* * ngựa vằn = nho dâu tây
"Quy tắc: + Z = X Z | Thay thế: X bởi "" blackberry "" , Z bởi "" grape shark """,+ Cá mập nho = Cá mập nho Blackberry
"Quy tắc: * = + Y x Z | Thay thế: X bằng "" trâu "" , Y bằng "" nho sư tử "" , Z bằng "" cá mập """,* = + Cá mập trâu nho sư tử
"Quy tắc: X + X - Y | Thay thế: X bởi "" blackberry cobra "" , Y bởi "" lion """,Rắn hổ mang BlackBerry + Rắn hổ mang Blackberry - Sư tử
"Quy tắc: + Z X = | Thay thế: X bằng "" ngựa "" , Z bằng "" ngựa vằn """,+ Ngựa vằn =
"Quy tắc: - Y Y - Y | Thay thế: Y bằng "" nho """,- nho - nho
"Quy tắc: - X Y * | Thay thế: X bởi "" chim cánh cụt hổ mang "" , Y bởi "" trâu """,- Trâu chim cánh cụt rắn hổ mang *
"Quy tắc: + = - Y X Y | Thay thế: X bằng "" dưa hấu hải cẩu "" , Y bằng "" lê đại bàng """,+ = - Hải cẩu lê đại bàng dưa hấu lê đại bàng
"Quy tắc: = X = Y X | Thay thế: X bởi "" cò "" , Y bởi "" blackberry horse """,= cò = cò ngựa blackberry
"Quy tắc: - Y + Y | Thay thế: Y bởi "" dưa hấu """,- Dưa hấu + dưa hấu
"Quy tắc: Z X - - Z * | Thay thế: X bởi "" ngựa vằn cá mập "", Z bởi "" ngựa vằn """,Ngựa vằn cá mập ngựa vằn - - Ngựa vằn *
"Quy tắc: = = Y X - Z | Thay thế: X bằng "" trâu "" , Y bằng "" trâu việt quất "" , Z bằng "" rắn hổ mang dưa hấu """,= = Trâu việt quất - Rắn hổ mang dưa hấu
"Quy tắc: X Y = + Y | Thay thế: X bởi "" việt quất "" , Y bởi "" lion pear """,lê sư tử việt quất = + lê sư tử
"Quy tắc: Z Z * + = | Thay thế: Z bởi "" rắn hổ mang """,rắn hổ mang * + =
"Quy tắc: - Y Z + - Z | Thay thế: Y bằng "" con dấu "", Z bằng "" trâu """,- Hải cẩu trâu + - trâu
"Quy tắc: X = - = X | Thay thế: X bởi "" penguin blueberry """,việt quất chim cánh cụt = - = quả việt quất chim cánh cụt
"Quy tắc: = Z = * Z Z | Thay thế: Z bởi "" kiwi cobra """,= Kiwi Cobra = * Kiwi Cobra Kiwi Kiwi Cobra
"Quy tắc: * = Z Z X | Thay thế: X bởi "" cá mập "" , Z bởi "" việt quất ngựa """,* = ngựa việt quất ngựa quất cá mập
"Quy tắc: = X X - X | Thay thế: X bởi "" chim cánh cụt """,= Chim cánh cụt - Chim cánh cụt
"Quy tắc: * Y - Y + | Thay thế: Y bởi "" eagle apple """,* Táo đại bàng - Táo đại bàng +
"Quy tắc: + X Y - X | Thay thế: X bằng "" dưa hấu dâu "" , Y bằng "" chuột """,+ Chuột dưa hấu dâu tây - dưa hấu dâu tây
"Quy tắc: Z = X - + Z | Thay thế: X bởi "" cò việt quất "" , Z bởi "" đại bàng ngựa vằn """,Đại bàng ngựa vằn = Cò việt quất - + Đại bàng ngựa vằn
"Quy tắc: Z * + Z | Thay thế: Z bởi "" penguin blueberry """,Quả việt quất chim cánh cụt * + Quả việt quất chim cánh cụt
"Quy tắc: X Y + + Y | Thay thế: X bằng "" trâu "" , Y bằng "" chuối sư tử """,Chuối sư tử trâu + + Chuối sư tử
"Quy tắc: Y + * - Y | Thay thế: Y bởi "" ngựa cánh cụt """,Ngựa cánh cụt + * - Ngựa cánh cụt
